Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.23596234628,14.4003769702,0.0,13.839683159,0.370564054893,0.370564054893,0.370564054893,0.210085920843,0.0459277025038,0.122837147866,0.465847520178
 01/01  02:00:00,1.07590662037,14.433699134,0.0,13.9667682943,0.373966819429,0.373966819429,0.373966819429,0.122550102381,0.0267911558346,0.102975685881,0.428922856849
 01/01  03:00:00,1.02397324003,14.8635946779,0.0,14.4219485601,0.386154486088,0.386154486088,0.386154486088,0.0875357858627,0.0191365395425,0.0864965903205,0.423949838219
 01/01  04:00:00,1.01413809831,15.1050709255,0.0,14.6566209371,0.392437949851,0.392437949851,0.392437949851,0.0875357858627,0.0191365395425,0.0763456071944,0.417982215863
 01/01  05:00:00,1.01196526202,15.1782798557,0.0,14.6566209371,0.392437949851,0.392437949851,0.392437949851,0.0875357858627,0.0191365395425,0.0899621050554,0.402192881712
 01/01  06:00:00,1.07522059887,15.5002833911,0.0,14.6566209371,0.392437949851,0.392437949851,0.392437949851,0.0875357858627,0.0191365395425,0.106595392246,0.44881493137
 01/01  07:00:00,1.35452007697,16.1033711989,0.0,14.6566209371,0.392437949851,0.392437949851,0.392437949851,0.201332295531,0.0440140383346,0.177474275597,0.518561517658
 01/01  08:00:00,1.78409483056,16.2762932625,0.0,14.6566209371,0.392437949851,0.392437949851,0.392437949851,0.411418216375,0.0899417408384,0.281086459277,0.551010464219
 01/01  09:00:00,1.65354846678,13.5633385083,0.0,11.9857812174,0.320924954564,0.320924954564,0.320924954564,0.393911071919,0.0861144362557,0.36605048386,0.465847520178
 01/01  10:00:00,1.38454667946,11.4993393945,0.0,10.0655138998,0.269508889939,0.269508889939,0.269508889939,0.201332295531,0.0440140383346,0.45251754537,0.396473910288
 01/01  11:00:00,1.34825524982,10.3277321159,0.0,9.07160634211,0.242896545528,0.242896545528,0.242896545528,0.166318011612,0.0363594291692,0.476182943291,0.405798320219
 01/01  12:00:00,1.30890595439,7.91837489542,0.0,6.82093809012,0.182633839793,0.182633839793,0.182633839793,0.166318011612,0.0363594291692,0.496972028135,0.405922645685
 01/01  13:00:00,1.24775993994,6.35255014416,0.0,5.37364221471,0.14388180898,0.14388180898,0.14388180898,0.166318011612,0.0363594291692,0.481415945109,0.399084745068
 01/01  14:00:00,1.20304790939,5.76479012293,0.0,4.85394585246,0.12996669336,0.12996669336,0.12996669336,0.166318011612,0.0363594291692,0.43681890348,0.412884871767
 01/01  15:00:00,1.19745666693,5.52790714249,0.0,4.67876882185,0.125276245606,0.125276245606,0.125276245606,0.175071528259,0.0382730695827,0.402002089622,0.436133733863
