Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.32682226273,12.6383363205,0.0,12.1839692592,0.0,0.351092415864,0.351092415864,0.351092415864,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.13840786943,12.6890562165,0.0,12.3435290695,0.0,0.355644789269,0.355644789269,0.355644789269,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.05359693834,12.3185939827,0.0,12.002877454,0.0,0.345802183455,0.345802183455,0.345802183455,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.03861816398,12.3872770903,0.0,12.0634115708,0.0,0.347524362407,0.347524362407,0.347524362407,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.03810902763,12.5850586096,0.0,12.1756703247,0.0,0.350728857667,0.350728857667,0.350728857667,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.10813674127,13.0372019571,0.0,12.2532102929,0.0,0.352951641986,0.352951641986,0.352951641986,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.4236150343,13.5899299348,0.0,12.1038804842,0.0,0.348647764428,0.348647764428,0.348647764428,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.94709882318,14.7854910423,0.0,13.0955427616,0.0,0.3772182558,0.3772182558,0.3772182558,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.85184146009,13.9507423346,0.0,12.3056932004,0.0,0.354485849591,0.354485849591,0.354485849591,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.54553983232,12.9287464942,0.0,11.4371701345,0.0,0.329530766179,0.329530766179,0.329530766179,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.54345731339,13.3397665102,0.0,12.0302307864,0.0,0.3465794435,0.3465794435,0.3465794435,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
