Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.48052379686,12.0357299871,0.0,12.0011877728,0.0,0.353158011137,0.353158011137,0.353158011137,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.177379941826
 01/01  02:00:00,1.23242794047,12.3312101979,0.0,12.2994059173,0.0,0.362011559691,0.362011559691,0.362011559691,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.106512063883
 01/01  03:00:00,1.16520065164,13.1661820362,0.0,13.1347465008,0.0,0.386640825112,0.386640825112,0.386640825112,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0870928067727
 01/01  04:00:00,1.16303931934,13.4681550438,0.0,13.4371620028,0.0,0.395600145727,0.395600145727,0.395600145727,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0925372260126
 01/01  05:00:00,1.22745804533,13.8245128209,0.0,13.7946905462,0.0,0.406165883101,0.406165883101,0.406165883101,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.149744327329
 01/01  06:00:00,1.53008121699,13.4573746338,0.0,13.4240953721,0.0,0.395290206079,0.395290206079,0.395290206079,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.396499818277
 01/01  07:00:00,2.31448060365,13.8413358658,0.0,13.8028849514,0.0,0.406459075833,0.406459075833,0.406459075833,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.859394121499
 01/01  08:00:00,2.846807984,11.1582791804,0.0,11.1174222031,0.0,0.327387576513,0.327387576513,0.327387576513,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.991125337275
 01/01  09:00:00,2.67735106762,8.65835519506,0.0,8.62381298072,0.0,0.253930526172,0.253930526172,0.253930526172,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.964502391097
 01/01  10:00:00,2.22579865009,5.76384462865,0.0,5.734446411,0.0,0.168811723713,0.168811723713,0.168811723713,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.86453782169
 01/01  11:00:00,2.04590640571,4.36534099364,0.0,4.33525137859,0.0,0.127590216962,0.127590216962,0.127590216962,0.196088550257,0.0443238762875,0.476182943291,0.436158054049,0.742792764863
 01/01  12:00:00,1.90883969049,2.74768713873,0.0,2.71758830504,0.0,0.0799668186139,0.0799668186139,0.0799668186139,0.196088550257,0.0443238762875,0.496972028135,0.436291680904,0.632426736295
 01/01  13:00:00,1.76214863617,1.41136391341,0.0,1.38177210448,0.0,0.0406529680318,0.0406529680318,0.0406529680318,0.196088550257,0.0443238762875,0.481415945109,0.42894220389,0.54795509259
 01/01  14:00:00,1.65930433549,0.702884675615,0.0,0.67226959853,0.0,0.019775856281,0.019775856281,0.019775856281,0.196088550257,0.0443238762875,0.43681890348,0.443774784773,0.495752364412
 01/01  15:00:00,1.59913237198,0.244491317771,0.0,0.21215235649,0.0,0.00624044986973,0.00624044986973,0.00624044986973,0.206409051718,0.0466566951156,0.402002089622,0.468763006619,0.446291079034
 01/01  16:00:00,1.73429836526,1.28635966368,0.0,1.25222306915,0.0,0.0368320991344,0.0368320991344,0.0368320991344,0.258011189652,0.0583208761344,0.411726405573,0.494820243304,0.451817551458
 01/01  17:00:00,2.19555820525,2.42688606002,0.0,2.38650845158,0.0,0.0701993607355,0.0701993607355,0.0701993607355,0.433458860111,0.0979790858062,0.470575105936,0.585285624,0.515290168662
 01/01  18:00:00,3.06018375319,4.10955750717,0.0,4.06050516596,0.0,0.119461264196,0.119461264196,0.119461264196,0.80499507833,0.181961142806,0.578065905983,0.711028494362,0.641901867512
 01/01  19:00:00,3.71090282418,4.4213814853,0.0,4.36812544786,0.0,0.128531730005,0.128531730005,0.128531730005,1.19717217884,0.270608895381,0.522761393651,0.771962340148,0.767096286155
 01/01  20:00:00,3.72986882329,4.63938808146,0.0,4.58441737846,0.0,0.134904421329,0.134904421329,0.134904421329,1.2694153222,0.286938743016,0.425376441419,0.79681693514,0.793646960195
 01/01  21:00:00,3.45266389717,5.47595552582,0.0,5.41909500325,0.0,0.159474079123,0.159474079123,0.159474079123,1.09396765174,0.247280533344,0.37951047539,0.824210440373,0.725450717205
