Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.03364550544,0.0,0.0,0.0,0.0,0.0,0.0,0.205180948854,0.044615467641,0.122837147866,0.492803099408,0.147778841675
 01/01  02:00:00,0.970730003297,0.0,0.148029074597,0.0,0.00506765749184,0.153096732089,0.00506765749184,0.119688825964,0.0260256990727,0.102975685881,0.453741844932,0.0947712153595
 01/01  03:00:00,1.21136949709,0.0,0.455452913069,0.0,0.0155976766218,0.471050589691,0.0155976766218,0.0854920495992,0.0185897824145,0.0864965903205,0.448481069918,0.0808294151432
 01/01  04:00:00,1.40069145041,0.0,0.650430811942,0.0,0.0222475371815,0.672678349123,0.0222475371815,0.0854920495992,0.0185897824145,0.0763456071944,0.442168139901,0.084987522174
 01/01  05:00:00,2.03224263559,0.0,1.22299170555,0.0,0.0417933058811,1.26478501143,0.0417933058811,0.0854920495992,0.0185897824145,0.0899621050554,0.425465179233,0.127518507857
 01/01  06:00:00,2.403549576,0.0,1.33906235653,0.0,0.0457552295226,1.38481758605,0.0457552295226,0.0854920495992,0.0185897824145,0.106595392246,0.474784944986,0.312839820704
 01/01  07:00:00,3.42859496381,0.0,1.72472485701,0.0,0.0589453507069,1.78367020772,0.0589453507069,0.196631694114,0.0427565023227,0.177474275597,0.548567314553,0.659064969502
 01/01  08:00:00,3.97156464892,0.0,1.74635445674,0.0,0.0596941262577,1.806048583,0.0596941262577,0.401812642967,0.0873719699637,0.281086459277,0.582893871518,0.754421122197
 01/01  09:00:00,3.27634092588,0.0,1.15713218553,0.0,0.0395780501511,1.19671023568,0.0395780501511,0.384714237118,0.08365401625,0.36605048386,0.492803099408,0.73197885356
 01/01  10:00:00,2.4875381881,0.0,0.678284645191,0.0,0.0232112045022,0.701495849693,0.0232112045022,0.196631694114,0.0427565023227,0.45251754537,0.419415287967,0.654291308636
 01/01  11:00:00,1.97663348451,0.0,0.282575637035,0.0,0.00967099134532,0.292246628381,0.00967099134532,0.162434887409,0.0353205718184,0.476182943291,0.429279241118,0.560739212498
 01/01  12:00:00,1.62070602627,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.496972028135,0.429410760493,0.476137778418
 01/01  13:00:00,1.53304166948,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.481415945109,0.422177194849,0.411263070299
 01/01  14:00:00,1.46423983189,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.43681890348,0.436775845512,0.372459623669
 01/01  15:00:00,1.42802069269,0.0,0.0,0.0,0.0,0.0,0.0,0.170984139652,0.0371795602137,0.402002089622,0.461369968701,0.336054934504
 01/01  16:00:00,1.52021613462,0.0,0.0,0.0,0.0,0.0,0.0,0.213730097466,0.0464744560363,0.411726405573,0.487016246893,0.34083892865
 01/01  17:00:00,1.89339164257,0.0,0.0,0.0,0.0,0.0,0.0,0.359066581522,0.078077074141,0.470575105936,0.576054864,0.389188016976
 01/01  18:00:00,2.59697127989,0.0,0.0,0.0,0.0,0.0,0.0,0.666837950491,0.145000287141,0.578065905983,0.699814596197,0.486822540082
 01/01  19:00:00,3.1245944301,0.0,0.0,0.0,0.0,0.0,0.0,0.991707725308,0.215641453855,0.522761393651,0.759787431353,0.584266425932
