Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.3077400512,10.2337321182,0.0,9.77604812145,0.0,0.33201020433,0.33201020433,0.33201020433,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.15792493466,11.3941646512,0.0,11.0458415901,0.0,0.375161854491,0.375161854491,0.375161854491,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.07361169692,11.088846469,0.0,10.7704558883,0.0,0.365816942034,0.365816942034,0.365816942034,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.10538116592,12.5227215085,0.0,12.1968259433,0.0,0.414287364351,0.414287364351,0.414287364351,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.0893541852,12.2449983414,0.0,11.8337472751,0.0,0.401974015231,0.401974015231,0.401974015231,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.1210258281,11.5568812443,0.0,10.7707109805,0.0,0.365840728822,0.365840728822,0.365840728822,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.45696196322,12.7357213451,0.0,11.2474869016,0.0,0.381994693344,0.381994693344,0.381994693344,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.9098001026,11.7006417148,0.0,10.0084969889,0.0,0.339919535221,0.339919535221,0.339919535221,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.78154716516,10.0181790744,0.0,8.3694795878,0.0,0.284191554664,0.284191554664,0.284191554664,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.4544862999,8.52100043555,0.0,7.02526546748,0.0,0.238477233767,0.238477233767,0.238477233767,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.46013556579,9.06939191207,0.0,7.75600465927,0.0,0.263257695904,0.263257695904,0.263257695904,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.40370509887,6.6248859625,0.0,5.47781763379,0.0,0.185901686423,0.185901686423,0.185901686423,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.36649397465,6.08057219636,0.0,5.06167259076,0.0,0.171751819409,0.171751819409,0.171751819409,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.32516779624,5.65210798058,0.0,4.71198709435,0.0,0.15987587656,0.15987587656,0.15987587656,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.36988244517,6.78022803357,0.0,5.91352218009,0.0,0.200631944337,0.200631944337,0.200631944337,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.48424799163,7.13503850514,0.0,6.2590573547,0.0,0.212375223589,0.212375223589,0.212375223589,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.87418860859,7.62906257342,0.0,6.65110165075,0.0,0.22570376141,0.22570376141,0.22570376141,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.6276689807,9.01259776557,0.0,7.83693259489,0.0,0.26600813703,0.26600813703,0.26600813703,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.16705790972,9.16005888095,0.0,7.79475353222,0.0,0.264682923902,0.264682923902,0.264682923902,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.1317834204,8.43132589496,0.0,7.02580257189,0.0,0.238608108937,0.238608108937,0.238608108937,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.88701538588,8.28758416144,0.0,6.9814856598,0.0,0.237113747505,0.237113747505,0.237113747505,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.64304445064,8.76732615773,0.0,7.59849348706,0.0,0.25806997119,0.25806997119,0.25806997119,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.1817487326,8.88798152334,0.0,7.9368853118,0.0,0.269571761522,0.269571761522,0.269571761522,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,1.73064382111,9.17899513416,0.0,8.46808157631,0.0,0.287616208885,0.287616208885,0.287616208885,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.24660279127,8.6410292795,0.0,8.20173619795,0.0,0.27854224129,0.27854224129,0.27854224129,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,1.08966150465,9.51327280477,0.0,9.17378869987,0.0,0.311503285878,0.311503285878,0.311503285878,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,1.02986354686,9.88724330113,0.0,9.57529705536,0.0,0.325115236793,0.325115236793,0.325115236793,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,1.00584939996,9.63649666459,0.0,9.31716936568,0.0,0.316348569913,0.316348569913,0.316348569913,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/02  05:00:00,1.01505600267,10.1400142665,0.0,9.74333746224,0.0,0.330792180903,0.330792180903,0.330792180903,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/02  06:00:00,1.071402275,10.1968145269,0.0,9.4551376365,0.0,0.320996650388,0.320996650388,0.320996650388,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/02  07:00:00,1.41528583913,11.7747283606,0.0,10.3899247629,0.0,0.352715000107,0.352715000107,0.352715000107,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/02  08:00:00,1.8756479027,11.2982452731,0.0,9.73334054387,0.0,0.330455590754,0.330455590754,0.330455590754,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/02  09:00:00,1.78628622358,11.1390016514,0.0,9.62460323217,0.0,0.32677413057,0.32677413057,0.32677413057,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/02  10:00:00,1.44738159498,9.7349440629,0.0,8.36394846785,0.0,0.283908763459,0.283908763459,0.283908763459,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/02  11:00:00,1.39241497018,8.71931932566,0.0,7.5127751296,0.0,0.254939367544,0.254939367544,0.254939367544,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/02  12:00:00,1.36176178208,7.10671676066,0.0,6.04842654894,0.0,0.205195255515,0.205195255515,0.205195255515,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/02  13:00:00,1.30819663515,5.93170427054,0.0,4.98960322644,0.0,0.169233403474,0.169233403474,0.169233403474,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/02  14:00:00,1.33384683275,7.34202200784,0.0,6.4691407558,0.0,0.219407617491,0.219407617491,0.219407617491,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/02  15:00:00,1.32302987208,6.68527605518,0.0,5.87943796535,0.0,0.199425871959,0.199425871959,0.199425871959,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/02  16:00:00,1.47537676167,8.08939663512,0.0,7.27389594452,0.0,0.246739461813,0.246739461813,0.246739461813,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/02  17:00:00,1.85889924295,8.34202912056,0.0,7.43817515658,0.0,0.252318634735,0.252318634735,0.252318634735,0.453487652263,0.103337308986,0.428670866964,0.59768478
 01/02  18:00:00,2.60652162714,9.52031071324,0.0,8.4333327352,0.0,0.286104701908,0.286104701908,0.286104701908,0.842191296402,0.191912153986,0.536821987543,0.726091487301
 01/02  19:00:00,3.185303792,10.7681720466,0.0,9.51749277814,0.0,0.322957507498,0.322957507498,0.322957507498,1.25248956773,0.285407820314,0.482732692333,0.788316204123
 01/02  20:00:00,3.244056976,12.7905282645,0.0,11.5141193073,0.0,0.390833877618,0.390833877618,0.390833877618,1.32807082119,0.302630710236,0.385424228339,0.813697338616
 01/02  21:00:00,3.00160158974,12.7398611646,0.0,11.5571800114,0.0,0.39236454993,0.39236454993,0.39236454993,1.14451631022,0.260803683128,0.338845876819,0.841671169644
 01/02  22:00:00,2.73072395568,12.4721018521,0.0,11.407261044,0.0,0.387290809806,0.387290809806,0.387290809806,0.960961801745,0.218976686564,0.318073398495,0.822021259068
 01/02  23:00:00,2.29822228044,13.2114995172,0.0,12.3424625764,0.0,0.41905405651,0.41905405651,0.41905405651,0.723420662017,0.164847621407,0.256145886137,0.71135405437
 01/02  24:00:00,1.8728032711,13.8503165601,0.0,13.191449351,0.0,0.447899645041,0.447899645041,0.447899645041,0.496676901655,0.113178951643,0.173494335907,0.618153436849
 01/03  01:00:00,1.44327010933,14.4318851885,0.0,13.9949743468,0.0,0.475209559352,0.475209559352,0.475209559352,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/03  02:00:00,1.29007915332,15.41076253,0.0,15.0744931848,0.0,0.511920934556,0.511920934556,0.511920934556,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/03  03:00:00,1.22560956263,15.6455618437,0.0,15.3367576234,0.0,0.520861252566,0.520861252566,0.520861252566,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/03  04:00:00,1.22886974764,16.1964361236,0.0,15.8804759964,0.0,0.539368917587,0.539368917587,0.539368917587,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/03  05:00:00,1.29170552227,18.2715825955,0.0,17.8789110706,0.0,0.607441700503,0.607441700503,0.607441700503,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
