Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.20503829823,2.86262039525,0.0,2.82807818091,0.0,0.0772071372266,0.0772071372266,0.0772071372266,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.177845317105
 01/01  02:00:00,0.956446076201,3.16313382262,0.0,3.131329542,0.0,0.0854833591655,0.0854833591655,0.0854833591655,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.107058400141
 01/01  03:00:00,0.872911216712,3.46522541933,0.0,3.43378988399,0.0,0.0937406470892,0.0937406470892,0.0937406470892,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0877035498688
 01/01  04:00:00,0.869139783266,3.73184928029,0.0,3.70085623929,0.0,0.101028984184,0.101028984184,0.101028984184,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.093208851485
 01/01  05:00:00,0.94494153503,4.53358970529,0.0,4.50376743057,0.0,0.122947130312,0.122947130312,0.122947130312,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.150446569819
 01/01  06:00:00,1.26193327427,4.66488497242,0.0,4.63160571067,0.0,0.126439203605,0.126439203605,0.126439203605,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.397202878031
 01/01  07:00:00,2.06295610341,5.68975844974,0.0,5.6513075354,0.0,0.154280851731,0.154280851731,0.154280851731,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.860047845362
 01/01  08:00:00,2.63004720791,4.0712221863,0.0,4.030365209,0.0,0.11003960938,0.11003960938,0.11003960938,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.991712528318
 01/01  09:00:00,2.50637153212,3.05338556218,0.0,3.01884334784,0.0,0.0824196465639,0.0824196465639,0.0824196465639,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.965033735202
 01/01  10:00:00,2.11561478226,2.16045530194,0.0,2.13105708429,0.0,0.0581755741723,0.0581755741723,0.0581755741723,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.864990103403
 01/01  11:00:00,1.96803727722,1.83782020066,0.0,1.8077305856,0.0,0.0493450214448,0.0493450214448,0.0493450214448,0.196088550257,0.0443238762875,0.476182943291,0.436158054049,0.743168831891
