Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.46976199093,12.3870401602,0.0,12.3524979459,0.0,0.342603524111,0.342603524111,0.342603524111,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.17717262292
 01/01  02:00:00,1.22398937785,12.7843454875,0.0,12.7525412069,0.0,0.353693707492,0.353693707492,0.353693707492,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.106391353468
 01/01  03:00:00,1.14144646317,13.119412341,0.0,13.0879768056,0.0,0.362992267292,0.362992267292,0.362992267292,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0869871761233
 01/01  04:00:00,1.14718293847,13.7260309564,0.0,13.6950379154,0.0,0.379832100389,0.379832100389,0.379832100389,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0924488904793
 01/01  05:00:00,1.20419935041,13.8389561492,0.0,13.8091338744,0.0,0.383001191582,0.383001191582,0.383001191582,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.149650323927
 01/01  06:00:00,1.51054212758,13.5836756716,0.0,13.5503964098,0.0,0.375831258379,0.375831258379,0.375831258379,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.396419676564
 01/01  07:00:00,2.30906865448,14.5015531895,0.0,14.4631022752,0.0,0.401137716591,0.401137716591,0.401137716591,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.85930353157
 01/01  08:00:00,2.88430873565,13.204039263,0.0,13.1631822857,0.0,0.365103176373,0.365103176373,0.365103176373,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.990910489061
 01/01  09:00:00,2.73781415588,11.3790059446,0.0,11.3444637303,0.0,0.314646986166,0.314646986166,0.314646986166,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.964249019361
 01/01  10:00:00,2.34069872482,10.2725200932,0.0,10.2431218755,0.0,0.28406783878,0.28406783878,0.28406783878,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.864181781361
 01/01  11:00:00,2.15976602495,8.7519916016,0.0,8.72190198654,0.0,0.241856529995,0.241856529995,0.241856529995,0.196088550257,0.0443238762875,0.476182943291,0.436158054049,0.742386071068
 01/01  12:00:00,2.01985155962,6.93310843698,0.0,6.90300960329,0.0,0.191396813539,0.191396813539,0.191396813539,0.196088550257,0.0443238762875,0.496972028135,0.436291680904,0.632008610499
 01/01  13:00:00,1.85902378082,5.00500071127,0.0,4.97540890234,0.0,0.1379307787,0.1379307787,0.1379307787,0.196088550257,0.0443238762875,0.481415945109,0.42894220389,0.547552426576
 01/01  14:00:00,1.74979537259,4.02334164408,0.0,3.992726567,0.0,0.11067470427,0.11067470427,0.11067470427,0.196088550257,0.0443238762875,0.43681890348,0.443774784773,0.495344553522
 01/01  15:00:00,1.70203540447,3.98548952819,0.0,3.95315056691,0.0,0.109573599149,0.109573599149,0.109573599149,0.206409051718,0.0466566951156,0.402002089622,0.468763006619,0.445860962242
 01/01  16:00:00,1.82297877015,4.57639031666,0.0,4.54225372213,0.0,0.125906158679,0.125906158679,0.125906158679,0.258011189652,0.0583208761344,0.411726405573,0.494820243304,0.451423896812
 01/01  17:00:00,2.27913828141,5.59963409621,0.0,5.55925648777,0.0,0.154115092616,0.154115092616,0.154115092616,0.433458860111,0.0979790858062,0.470575105936,0.585285624,0.514954512943
 01/01  18:00:00,3.13916824253,7.21583310093,0.0,7.16678075972,0.0,0.198721548312,0.198721548312,0.198721548312,0.80499507833,0.181961142806,0.578065905983,0.711028494362,0.641626072741
