Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.37485221703,14.3185602973,0.0,13.8660994999,0.0,0.399122370162,0.399122370162,0.399122370162,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.19288958634,14.5912326212,0.0,14.2478106937,0.0,0.410126506172,0.410126506172,0.410126506172,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.12256201098,14.7222947942,0.0,14.4088513867,0.0,0.414767256095,0.414767256095,0.414767256095,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.10447829233,14.6823179626,0.0,14.3609696048,0.0,0.413384490757,0.413384490757,0.413384490757,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.09374799678,14.5237401259,0.0,14.1169297366,0.0,0.406367826816,0.406367826816,0.406367826816,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.16117716107,14.8855752326,0.0,14.1040641741,0.0,0.405992061786,0.405992061786,0.405992061786,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.510661001,16.6195739978,0.0,15.1361968833,0.0,0.435693731124,0.435693731124,0.435693731124,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.96640293435,15.4607785868,0.0,13.7738238453,0.0,0.396522366974,0.396522366974,0.396522366974,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.89577321467,15.4824904706,0.0,13.8394855281,0.0,0.398417604175,0.398417604175,0.398417604175,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.61683878553,15.4130367787,0.0,13.9240587014,0.0,0.400829719389,0.400829719389,0.400829719389,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.56917708098,14.2424970143,0.0,12.9351734067,0.0,0.372299211092,0.372299211092,0.372299211092,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.60977801353,14.759541267,0.0,13.6193593385,0.0,0.391974601088,0.391974601088,0.391974601088,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.57464977408,14.2111785032,0.0,13.1995288897,0.0,0.379907618841,0.379907618841,0.379907618841,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.5595235621,14.6300361327,0.0,13.6974625138,0.0,0.394231642418,0.394231642418,0.394231642418,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.53391087982,13.5287646658,0.0,12.6696609024,0.0,0.364660378988,0.364660378988,0.364660378988,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.66715103159,14.6023100755,0.0,13.7331178853,0.0,0.395278263548,0.395278263548,0.395278263548,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,2.03816336907,14.510039893,0.0,13.5390935782,0.0,0.389678521888,0.389678521888,0.389678521888,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.73747906735,14.2249256253,0.0,13.056032449,0.0,0.375818223681,0.375818223681,0.375818223681,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.20443710254,11.8521954815,0.0,10.4925740478,0.0,0.302062116716,0.302062116716,0.302062116716,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.20018979803,12.066140814,0.0,10.6655242025,0.0,0.30701448657,0.30701448657,0.30701448657,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.97083432478,12.450220009,0.0,11.1493874795,0.0,0.320932686399,0.320932686399,0.320932686399,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.71044961229,12.4696446916,0.0,11.3061385286,0.0,0.325475132848,0.325475132848,0.325475132848,0.960961801745,0.218976686564,0.359614732068,0.822021259068
