Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.4336861773,16.3632008959,0.0,15.9105149496,0.0,0.457956330429,0.457956330429,0.457956330429,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.25511272051,16.7465880646,0.0,16.4035401332,0.0,0.472349640348,0.472349640348,0.472349640348,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.18049015729,16.7266870324,0.0,16.4136295635,0.0,0.472695402402,0.472695402402,0.472695402402,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.17293534822,17.0504986818,0.0,16.7296836098,0.0,0.481841546652,0.481841546652,0.481841546652,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.15460401927,16.6266736469,0.0,16.2204100922,0.0,0.467223849307,0.467223849307,0.467223849307,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.22341161818,17.0364794501,0.0,16.2555259407,0.0,0.468226518901,0.468226518901,0.468226518901,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.53068059962,17.3036543463,0.0,15.820698669,0.0,0.455713329751,0.455713329751,0.455713329751,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.01611995363,17.1782571167,0.0,15.4914172786,0.0,0.446239386254,0.446239386254,0.446239386254,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.90140549245,15.6698563122,0.0,14.0268859388,0.0,0.404049881956,0.404049881956,0.404049881956,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.55498298469,13.2610226832,0.0,11.7710519193,0.0,0.338973918548,0.338973918548,0.338973918548,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.49040528144,11.5049430877,0.0,10.1962058468,0.0,0.293527411553,0.293527411553,0.293527411553,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.43586641776,8.72062910122,0.0,7.57781830258,0.0,0.218063005317,0.218063005317,0.218063005317,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.38864085506,7.75537831928,0.0,6.74041055326,0.0,0.193898699813,0.193898699813,0.193898699813,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.3190988258,6.28479463904,0.0,5.34822199942,0.0,0.153806906114,0.153806906114,0.153806906114,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.2933372021,5.17939049353,0.0,4.31569156472,0.0,0.124086701269,0.124086701269,0.124086701269,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.40582464222,5.53269965333,0.0,4.65924258532,0.0,0.133951874174,0.133951874174,0.133951874174,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.81143197582,6.64227621213,0.0,5.66718390546,0.0,0.162947128639,0.162947128639,0.162947128639,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.54991139285,7.7185359735,0.0,6.54587773437,0.0,0.188250549182,0.188250549182,0.188250549182,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.09268135547,7.97891937978,0.0,6.61633552587,0.0,0.190306369648,0.190306369648,0.190306369648,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.11005982958,8.94186108833,0.0,7.53932893737,0.0,0.216884518117,0.216884518117,0.216884518117,1.32807082119,0.302630710236,0.425376441419,0.813697338616
