Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.32995423674,7.12713303534,0.0,7.092590821,0.0,0.202003041082,0.202003041082,0.202003041082,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.177965351756
 01/01  02:00:00,1.07879993044,7.32463594478,0.0,7.29283166416,0.0,0.207662894439,0.207662894439,0.207662894439,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.107232719103
 01/01  03:00:00,0.978444666918,7.02319643185,0.0,6.99176089652,0.0,0.199045362142,0.199045362142,0.199045362142,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0879322850223
 01/01  04:00:00,0.962243404819,6.84395081349,0.0,6.81295777249,0.0,0.193923236345,0.193923236345,0.193923236345,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0934182208762
 01/01  05:00:00,1.01963723475,6.96699395022,0.0,6.93717167549,0.0,0.197441088863,0.197441088863,0.197441088863,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.15064831099
 01/01  06:00:00,1.33155494646,6.9137668334,0.0,6.88048757165,0.0,0.195810094649,0.195810094649,0.195810094649,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.397453659169
 01/01  07:00:00,2.09498194989,6.57584068365,0.0,6.53738976931,0.0,0.186013095428,0.186013095428,0.186013095428,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.860341448147
 01/01  08:00:00,2.72113578167,7.09921564093,0.0,7.05835866363,0.0,0.200815851695,0.200815851695,0.200815851695,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.992024859762
 01/01  09:00:00,2.60606210539,6.43212197422,0.0,6.39757975987,0.0,0.181989688604,0.181989688604,0.181989688604,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.965154266428
 01/01  10:00:00,2.24270565314,6.54222974174,0.0,6.51283152409,0.0,0.185245480581,0.185245480581,0.185245480581,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.865011067882
 01/01  11:00:00,2.14212762132,7.88683817248,0.0,7.85674855742,0.0,0.223448764502,0.223448764502,0.223448764502,0.196088550257,0.0443238762875,0.476182943291,0.436158054049,0.743155432935
 01/01  12:00:00,2.0633975064,8.27000725334,0.0,8.23990841965,0.0,0.234350154696,0.234350154696,0.234350154696,0.196088550257,0.0443238762875,0.496972028135,0.436291680904,0.632601216124
 01/01  13:00:00,1.92701787907,7.25361123132,0.0,7.22401942239,0.0,0.20547716736,0.20547716736,0.20547716736,0.196088550257,0.0443238762875,0.481415945109,0.42894220389,0.548000136165
 01/01  14:00:00,1.86408287188,7.92646487521,0.0,7.89584979812,0.0,0.224590478666,0.224590478666,0.224590478666,0.196088550257,0.0443238762875,0.43681890348,0.443774784773,0.495716278415
 01/01  15:00:00,1.82062611722,8.04099238316,0.0,8.00865342187,0.0,0.227811735333,0.227811735333,0.227811735333,0.206409051718,0.0466566951156,0.402002089622,0.468763006619,0.446213538815
 01/01  16:00:00,1.92972612345,8.19967186093,0.0,8.1655352664,0.0,0.232289962386,0.232289962386,0.232289962386,0.258011189652,0.0583208761344,0.411726405573,0.494820243304,0.451787446399
 01/01  17:00:00,2.36566249945,8.481563619,0.0,8.44118601056,0.0,0.240186375423,0.240186375423,0.240186375423,0.433458860111,0.0979790858062,0.470575105936,0.585285624,0.515407448171
 01/01  18:00:00,3.2014064797,9.20062316921,0.0,9.151570828,0.0,0.260470268827,0.260470268827,0.260470268827,0.80499507833,0.181961142806,0.578065905983,0.711028494362,0.642115589392
 01/01  19:00:00,3.82151115775,8.44301692676,0.0,8.38976088932,0.0,0.238836674123,0.238836674123,0.238836674123,1.19717217884,0.270608895381,0.522761393651,0.771962340148,0.767399675607
 01/01  20:00:00,3.83831723238,8.59298785101,0.0,8.53801714801,0.0,0.243089278734,0.243089278734,0.243089278734,1.2694153222,0.286938743016,0.425376441419,0.79681693514,0.793910511873
 01/01  21:00:00,3.55489038978,9.2391434159,0.0,9.18228289333,0.0,0.261475410997,0.261475410997,0.261475410997,1.09396765174,0.247280533344,0.37951047539,0.824210440373,0.725675877943
 01/01  22:00:00,3.21452832173,9.41008120369,0.0,9.35454816414,0.0,0.266415898589,0.266415898589,0.266415898589,0.918519983775,0.207622352631,0.359614732068,0.804968173282,0.63461718139
 01/01  23:00:00,2.62830955451,9.74933279401,0.0,9.70127606506,0.0,0.27630957919,0.27630957919,0.27630957919,0.691470175382,0.156299961941,0.289154633287,0.696596794044,0.495708410671
 01/01  24:00:00,2.03301053496,10.2253491104,0.0,10.1835887071,0.0,0.290071226106,0.290071226106,0.290071226106,0.474740745326,0.107310419037,0.191618322082,0.605329652219,0.34117017019
 01/02  01:00:00,1.40958048685,10.6282580727,0.0,10.5937158583,0.0,0.301775153984,0.301775153984,0.301775153984,0.247690813811,0.0559880573062,0.115167850971,0.500699824915,0.165488785865
 01/02  02:00:00,1.17639916004,11.1451049913,0.0,11.1133007107,0.0,0.316593683165,0.316593683165,0.316593683165,0.144486286704,0.0326596952687,0.0983708244822,0.461012649041,0.100506021385
 01/02  03:00:00,1.10049850112,11.5881938103,0.0,11.556758275,0.0,0.329240163919,0.329240163919,0.329240163919,0.103204501234,0.0233283533497,0.0834501454999,0.455667574849,0.0828377622702
 01/02  04:00:00,1.11186972633,12.3383252307,0.0,12.3073321897,0.0,0.350641459678,0.350641459678,0.350641459678,0.103204501234,0.0233283533497,0.0747526356716,0.449253485819,0.0879192905746
 01/02  05:00:00,1.1649963814,12.5521890178,0.0,12.522366743,0.0,0.356784466432,0.356784466432,0.356784466432,0.103204501234,0.0233283533497,0.0868457568597,0.43228287526,0.139780428261
 01/02  06:00:00,1.46677112966,12.8903546418,0.0,12.8570753801,0.0,0.366342248137,0.366342248137,0.366342248137,0.103204501234,0.0233283533497,0.101815917579,0.482392945808,0.366917163548
 01/02  07:00:00,2.2277072802,14.0967914129,0.0,14.0583404986,0.0,0.400593751182,0.400593751182,0.400593751182,0.237370309854,0.0536552095187,0.165077844744,0.557357611348,0.790882553557
 01/02  08:00:00,2.80481605476,13.856128419,0.0,13.8152714417,0.0,0.393721025521,0.393721025521,0.393721025521,0.485061123664,0.109643266825,0.25639820385,0.592234220449,0.907488214451
 01/02  09:00:00,2.62853135763,11.6332138418,0.0,11.5986716275,0.0,0.330601482042,0.330601482042,0.330601482042,0.464420241369,0.104977600209,0.32820696637,0.500699824915,0.876855242726
 01/02  10:00:00,2.20609517071,9.94192709253,0.0,9.91252887488,0.0,0.282514235008,0.282514235008,0.282514235008,0.237370309854,0.0536552095187,0.39998131075,0.42613603994,0.783668065637
 01/02  11:00:00,2.02767254741,8.38909738211,0.0,8.35900776706,0.0,0.238219475373,0.238219475373,0.238219475373,0.196088550257,0.0443238762875,0.416780676038,0.436158054049,0.673331915401
 01/02  12:00:00,1.85447490939,5.09751245514,0.0,5.06741362145,0.0,0.144398040132,0.144398040132,0.144398040132,0.196088550257,0.0443238762875,0.435735142253,0.436291680904,0.574867619557
 01/02  13:00:00,1.70884361974,3.29336479559,0.0,3.26377298667,0.0,0.0929907797719,0.0929907797719,0.0929907797719,0.196088550257,0.0443238762875,0.425637021538,0.42894220389,0.498091187991
 01/02  14:00:00,1.61708334558,2.54468320441,0.0,2.51406812733,0.0,0.0716278815303,0.0716278815303,0.0716278815303,0.196088550257,0.0443238762875,0.385966199058,0.443774784773,0.452532053672
 01/02  15:00:00,1.57297037949,2.30843550407,0.0,2.27609654278,0.0,0.0648483349147,0.0648483349147,0.0648483349147,0.206409051718,0.0466566951156,0.356355588907,0.468763006619,0.40716770221
 01/02  16:00:00,1.68618034879,2.51843654158,0.0,2.48429994705,0.0,0.0707846596693,0.0707846596693,0.0707846596693,0.258011189652,0.0583208761344,0.368490937387,0.494820243304,0.412982442644
 01/02  17:00:00,2.11386120964,2.77756125951,0.0,2.73718365107,0.0,0.0780011130744,0.0780011130744,0.0780011130744,0.433458860111,0.0979790858062,0.428670866964,0.585285624,0.467695659682
 01/02  18:00:00,2.95206444245,3.89988271593,0.0,3.85083037472,0.0,0.109765758808,0.109765758808,0.109765758808,0.80499507833,0.181961142806,0.536821987543,0.711028494362,0.584721980602
 01/02  19:00:00,3.56517907358,3.46052939277,0.0,3.40727335534,0.0,0.0971423078553,0.0971423078553,0.0971423078553,1.19717217884,0.270608895381,0.482732692333,0.771962340148,0.692790659016
 01/02  20:00:00,3.58566514811,4.05412042028,0.0,3.99914971729,0.0,0.11403867868,0.11403867868,0.11403867868,1.2694153222,0.286938743016,0.385424228339,0.79681693514,0.710261240737
 01/02  21:00:00,3.29394308175,4.29244299963,0.0,4.23558247706,0.0,0.120791292831,0.120791292831,0.120791292831,1.09396765174,0.247280533344,0.338845876819,0.824210440373,0.646077286648
 01/02  22:00:00,2.96710210221,4.51726128728,0.0,4.46172824772,0.0,0.127246070864,0.127246070864,0.127246070864,0.918519983775,0.207622352631,0.318073398495,0.804968173282,0.56790212316
 01/02  23:00:00,2.39900040873,4.69082059519,0.0,4.64276386624,0.0,0.132416164845,0.132416164845,0.132416164845,0.691470175382,0.156299961941,0.256145886137,0.696596794044,0.443301426378
 01/02  24:00:00,1.84539529303,5.40958805029,0.0,5.36782764704,0.0,0.153094343371,0.153094343371,0.153094343371,0.474740745326,0.107310419037,0.173494335907,0.605329652219,0.308655797166
 01/03  01:00:00,1.30318430195,6.86758723055,0.0,6.8330450162,0.0,0.19487061123,0.19487061123,0.19487061123,0.247690813811,0.0559880573062,0.115167850971,0.500699824915,0.165997143723
 01/03  02:00:00,1.06400738449,7.17909710916,0.0,7.14729282854,0.0,0.203826597004,0.203826597004,0.203826597004,0.144486286704,0.0326596952687,0.0983708244822,0.461012649041,0.100881331991
