Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.46924828045,15.0925253837,0.0,14.6395669912,0.0,0.493518433577,0.493518433577,0.493518433577,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.29942886505,15.66828539,0.0,15.3246172181,0.0,0.516665784884,0.516665784884,0.516665784884,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.22550618288,15.6680907591,0.0,15.3546524388,0.0,0.51771142799,0.51771142799,0.51771142799,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.22965091573,16.2933861327,0.0,15.9719973897,0.0,0.538557114158,0.538557114158,0.538557114158,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.17592681736,14.8951908859,0.0,14.4883887369,0.0,0.48854664739,0.48854664739,0.48854664739,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.24414836943,15.2838983522,0.0,14.5021332161,0.0,0.488963270152,0.488963270152,0.488963270152,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.53348190853,15.0834335955,0.0,13.5996338658,0.0,0.458514638656,0.458514638656,0.458514638656,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.07794954217,16.7574057204,0.0,15.0694732849,0.0,0.508068974789,0.508068974789,0.508068974789,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.94948639579,15.0525666527,0.0,13.4091911358,0.0,0.452130785297,0.452130785297,0.452130785297,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.54505770542,11.2527237651,0.0,9.76183895929,0.0,0.329048639279,0.329048639279,0.329048639279,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
