Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.408647657699,0.2653437668,0.0,0.0,0.0,0.0,0.0,0.0,0.0515819817732,0.00861509811464,0.0389770129118,0.2996515649
 01/01  02:00:00,0.3586958282,0.272387429974,0.0,0.0635805191757,0.0,0.00125488281733,0.00125488281733,0.00125488281733,0.0300895004845,0.00502547575691,0.0366038093052,0.275900159836
 01/01  03:00:00,0.345432320972,0.355061966503,0.0,0.166613384433,0.0,0.0032884329347,0.0032884329347,0.0032884329347,0.0214924919608,0.00358962503138,0.0345384536427,0.272701317403
 01/01  04:00:00,0.341922775699,0.440441101863,0.0,0.247201674505,0.0,0.00487899655073,0.00487899655073,0.00487899655073,0.0214924919608,0.00358962503138,0.0332769556732,0.268862706483
 01/01  05:00:00,0.333435814693,0.548707173279,0.0,0.303737199983,0.0,0.00599483298005,0.00599483298005,0.00599483298005,0.0214924919608,0.00358962503138,0.0338304829616,0.258706381759
 01/01  06:00:00,0.365332750878,0.744681650441,0.0,0.288184630299,0.0,0.00568787335287,0.00568787335287,0.00568787335287,0.0214924919608,0.00358962503138,0.0360452309657,0.288695529567
 01/01  07:00:00,0.447535131166,1.04841734639,0.0,0.182742929614,0.0,0.00360678027381,0.00360678027381,0.00360678027381,0.0494327203042,0.00825613810691,0.0428581977933,0.333559294688
 01/01  08:00:00,0.550881924453,1.06915651363,0.0,0.0780787589142,0.0,0.00154103323204,0.00154103323204,0.00154103323204,0.101014728758,0.0168712362215,0.0522011846794,0.354431741563
 01/01  09:00:00,0.484158759208,1.01175044388,0.0,0.0662455902351,0.0,0.00130748307796,0.00130748307796,0.00130748307796,0.0967162325,0.01615331175,0.0605081669804,0.2996515649
 01/01  10:00:00,0.386304296804,0.85058461889,0.0,0.0,0.0,0.0,0.0,0.0,0.0494327203042,0.00825613810691,0.0637657254319,0.255027712961
 01/01  11:00:00,0.378971053888,0.775721936338,0.0,0.0348453514553,0.0,0.000687739473852,0.000687739473852,0.000687739473852,0.0408357277887,0.00682028916382,0.0597797549385,0.261025542523
 01/01  12:00:00,0.378617559997,0.730666206291,0.0,0.057903104709,0.0,0.00114282821392,0.00114282821392,0.00114282821392,0.0408357277887,0.00682028916382,0.0588912012469,0.261105513584
 01/01  13:00:00,0.374958312065,0.655177887868,0.0,0.0310837701696,0.0,0.000613497492462,0.000613497492462,0.000613497492462,0.0408357277887,0.00682028916382,0.0601596923813,0.256707105238
 01/01  14:00:00,0.381806728283,0.588105931674,0.0,0.0249894561836,0.0,0.000493214581853,0.000493214581853,0.000493214581853,0.0408357277887,0.00682028916382,0.0582516037592,0.26558389299
 01/01  15:00:00,0.395735436708,0.526047919496,0.0,0.0,0.0,0.0,0.0,0.0,0.0429849892577,0.00717924917155,0.0552107169154,0.280538481363
 01/01  16:00:00,0.426270255894,0.561466421106,0.0,0.0,0.0,0.0,0.0,0.0,0.0537312432423,0.00897406257845,0.0576101118494,0.296132838224
 01/01  17:00:00,0.532542551783,0.690384679119,0.0,0.0,0.0,0.0,0.0,0.0,0.0902684747732,0.0150764228146,0.0671024077954,0.3502732464
 01/01  18:00:00,0.717889532616,1.05662771931,0.0,0.13436731803,0.0,0.00265199530914,0.00265199530914,0.00265199530914,0.167641434093,0.0279990766707,0.08424901191,0.425526014633
 01/01  19:00:00,0.878050703629,0.948099117049,0.0,0.0,0.0,0.0,0.0,0.0,0.249312916351,0.0416396505423,0.0852833183682,0.461992818368
 01/01  20:00:00,0.872056997786,0.845454216091,0.0,0.0,0.0,0.0,0.0,0.0,0.264357666593,0.0441523884207,0.076857507091,0.476867435681
 01/01  21:00:00,0.836113923464,0.743359015548,0.0,0.0,0.0,0.0,0.0,0.0,0.227820435062,0.0380500237285,0.0671599615243,0.49326150315
 01/01  22:00:00,0.774816579347,0.652154859203,0.0,0.0,0.0,0.0,0.0,0.0,0.191283176851,0.0319476634923,0.0600180686125,0.481745670391
 01/01  23:00:00,0.646085129719,0.530120068243,0.0,0.0,0.0,0.0,0.0,0.0,0.143999691335,0.0240504898492,0.0513238084703,0.416889140065
 01/01  24:00:00,0.531682274511,0.402391022495,0.0,0.0,0.0,0.0,0.0,0.0,0.0988654672887,0.0165122762138,0.0442136254855,0.362268905523
 01/02  01:00:00,0.408319218933,0.255477519719,0.0,0.0,0.0,0.0,0.0,0.0,0.0515819817732,0.00861509811464,0.0386485741458,0.2996515649
 01/02  02:00:00,0.357450309035,0.214659635962,0.0,0.0106091580979,0.0,0.000209391970623,0.000209391970623,0.000209391970623,0.0300895004845,0.00502547575691,0.0364037809873,0.275900159836
 01/02  03:00:00,0.343560039744,0.262890721054,0.0,0.0778036426691,0.0,0.00153560328819,0.00153560328819,0.00153560328819,0.0214924919608,0.00358962503138,0.0344190020612,0.272701317403
 01/02  04:00:00,0.338606017059,0.273752151782,0.0,0.0842163649954,0.0,0.00166217059472,0.00166217059472,0.00166217059472,0.0214924919608,0.00358962503138,0.0331770229889,0.268862706483
 01/02  05:00:00,0.330666295327,0.408877154545,0.0,0.171566358272,0.0,0.00338618932056,0.00338618932056,0.00338618932056,0.0214924919608,0.00358962503138,0.0336696072551,0.258706381759
 01/02  06:00:00,0.364297715089,0.683960016705,0.0,0.250949220347,0.0,0.00495296151587,0.00495296151587,0.00495296151587,0.0214924919608,0.00358962503138,0.0357451070141,0.288695529567
 01/02  07:00:00,0.452336019851,1.26770182166,0.0,0.456405429233,0.0,0.00900803167868,0.00900803167868,0.00900803167868,0.0494327203042,0.00825613810691,0.0422578350732,0.333559294688
 01/02  08:00:00,0.54843005217,0.939843974639,0.0,0.0118323768444,0.0,0.000233534525713,0.000233534525713,0.000233534525713,0.101014728758,0.0168712362215,0.0510568111019,0.354431741563
 01/02  09:00:00,0.480997370515,0.881178727767,0.0,0.0,0.0,0.0,0.0,0.0,0.0967162325,0.01615331175,0.0586542613656,0.2996515649
 01/02  10:00:00,0.384158785389,0.792106211722,0.0,0.0,0.0,0.0,0.0,0.0,0.0494327203042,0.00825613810691,0.0616202140166,0.255027712961
 01/02  11:00:00,0.376266213447,0.690141580789,0.0,0.0,0.0,0.0,0.0,0.0,0.0408357277887,0.00682028916382,0.0577626539713,0.261025542523
 01/02  12:00:00,0.375707927308,0.629038885004,0.0,0.0,0.0,0.0,0.0,0.0,0.0408357277887,0.00682028916382,0.0571243967723,0.261105513584
 01/02  13:00:00,0.372778316182,0.584841832677,0.0,0.0,0.0,0.0,0.0,0.0,0.0408357277887,0.00682028916382,0.0585931939908,0.256707105238
 01/02  14:00:00,0.37980995208,0.527633630991,0.0,0.0,0.0,0.0,0.0,0.0,0.0408357277887,0.00682028916382,0.0567480421383,0.26558389299
