Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.434355600913,0.897957481581,0.0,0.621427439519,0.0197321631792,0.0197321631792,0.0197321631792,0.0535946394262,0.00915354295514,0.0389770129118,0.302884242441
 01/01  02:00:00,0.385172874695,0.940749943338,0.0,0.726714554102,0.0230753411489,0.0230753411489,0.0230753411489,0.0312635512159,0.00533956869658,0.0366038093052,0.278876604329
 01/01  03:00:00,0.37409164619,1.0662423276,0.0,0.873961202319,0.0277508586839,0.0277508586839,0.0277508586839,0.0223311048432,0.00381397662586,0.0345384536427,0.275643252395
 01/01  04:00:00,0.370147555979,1.10922385251,0.0,0.911672014953,0.0289482887638,0.0289482887638,0.0289482887638,0.0223311048432,0.00381397662586,0.0332769556732,0.271763230073
 01/01  05:00:00,0.36350121255,1.2618761575,0.0,1.00823061225,0.0320143104375,0.0320143104375,0.0320143104375,0.0223311048432,0.00381397662586,0.0338304829616,0.261497337682
 01/01  06:00:00,0.395467054221,1.4751369301,0.0,0.990544681729,0.0314527297206,0.0314527297206,0.0314527297206,0.0223311048432,0.00381397662586,0.0360452309657,0.291810012066
 01/01  07:00:00,0.492013181342,2.24798773805,0.0,1.31797202012,0.0418495182426,0.0418495182426,0.0418495182426,0.0513615444659,0.00877214789658,0.0428581977933,0.337157772944
 01/01  08:00:00,0.598851467328,2.33945120674,0.0,1.27544041115,0.0404990135899,0.0404990135899,0.0404990135899,0.104956183892,0.0179256908517,0.0522011846794,0.358255394315
 01/01  09:00:00,0.513751253882,1.72834922558,0.0,0.714641383961,0.0226919822109,0.0226919822109,0.0226919822109,0.10048996625,0.017162896,0.0605081669804,0.302884242441
 01/01  10:00:00,0.398580609838,1.12661725133,0.0,0.2169312151,0.0068882090857,0.0068882090857,0.0068882090857,0.0513615444659,0.00877214789658,0.0637657254319,0.257778982958
 01/01  11:00:00,0.392820659916,1.08999510476,0.0,0.299491795275,0.00950975222428,0.00950975222428,0.00950975222428,0.0424290814603,0.00724655345856,0.0597797549385,0.263841517835
 01/01  12:00:00,0.386626002203,0.844233124215,0.0,0.129840300618,0.00412281440453,0.00412281440453,0.00412281440453,0.0424290814603,0.00724655345856,0.0588912012469,0.263922351633
 01/01  13:00:00,0.379325820023,0.65958711144,0.0,0.0,0.0,0.0,0.0,0.0424290814603,0.00724655345856,0.0601596923813,0.259476492723
 01/01  14:00:00,0.390735100397,0.731513390919,0.0,0.136831867552,0.00434481737841,0.00434481737841,0.00434481737841,0.0424290814603,0.00724655345856,0.0582516037592,0.268449044341
 01/01  15:00:00,0.403359589017,0.626698121706,0.0,0.0717964492201,0.00227975007475,0.00227975007475,0.00227975007475,0.0446622041421,0.00762795325171,0.0552107169154,0.283564964633
 01/01  16:00:00,0.435206218045,0.682568246884,0.0,0.0910732622482,0.00289184602684,0.00289184602684,0.00289184602684,0.0558277621079,0.00953494274829,0.0576101118494,0.299327555313
 01/01  17:00:00,0.544032304144,0.821823383871,0.0,0.0961967600042,0.00305453226716,0.00305453226716,0.00305453226716,0.0937906259262,0.0160187013551,0.0671024077954,0.3540520368
 01/01  18:00:00,0.74741300437,1.56821417362,0.0,0.601573266159,0.0191017343252,0.0191017343252,0.0191017343252,0.174182598926,0.0297490181551,0.08424901191,0.430116641053
 01/01  19:00:00,0.89989560314,1.13971922049,0.0,0.136633300714,0.00433851229274,0.00433851229274,0.00433851229274,0.259040789568,0.0442421298068,0.0852833183682,0.466976853104
 01/01  20:00:00,0.891279744051,0.928245796262,0.0,0.0255668340936,0.00081182276518,0.00081182276518,0.00081182276518,0.274672565176,0.0469119094205,0.076857507091,0.482011939598
 01/01  21:00:00,0.853906256197,0.827691712841,0.0,0.0318576318303,0.00101157423989,0.00101157423989,0.00101157423989,0.236709701358,0.0404281508137,0.0671599615243,0.498582868261
 01/01  22:00:00,0.794245898829,0.842479873969,0.0,0.144232178079,0.00457979917292,0.00457979917292,0.00457979917292,0.19874683754,0.0339443922068,0.0600180686125,0.486942801298
 01/01  23:00:00,0.666858133255,0.848726593233,0.0,0.282231976441,0.00896170181643,0.00896170181643,0.00896170181643,0.149618388034,0.0255536441034,0.0513238084703,0.421386590831
 01/01  24:00:00,0.554832263048,0.873226414967,0.0,0.445948248931,0.0141601787397,0.0141601787397,0.0141601787397,0.10272306121,0.0175442910586,0.0442136254855,0.366177106553
 01/02  01:00:00,0.435658225485,0.93964351791,0.0,0.672794717629,0.021363226517,0.021363226517,0.021363226517,0.0535946394262,0.00915354295514,0.0386485741458,0.302884242441
