Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.478214267885,2.37979567559,0.0,2.08300586956,0.0,0.0408081494371,0.0408081494371,0.0408081494371,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.42470287567,2.51356044773,0.0,2.2894241673,0.0,0.0448520884696,0.0448520884696,0.0448520884696,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.408399780214,2.55095140437,0.0,2.35099507088,0.0,0.0460583234933,0.0460583234933,0.0460583234933,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.409250712377,2.87110313308,0.0,2.66493188974,0.0,0.0522086569153,0.0522086569153,0.0522086569153,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.403386473578,3.15326503285,0.0,2.88267753691,0.0,0.0564745099496,0.0564745099496,0.0564745099496,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.439724397142,3.55290296521,0.0,3.01422045354,0.0,0.0590515660576,0.0590515660576,0.0590515660576,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.530156854447,3.92317108597,0.0,2.86974489877,0.0,0.0562211467509,0.0562211467509,0.0562211467509,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.658132625993,4.54333849211,0.0,3.33947129015,0.0,0.0654235523005,0.0654235523005,0.0654235523005,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.565013777563,3.32205638398,0.0,2.17760737272,0.0,0.0426614866429,0.0426614866429,0.0426614866429,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.443391545173,2.61319195348,0.0,1.59037800394,0.0,0.0311570813096,0.0311570813096,0.0311570813096,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.414981596578,1.52389619788,0.0,0.638197407797,0.0,0.0125029197317,0.0125029197317,0.0125029197317,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.402665632737,0.844910014133,0.0,0.0506042084621,0.0,0.000991386597247,0.000991386597247,0.000991386597247,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.398315973088,0.726703868244,0.0,0.0,0.0,0.0,0.0,0.0,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.405745535823,0.653602012161,0.0,0.0,0.0,0.0,0.0,0.0,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.421455388573,0.608097416827,0.0,0.0,0.0,0.0,0.0,0.0,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.455357584883,0.647076218353,0.0,0.0,0.0,0.0,0.0,0.0,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.577027669952,0.989962581854,0.0,0.198590353142,0.0,0.00389058183956,0.00389058183956,0.00389058183956,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.806759849663,2.51170677023,0.0,1.46010775214,0.0,0.028604957967,0.028604957967,0.028604957967,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,0.982902663018,2.15648724956,0.0,1.05162748557,0.0,0.020602424703,0.020602424703,0.020602424703,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.982200542063,2.1064704643,0.0,1.09953091226,0.0,0.0215409003085,0.0215409003085,0.0215409003085,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.943829795936,2.26712295638,0.0,1.37606441875,0.0,0.0269584657711,0.0269584657711,0.0269584657711,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.876372638281,2.31735028948,0.0,1.53605559098,0.0,0.0300928514011,0.0300928514011,0.0300928514011,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.739180773232,2.48184749948,0.0,1.85053155746,0.0,0.0362537472594,0.0362537472594,0.0362537472594,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.614358531199,2.48268301824,0.0,2.01177701138,0.0,0.0394127055109,0.0394127055109,0.0394127055109,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.484098402262,2.68569069959,0.0,2.40011964466,0.0,0.0470207225807,0.0470207225807,0.0470207225807,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.431589007321,2.86977505369,0.0,2.65112919468,0.0,0.0519382484392,0.0519382484392,0.0519382484392,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
