Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.552433695725,0.389999839418,0.0,0.353804664127,0.0,0.00613937665076,0.00613937665076,0.00613937665076,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953165
 01/01  02:00:00,0.450433384341,0.467215208501,0.0,0.432716780869,0.0,0.00750869496707,0.00750869496707,0.00750869496707,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125638584
 01/01  03:00:00,0.423265723216,0.505271382252,0.0,0.478406297915,0.0,0.00830151988597,0.00830151988597,0.00830151988597,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442566418
 01/01  04:00:00,0.422969526453,0.542973201349,0.0,0.516382338856,0.0,0.00896049712025,0.00896049712025,0.00896049712025,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418960767
 01/01  05:00:00,0.451708022345,0.571434248686,0.0,0.538164106397,0.0,0.0093384640851,0.0093384640851,0.0093384640851,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253211
 01/01  06:00:00,0.656401165899,0.534194995398,0.0,0.491398587446,0.0,0.00852696790028,0.00852696790028,0.00852696790028,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992891
 01/01  07:00:00,1.06623842827,0.451117002932,0.0,0.375517244395,0.0,0.00651614304714,0.00651614304714,0.00651614304714,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273748
 01/01  08:00:00,1.25525595832,0.442356453403,0.0,0.328283323299,0.0,0.00569651893897,0.00569651893897,0.00569651893897,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.14426398846,0.465564324266,0.0,0.348020660885,0.0,0.00603901004158,0.00603901004158,0.00603901004158,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.956152285361,0.509963639274,0.0,0.391152359223,0.0,0.00678745054712,0.00678745054712,0.00678745054712,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957877
 01/01  11:00:00,0.862753636703,0.481557819993,0.0,0.374157421424,0.0,0.00649254679123,0.00649254679123,0.00649254679123,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438498003
 01/01  12:00:00,0.791047150631,0.480567890936,0.0,0.358373046813,0.0,0.00621864926879,0.00621864926879,0.00621864926879,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.38881131074
 01/01  13:00:00,0.73318455498,0.451478048636,0.0,0.314808684443,0.0,0.00546270098359,0.00546270098359,0.00546270098359,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.335009554541
 01/01  14:00:00,0.704713608494,0.304392382792,0.0,0.189282438276,0.0,0.00328451346118,0.00328451346118,0.00328451346118,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.301394967191
 01/01  15:00:00,0.691710798374,0.295127487116,0.0,0.183383748021,0.0,0.00318215675169,0.00318215675169,0.00318215675169,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.273085705563
 01/01  16:00:00,0.731176300319,0.290551547859,0.0,0.15106569681,0.0,0.00262135948382,0.00262135948382,0.00262135948382,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.279996986593
 01/01  17:00:00,0.889026081885,0.306772911121,0.0,0.0894548089001,0.0,0.00155225982228,0.00155225982228,0.00155225982228,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.323826362352
 01/01  18:00:00,1.18187907737,0.666712132795,0.0,0.322717064392,0.0,0.0055999307268,0.0055999307268,0.0055999307268,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.412832216764
 01/01  19:00:00,1.43582315216,0.277091040945,0.0,0.0,0.0,0.0,0.0,0.0,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.493217611953
 01/01  20:00:00,1.44635088169,0.159801954626,0.0,0.0,0.0,0.0,0.0,0.0,0.302393901077,0.054328132964,0.076857507091,0.495837793874,0.506403546689
 01/01  21:00:00,1.36069258996,0.109202087527,0.0,0.0,0.0,0.0,0.0,0.0,0.260599634224,0.0468193688037,0.0671599615243,0.512884036997,0.462699588411
 01/01  22:00:00,1.23439990168,0.0923652174293,0.0,0.0061793531252,0.0,0.000107226897043,0.000107226897043,0.000107226897043,0.218805336853,0.0393105991603,0.0600180686125,0.500910090608,0.404718579553
