Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.477896895053,2.36359573798,0.0,2.06680593204,0.0,0.0404907766055,0.0404907766055,0.0404907766055,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.42509404307,2.53352719267,0.0,2.30939086516,0.0,0.0452432558695,0.0452432558695,0.0452432558695,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.409721381517,2.61841105558,0.0,2.41845471582,0.0,0.0473799247963,0.0473799247963,0.0473799247963,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.405311161989,2.67001322358,0.0,2.46384199242,0.0,0.0482691065279,0.0482691065279,0.0482691065279,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.394891329031,2.71963996146,0.0,2.44905248412,0.0,0.0479793654027,0.0479793654027,0.0479793654027,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.427262614831,2.916805324,0.0,2.37812285888,0.0,0.0465897837463,0.0465897837463,0.0465897837463,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.517415764706,3.27281655859,0.0,2.21939037202,0.0,0.04348005701,0.04348005701,0.04348005701,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.642785385117,3.7599559259,0.0,2.556088724,0.0,0.0500763114246,0.0500763114246,0.0500763114246,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.567768216475,3.46265360534,0.0,2.31820459408,0.0,0.0454159255543,0.0454159255543,0.0454159255543,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.444623897638,2.67609600006,0.0,1.6532820428,0.0,0.0323894337747,0.0323894337747,0.0323894337747,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.4263344756,2.10339108495,0.0,1.21769228727,0.0,0.0238557987539,0.0238557987539,0.0238557987539,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.417315269297,1.59268415884,0.0,0.798378350715,0.0,0.0156410231577,0.0156410231577,0.0156410231577,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.407358452056,1.18944653331,0.0,0.46156311975,0.0,0.00904247896786,0.00904247896786,0.00904247896786,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.412480539712,0.999301504679,0.0,0.343780662085,0.0,0.00673500388883,0.00673500388883,0.00673500388883,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.42612352026,0.847890172593,0.0,0.23827950635,0.0,0.00466813168654,0.00466813168654,0.00466813168654,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.463799898111,1.07861359969,0.0,0.430928337796,0.0,0.00844231322746,0.00844231322746,0.00844231322746,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.589357301069,1.61937160357,0.0,0.827942439426,0.0,0.0162202129563,0.0162202129563,0.0162202129563,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.817564484735,3.06321715977,0.0,2.01161813874,0.0,0.0394095930385,0.0394095930385,0.0394095930385,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,0.988694811098,2.45214091099,0.0,1.34728113842,0.0,0.0263945727825,0.0263945727825,0.0263945727825,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.985685735939,2.28436825343,0.0,1.27742869498,0.0,0.0250260941852,0.0250260941852,0.0250260941852,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
