Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.491212136374,3.04325718305,0.0,2.74646737732,0.0,0.0538060179262,0.0538060179262,0.0538060179262,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.437535562714,3.1685904553,0.0,2.94445417488,0.0,0.0576847755136,0.0576847755136,0.0576847755136,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.423318387064,3.31245483107,0.0,3.11249849758,0.0,0.060976930343,0.060976930343,0.060976930343,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.420008315905,3.42021283504,0.0,3.21404160438,0.0,0.0629662604438,0.0629662604438,0.0629662604438,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.41372186416,3.68082334614,0.0,3.41023586884,0.0,0.0668099005314,0.0668099005314,0.0668099005314,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.445428252229,3.84404975548,0.0,3.30536729036,0.0,0.0647554211445,0.0647554211445,0.0647554211445,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.535524700731,4.19716673255,0.0,3.14374054598,0.0,0.0615889930348,0.0615889930348,0.0615889930348,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.663537118919,4.81920472571,0.0,3.61533752381,0.0,0.0708280452269,0.0708280452269,0.0708280452269,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.584756815274,4.32981743177,0.0,3.18536842051,0.0,0.062404524354,0.062404524354,0.062404524354,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.472525832641,4.10031873954,0.0,3.07750478228,0.0,0.0602913687782,0.0602913687782,0.0602913687782,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.459734063152,3.80823528154,0.0,2.92253648803,0.0,0.0572553863058,0.0572553863058,0.0572553863058,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.455967791063,3.56565844757,0.0,2.77135264192,0.0,0.0542935449232,0.0542935449232,0.0542935449232,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.448781065138,3.30381700635,0.0,2.57593359165,0.0,0.05046509205,0.05046509205,0.05046509205,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.449350007757,2.88126183407,0.0,2.22574099119,0.0,0.0436044719337,0.0436044719337,0.0436044719337,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.460674895429,2.61152607061,0.0,2.00191540437,0.0,0.0392195068558,0.0392195068558,0.0392195068558,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.49802490702,2.82559050082,0.0,2.17790523893,0.0,0.0426673221371,0.0426673221371,0.0426673221371,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.617043369106,3.03257565769,0.0,2.24114649355,0.0,0.0439062809931,0.0439062809931,0.0439062809931,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.842435781006,4.33274438153,0.0,3.28114534915,0.0,0.0642808893098,0.0642808893098,0.0642808893098,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.00817489276,3.44647963986,0.0,2.34161989171,0.0,0.0458746544416,0.0458746544416,0.0458746544416,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.00331223611,3.18409303231,0.0,2.17715347577,0.0,0.0426525943518,0.0426525943518,0.0426525943518,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.960483363255,3.11718548516,0.0,2.2261269419,0.0,0.0436120330905,0.0436120330905,0.0436120330905,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.891520534336,3.0905575257,0.0,2.30926282603,0.0,0.0452407474561,0.0452407474561,0.0452407474561,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.75191701491,3.13195454111,0.0,2.50063862033,0.0,0.0489899889377,0.0489899889377,0.0489899889377,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
