Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.496888298244,3.33299045101,0.0,3.03620064518,0.0,0.0594821797961,0.0594821797961,0.0594821797961,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.446409914182,3.62157169685,0.0,3.39743541642,0.0,0.066559126982,0.066559126982,0.066559126982,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.432231574963,3.76741843436,0.0,3.56746210088,0.0,0.0698901182428,0.0698901182428,0.0698901182428,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.42817253454,3.83694614866,0.0,3.63077491801,0.0,0.0711304790792,0.0711304790792,0.0711304790792,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.413794854066,3.68454903339,0.0,3.41396155609,0.0,0.0668828904371,0.0668828904371,0.0668828904371,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.444977127184,3.82102258737,0.0,3.28234012225,0.0,0.0643042960991,0.0643042960991,0.0643042960991,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.543350800715,4.596641159,0.0,3.54321497517,0.0,0.0694150930189,0.0694150930189,0.0694150930189,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.651742144893,4.2171436049,0.0,3.01327640448,0.0,0.0590330712009,0.0590330712009,0.0590330712009,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.569562306441,3.55423090008,0.0,2.40978188884,0.0,0.0472100155203,0.0472100155203,0.0472100155203,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.452276286095,3.06670352176,0.0,2.04388956342,0.0,0.040041822232,0.040041822232,0.040041822232,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.439040516807,2.75195659267,0.0,1.86625780124,0.0,0.0365618399612,0.0365618399612,0.0365618399612,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.428009126049,2.13853998455,0.0,1.34423418316,0.0,0.0263348799092,0.0263348799092,0.0263348799092,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.417492625011,1.70673393263,0.0,0.97885052534,0.0,0.0191766519233,0.0191766519233,0.0191766519233,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.422586740519,1.51516110132,0.0,0.859640260975,0.0,0.0168412046959,0.0168412046959,0.0168412046959,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.438623794595,1.48595254911,0.0,0.876341882863,0.0,0.0171684060216,0.0171684060216,0.0171684060216,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.475743627626,1.68826777484,0.0,1.04058251294,0.0,0.0203860427425,0.0203860427425,0.0203860427425,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.600582447764,2.19234653072,0.0,1.40091736658,0.0,0.0274453596507,0.0274453596507,0.0274453596507,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
