Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.468049664515,1.86095498377,0.0,1.56416517783,0.0,0.0306435460668,0.0306435460668,0.0306435460668,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.415013335875,2.01896888029,0.0,1.79483255889,0.0,0.0351625486746,0.0351625486746,0.0351625486746,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.400735773313,2.15975084196,0.0,1.95979449993,0.0,0.0383943165922,0.0383943165922,0.0383943165922,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.397829009357,2.28809519788,0.0,2.0819239671,0.0,0.0407869538958,0.0407869538958,0.0407869538958,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.38993151803,2.46647214044,0.0,2.19588453681,0.0,0.0430195544019,0.0430195544019,0.0430195544019,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.424217636439,2.76137791069,0.0,2.2226953781,0.0,0.0435448053547,0.0435448053547,0.0435448053547,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.515366862882,3.16823268102,0.0,2.11480649392,0.0,0.0414311551856,0.0414311551856,0.0414311551856,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.642628171658,3.75193114259,0.0,2.54806394064,0.0,0.0499190979654,0.0499190979654,0.0499190979654,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.565525966667,3.34820049796,0.0,2.2037514867,0.0,0.043173675747,0.043173675747,0.043173675747,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.456009442388,3.25725826471,0.0,2.23444430744,0.0,0.0437749785249,0.0437749785249,0.0437749785249,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.445021692221,3.05725893424,0.0,2.17156014072,0.0,0.0425430153748,0.0425430153748,0.0425430153748,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.443159627501,2.91188021341,0.0,2.11757440775,0.0,0.0414853813609,0.0414853813609,0.0414853813609,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.440073890483,2.85936911633,0.0,2.13148570163,0.0,0.0417579173953,0.0417579173953,0.0417579173953,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.445608677575,2.6902898631,0.0,2.03476902022,0.0,0.0398631417514,0.0398631417514,0.0398631417514,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.460883637642,2.62218108097,0.0,2.01257041473,0.0,0.0394282490689,0.0394282490689,0.0394282490689,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.493080775399,2.57322288974,0.0,1.92553762784,0.0,0.0377231905162,0.0377231905162,0.0377231905162,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.608633680994,2.60331263203,0.0,1.81188346788,0.0,0.0354965928808,0.0354965928808,0.0354965928808,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.808439320142,2.59743345709,0.0,1.54583442471,0.0,0.0302844284457,0.0302844284457,0.0302844284457,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,0.984363845595,2.23107164704,0.0,1.12621189889,0.0,0.02206360728,0.02206360728,0.02206360728,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.978876047047,1.93677537783,0.0,0.929835821296,0.0,0.0182164052929,0.0182164052929,0.0182164052929,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.934090120657,1.76997224448,0.0,0.878913701212,0.0,0.0172187904919,0.0172187904919,0.0172187904919,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.863643709385,1.66761650046,0.0,0.886321800792,0.0,0.0173639225048,0.0173639225048,0.0173639225048,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.721606912916,1.5848096485,0.0,0.953493718354,0.0,0.0186798869435,0.0186798869435,0.0186798869435,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.595347661798,1.51229466812,0.0,1.04138866753,0.0,0.0204018361099,0.0204018361099,0.0204018361099,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.458803648148,1.39454856203,0.0,1.10897750723,0.0,0.0217259684664,0.0217259684664,0.0217259684664,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.402257423881,1.37257752543,0.0,1.15393166642,0.0,0.0226066649988,0.0226066649988,0.0226066649988,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.385171766125,1.36706936949,0.0,1.17144461334,0.0,0.0229497609858,0.0229497609858,0.0229497609858,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.379679713008,1.36203628532,0.0,1.16061459697,0.0,0.0227375902316,0.0227375902316,0.0227375902316,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.369135388439,1.4033418168,0.0,1.14258132277,0.0,0.0223843005174,0.0223843005174,0.0223843005174,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.401612536436,1.59278930728,0.0,1.08416308302,0.0,0.0212398293027,0.0212398293027,0.0212398293027,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.491535373613,1.91285097387,0.0,0.928999893371,0.0,0.0182000286364,0.0182000286364,0.0182000286364,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.606835386071,1.90251593702,0.0,0.779474906809,0.0,0.0152706859565,0.0152706859565,0.0152706859565,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.536028511307,1.85709840996,0.0,0.79271773071,0.0,0.0155301260016,0.0155301260016,0.0155301260016,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.4263742224,1.7838358285,0.0,0.831263200281,0.0,0.0162852699526,0.0162852699526,0.0162852699526,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.415906457792,1.61553350417,0.0,0.788366542541,0.0,0.0154448819129,0.0154448819129,0.0154448819129,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.414974389354,1.51569216024,0.0,0.769075317202,0.0,0.0150669476891,0.0150669476891,0.0150669476891,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.41448956287,1.59246065592,0.0,0.905522752184,0.0,0.0177400881725,0.0177400881725,0.0177400881725,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
