Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.606831679002,3.52488816544,0.0,3.48869299014,0.0,0.0605373598966,0.0605373598966,0.0605373598966,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953196
 01/01  02:00:00,0.513161906593,4.08218155083,0.0,4.0476831232,0.0,0.0702372065036,0.0702372065036,0.0702372065036,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125745735
 01/01  03:00:00,0.490015664801,4.35198702824,0.0,4.3251219439,0.0,0.0750514489106,0.0750514489106,0.0750514489106,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442692014
 01/01  04:00:00,0.491782030297,4.50855227853,0.0,4.48196141603,0.0,0.0777729975242,0.0777729975242,0.0777729975242,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418995169
 01/01  05:00:00,0.519980377854,4.50588544526,0.0,4.47261530297,0.0,0.0776108195935,0.0776108195935,0.0776108195935,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253212
 01/01  06:00:00,0.722911354783,4.36709471433,0.0,4.32429830638,0.0,0.0750371567842,0.0750371567842,0.0750371567842,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992891
 01/01  07:00:00,1.14402564222,4.93389769368,0.0,4.85829793515,0.0,0.0843033569924,0.0843033569924,0.0843033569924,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273748
 01/01  08:00:00,1.31994582506,4.17035326448,0.0,4.05628013438,0.0,0.0703863856837,0.0703863856837,0.0703863856837,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.19854433627,3.59367346621,0.0,3.47612980283,0.0,0.0603193578558,0.0603193578558,0.0603193578558,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,1.01054764971,3.64470104151,0.0,3.52588976146,0.0,0.061182814896,0.061182814896,0.061182814896,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957877
 01/01  11:00:00,0.91618834833,3.56093399697,0.0,3.4535335984,0.0,0.059927258418,0.059927258418,0.059927258418,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438498003
 01/01  12:00:00,0.843623304881,3.51046647083,0.0,3.38827162671,0.0,0.058794803519,0.058794803519,0.058794803519,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.38881131074
 01/01  13:00:00,0.785761420492,3.48141760244,0.0,3.34474823825,0.0,0.0580395662314,0.0580395662314,0.0580395662314,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.335009554805
 01/01  14:00:00,0.759792915203,3.47854453268,0.0,3.36343458816,0.0,0.0583638201262,0.0583638201262,0.0583638201262,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.301394967235
 01/01  15:00:00,0.745651288138,3.40365103106,0.0,3.29190729196,0.0,0.0571226465163,0.0571226465163,0.0571226465163,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.273085705563
 01/01  16:00:00,0.784738819307,3.3772931046,0.0,3.23780725356,0.0,0.056183878472,0.056183878472,0.056183878472,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.279996986593
 01/01  17:00:00,0.941812632211,3.34879635598,0.0,3.13147825376,0.0,0.0543388101481,0.0543388101481,0.0543388101481,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.323826362352
 01/01  18:00:00,1.22702770255,3.26857142178,0.0,2.92457635338,0.0,0.0507485559061,0.0507485559061,0.0507485559061,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.412832216764
 01/01  19:00:00,1.48311445355,2.9971475053,0.0,2.72005646436,0.0,0.0471996353899,0.0471996353899,0.0471996353899,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.493309277949
 01/01  20:00:00,1.49200377658,2.78386710002,0.0,2.6240651454,0.0,0.0455339511238,0.0455339511238,0.0455339511238,0.302393901077,0.054328132964,0.076857507091,0.495837793874,0.506522490455
 01/01  21:00:00,1.40294554934,2.53949666992,0.0,2.43029458239,0.0,0.0421715577165,0.0421715577165,0.0421715577165,0.260599634224,0.0468193688037,0.0671599615243,0.512884036997,0.462780990073
 01/01  22:00:00,1.27560506219,2.46494801186,0.0,2.37876214756,0.0,0.0412773438769,0.0412773438769,0.0412773438769,0.218805336853,0.0393105991603,0.0600180686125,0.500910090608,0.404753623084
 01/01  23:00:00,1.05152895056,2.42914654677,0.0,2.36683806724,0.0,0.0410704319062,0.0410704319062,0.0410704319062,0.164718627801,0.0295933730176,0.0513238084703,0.433473489764,0.320819219602
 01/01  24:00:00,0.83011844198,2.4474515007,0.0,2.39939917407,0.0,0.0416354467838,0.0416354467838,0.0416354467838,0.113090388878,0.0203178359816,0.0442136254855,0.376680396822,0.223650748028
 01/02  01:00:00,0.580446536564,2.45236205006,0.0,2.41616687477,0.0,0.0419264074201,0.0419264074201,0.0419264074201,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108165202001
