Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.460549906134,1.47813829294,0.0,1.181348487,0.0,0.0231437876865,0.0231437876865,0.0231437876865,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.405327519874,1.52456730779,0.0,1.30043102736,0.0,0.025476732674,0.025476732674,0.025476732674,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.391476280164,1.68711047007,0.0,1.48715413658,0.0,0.0291348234437,0.0291348234437,0.0291348234437,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.388254021196,1.79935074806,0.0,1.5931795174,0.0,0.0312119657349,0.0312119657349,0.0312119657349,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.381710221296,2.04682521342,0.0,1.77623773612,0.0,0.0347982576674,0.0347982576674,0.0347982576674,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.416329516257,2.35873767699,0.0,1.82005519798,0.0,0.0356566851722,0.0356566851722,0.0356566851722,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.516055937137,3.20340570198,0.0,2.14997951051,0.0,0.0421202294405,0.0421202294405,0.0421202294405,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.635739906955,3.40032745545,0.0,2.19646025355,0.0,0.0430308332633,0.0430308332633,0.0430308332633,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.559271954165,3.02897149762,0.0,1.88452248636,0.0,0.0369196632447,0.0369196632447,0.0369196632447,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.450035123504,2.952305909,0.0,1.92949195174,0.0,0.0378006596405,0.0378006596405,0.0378006596405,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.439791563285,2.79029291343,0.0,1.90459411992,0.0,0.0373128864391,0.0373128864391,0.0373128864391,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.437527097794,2.62437410003,0.0,1.83006829437,0.0,0.0358528516545,0.0358528516545,0.0358528516545,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.433768006814,2.53749241088,0.0,1.80960899618,0.0,0.0354520337258,0.0354520337258,0.0354520337258,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.429516847418,1.86890057858,0.0,1.21337973569,0.0,0.0237713115944,0.0237713115944,0.0237713115944,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.447354240445,1.93158829102,0.0,1.32197762477,0.0,0.025898851872,0.025898851872,0.025898851872,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.48402153068,2.11080398115,0.0,1.46311871925,0.0,0.0286639457968,0.0286639457968,0.0286639457968,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.598640151589,2.09320421753,0.0,1.30177505339,0.0,0.025503063476,0.025503063476,0.025503063476,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.816554101972,3.01164332486,0.0,1.96004429248,0.0,0.0383992102758,0.0383992102758,0.0383992102758,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,0.986760202317,2.35339096477,0.0,1.24853121957,0.0,0.024459964002,0.024459964002,0.024459964002,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.982638359679,2.12881837347,0.0,1.12187881769,0.0,0.0219787179248,0.0219787179248,0.0219787179248,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.938813115017,2.01105215401,0.0,1.11999361076,0.0,0.0219417848525,0.0219417848525,0.0219417848525,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.867481420101,1.86350810684,0.0,1.08221340717,0.0,0.0212016332205,0.0212016332205,0.0212016332205,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.724216265394,1.71800109685,0.0,1.08668516671,0.0,0.0212892394219,0.0212892394219,0.0212892394219,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.596487956766,1.5704997361,0.0,1.09959373551,0.0,0.0215421310783,0.0215421310783,0.0215421310783,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.460860867414,1.49955699451,0.0,1.21398593971,0.0,0.0237831877318,0.0237831877318,0.0237831877318,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.404444470266,1.48421283649,0.0,1.26556697749,0.0,0.0247937113835,0.0247937113835,0.0247937113835,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.387340278969,1.4777586569,0.0,1.28213390075,0.0,0.0251182738295,0.0251182738295,0.0251182738295,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.382353617163,1.49852257169,0.0,1.29710101268,0.0,0.0254114943861,0.0254114943861,0.0254114943861,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.372023326952,1.55075336403,0.0,1.28999288042,0.0,0.0252722390303,0.0252722390303,0.0252722390303,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.404322208202,1.73110143979,0.0,1.22247521602,0.0,0.0239495010685,0.0239495010685,0.0239495010685,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.494029434186,2.04015747721,0.0,1.05630639674,0.0,0.0206940892099,0.0206940892099,0.0206940892099,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.614149201881,2.27584139948,0.0,1.15280036927,0.0,0.0225845017662,0.0225845017662,0.0225845017662,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.539840687677,2.05168672124,0.0,0.987305965237,0.0,0.019342302371,0.019342302371,0.019342302371,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.430137815542,1.97594435291,0.0,1.02337155887,0.0,0.0200488630946,0.0200488630946,0.0200488630946,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.420478038895,1.8488846414,0.0,1.0217177335,0.0,0.0200164630165,0.0200164630165,0.0200164630165,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.419868259827,1.765494116,0.0,1.0188774048,0.0,0.0199608181622,0.0199608181622,0.0199608181622,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.416087168655,1.67400847979,0.0,0.987070733986,0.0,0.0193376939576,0.0193376939576,0.0193376939576,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.411064953758,0.968808459799,0.0,0.348271280565,0.0,0.00682297955548,0.00682297955548,0.00682297955548,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.420171651934,0.577479491301,0.0,0.0,0.0,0.0,0.0,0.0,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.45415442498,0.615029457965,0.0,0.0,0.0,0.0,0.0,0.0,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/02  17:00:00,0.573540687815,0.834115907012,0.0,0.0845727928069,0.0,0.00165686483059,0.00165686483059,0.00165686483059,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/02  18:00:00,0.783907192151,1.36246601407,0.0,0.363033477342,0.0,0.00711218562106,0.00711218562106,0.00711218562106,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
