Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.486501300557,2.80279789283,0.0,2.50600808691,0.0,0.0490951821096,0.0490951821096,0.0490951821096,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.433768505526,2.97630527842,0.0,2.75216899799,0.0,0.053917718326,0.053917718326,0.053917718326,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.420201250113,3.15334410881,0.0,2.95338776468,0.0,0.057859793392,0.057859793392,0.057859793392,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.418007944573,3.31810616448,0.0,3.11193491041,0.0,0.0609658891117,0.0609658891117,0.0609658891117,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.408612715754,3.42003264012,0.0,3.14944516244,0.0,0.0617007521252,0.0617007521252,0.0617007521252,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.445536682731,3.84958446792,0.0,3.31090200279,0.0,0.0648638516463,0.0648638516463,0.0648638516463,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.549462158568,4.90858851671,0.0,3.85516233014,0.0,0.0755264508717,0.0755264508717,0.0755264508717,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.667623166635,5.02777241363,0.0,3.82390521173,0.0,0.0749140929433,0.0749140929433,0.0749140929433,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.584616286125,4.32264428015,0.0,3.17819526889,0.0,0.0622639952045,0.0622639952045,0.0622639952045,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.463193689144,3.62397002123,0.0,2.60115606397,0.0,0.0509592252806,0.0509592252806,0.0509592252806,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.443035935182,2.95589821825,0.0,2.07019941684,0.0,0.040557258336,0.040557258336,0.040557258336,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.434758592741,2.48305889658,0.0,1.68875308271,0.0,0.0330843466015,0.0330843466015,0.0330843466015,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.426206452084,2.15152139691,0.0,1.42363798052,0.0,0.0278904789959,0.0278904789959,0.0278904789959,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.430191277682,1.90332610922,0.0,1.24780526633,0.0,0.0244457418584,0.0244457418584,0.0244457418584,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.44818101455,1.97379004086,0.0,1.36417937461,0.0,0.0267256259773,0.0267256259773,0.0267256259773,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.488305879217,2.32949371035,0.0,1.68180844845,0.0,0.0329482943336,0.0329482943336,0.0329482943336,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.608727418932,2.60809738478,0.0,1.81666821499,0.0,0.0355903308187,0.0355903308187,0.0355903308187,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.836838681602,4.04704676888,0.0,2.9954477355,0.0,0.0586837899057,0.0586837899057,0.0586837899057,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.00283607947,3.173965949,0.0,2.06910620083,0.0,0.0405358411508,0.0405358411508,0.0405358411508,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.99813453158,2.91980295624,0.0,1.9128633997,0.0,0.0374748898256,0.0374748898256,0.0374748898256,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.954024992295,2.78752523828,0.0,1.89646669501,0.0,0.0371536621301,0.0371536621301,0.0371536621301,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.886556367662,2.83716719548,0.0,2.05587254831,0.0,0.0402765807823,0.0402765807823,0.0402765807823,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
