Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.500174648427,0.0353437826845,0.0,0.0,0.0,0.0,0.0,0.051298941822,0.00853938354461,0.0389770129118,0.299196969621,0.0923673405281
 01/01  02:00:00,0.413841108294,0.033714519307,0.0,0.0,0.0,0.0,0.0,0.0299243937853,0.00498130633154,0.0366038093052,0.275481597329,0.0570550015435
 01/01  03:00:00,0.390625720122,0.0260902648037,0.0,0.0,0.0,0.0,0.0,0.0213745639571,0.003558075888,0.0345384536427,0.272287607795,0.0490720188398
 01/01  04:00:00,0.428769391743,0.0258269495104,0.0390880947882,0.0,0.000713296175344,0.0398013909635,0.000713296175344,0.0213745639571,0.003558075888,0.0332769556732,0.268454820353,0.0525085849081
 01/01  05:00:00,0.602060417784,0.0325350862223,0.190515596652,0.0,0.00347660962172,0.193992206274,0.00347660962172,0.0213745639571,0.003558075888,0.0338304829616,0.258313903582,0.0811961851214
 01/01  06:00:00,0.89850175629,0.0419761444586,0.323267182823,0.0,0.00589911701686,0.32916629984,0.00589911701686,0.0213745639571,0.003558075888,0.0360452309657,0.288257555466,0.210305030173
 01/01  07:00:00,1.75028881641,0.074652024733,0.841181346427,0.0,0.0153502349098,0.856531581337,0.0153502349098,0.0491615002853,0.00818357405654,0.0428581977933,0.333053258684,0.450705704255
 01/01  08:00:00,1.3421904473,0.113066091931,0.283071825287,0.0,0.00516561504005,0.288237440327,0.00516561504005,0.100460442107,0.0167229531842,0.0522011846794,0.353894040395,0.505879386613
 01/01  09:00:00,0.955858655232,0.116692270773,0.0,0.0,0.0,0.0,0.0,0.0961855325,0.016011338625,0.0605081669804,0.299196969621,0.474161647506
 01/01  10:00:00,0.797560440285,0.118086676095,0.0,0.0,0.0,0.0,0.0,0.0491615002853,0.00818357405654,0.0637657254319,0.254640815618,0.412013824894
