Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.494887212364,3.23084728387,0.0,2.93405747793,0.0,0.0574810939165,0.0574810939165,0.0574810939165,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.447625446977,3.68361726018,0.0,3.45948091425,0.0,0.0677746597773,0.0677746597773,0.0677746597773,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.433514685192,3.8329133698,0.0,3.6329570124,0.0,0.071173228471,0.071173228471,0.071173228471,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.431592030584,4.01149059174,0.0,3.8053192291,0.0,0.0745499751232,0.0745499751232,0.0745499751232,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.426021961809,4.3086679663,0.0,4.03808045265,0.0,0.0791099981805,0.0791099981805,0.0791099981805,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.461824875244,4.68099684869,0.0,4.14231438184,0.0,0.0811520441589,0.0811520441589,0.0811520441589,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.552294414611,5.05315782565,0.0,3.99973163904,0.0,0.0783587069147,0.0783587069147,0.0783587069147,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.666521066908,4.97151697859,0.0,3.76764977668,0.0,0.0738119932164,0.0738119932164,0.0738119932164,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.581891018122,4.18353605486,0.0,3.0390870436,0.0,0.0595387272019,0.0595387272019,0.0595387272019,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.458587071269,3.38883042912,0.0,2.3660164606,0.0,0.0463526074055,0.0463526074055,0.0463526074055,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.434116834397,2.50063279534,0.0,1.61493399699,0.0,0.0316381575507,0.0316381575507,0.0316381575507,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.422696844601,1.86738058546,0.0,1.07307478021,0.0,0.0210225984612,0.0210225984612,0.0210225984612,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.413941880744,1.5254902103,0.0,0.797606797049,0.0,0.0156259076567,0.0156259076567,0.0156259076567,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.420362643096,1.4016345641,0.0,0.746113721512,0.0,0.0146171072725,0.0146171072725,0.0146171072725,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
