Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.545975718852,0.0361951752915,0.0,0.0,0.0,0.0,0.0,0.0,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115292352942
 01/01  02:00:00,0.44280026246,0.0344984276322,0.0,0.0,0.0,0.0,0.0,0.0,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.068188136945
 01/01  03:00:00,0.416396555316,0.109954822605,0.0,0.0830897382684,0.0,0.00144181027206,0.00144181027206,0.00144181027206,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573347983556
 01/01  04:00:00,0.416544657138,0.172716372695,0.0,0.146125510202,0.0,0.00253563515797,0.00253563515797,0.00253563515797,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418887235
 01/01  05:00:00,0.446206013093,0.254360278506,0.0,0.221090136217,0.0,0.00383645485101,0.00383645485101,0.00383645485101,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253193
 01/01  06:00:00,0.651844406567,0.271594780696,0.0,0.228798372744,0.0,0.00397021161612,0.00397021161612,0.00397021161612,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116989843
 01/01  07:00:00,1.06483806836,0.370416057018,0.0,0.294816298481,0.0,0.00511578416758,0.00511578416758,0.00511578416758,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801272714
 01/01  08:00:00,1.25438156723,0.391966379261,0.0,0.277893249157,0.0,0.00482212785263,0.00482212785263,0.00482212785263,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.13817761141,0.11754366338,0.0,0.0,0.0,0.0,0.0,0.0,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.62505931547
 01/01  10:00:00,0.948994007512,0.118811280051,0.0,0.0,0.0,0.0,0.0,0.0,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.542821130575
 01/01  11:00:00,0.855372482295,0.107400398569,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.458549890387
 01/01  12:00:00,0.783545185746,0.122194844123,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.387527995124
 01/01  13:00:00,0.726148208527,0.136669364193,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.333435909072
 01/01  14:00:00,0.699747270401,0.115109944515,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.29971314256
 01/01  15:00:00,0.686687176322,0.111743739095,0.0,0.0,0.0,0.0,0.0,0.0,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.271244240262
 01/01  16:00:00,0.726715976074,0.139485851048,0.0,0.0,0.0,0.0,0.0,0.0,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.278158021831
 01/01  17:00:00,0.885940672258,0.217318102221,0.0,0.0,0.0,0.0,0.0,0.0,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.322293212546
 01/01  18:00:00,1.17531217196,0.343995068403,0.0,0.0,0.0,0.0,0.0,0.0,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.411865242082
