Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.492896780836,3.12924795597,0.0,2.83245815003,0.0,0.0554906623884,0.0554906623884,0.0554906623884,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.443626103965,3.47947527812,0.0,3.25533896997,0.0,0.0637753167653,0.0637753167653,0.0637753167653,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.431774294838,3.74407709311,0.0,3.54412075368,0.0,0.0694328381177,0.0694328381177,0.0694328381177,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.427815747692,3.8187343674,0.0,3.61256313652,0.0,0.0707736922303,0.0707736922303,0.0707736922303,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.42223968901,4.1156060894,0.0,3.84501861209,0.0,0.0753277253818,0.0753277253818,0.0753277253818,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.455303139775,4.34810223039,0.0,3.80941976526,0.0,0.0746303086907,0.0746303086907,0.0746303086907,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.546769826791,4.77116148381,0.0,3.71773529724,0.0,0.0728341190943,0.0728341190943,0.0728341190943,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.666098783242,4.94996198608,0.0,3.74609478418,0.0,0.0733897095502,0.0733897095502,0.0733897095502,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.594819312695,4.84344624072,0.0,3.69899722945,0.0,0.0724670217751,0.0724670217751,0.0724670217751,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.479826472981,4.472971675,0.0,3.45015771774,0.0,0.0675920091176,0.0675920091176,0.0675920091176,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.467099319745,4.18418649329,0.0,3.29848768716,0.0,0.0646206428995,0.0646206428995,0.0646206428995,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.463310718457,3.9404698978,0.0,3.14616407228,0.0,0.0616364723171,0.0616364723171,0.0616364723171,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.457583211232,3.7531126104,0.0,3.02522919148,0.0,0.0592672381444,0.0592672381444,0.0592672381444,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.46154240733,3.50360909918,0.0,2.84808824843,0.0,0.0557968715069,0.0557968715069,0.0557968715069,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.475594755295,3.37309346036,0.0,2.76348278988,0.0,0.0541393667221,0.0541393667221,0.0541393667221,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.508361530667,3.35321177318,0.0,2.70552651123,0.0,0.0530039457833,0.0530039457833,0.0530039457833,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.624566936338,3.41660764444,0.0,2.62517848029,0.0,0.0514298482249,0.0514298482249,0.0514298482249,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.846156963152,4.52268784593,0.0,3.47108888639,0.0,0.0680020714561,0.0680020714561,0.0680020714561,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.0086483874,3.47064867251,0.0,2.36578889078,0.0,0.0463481490871,0.0463481490871,0.0463481490871,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.00277840823,3.15684440443,0.0,2.149904835,0.0,0.0421187664731,0.0421187664731,0.0421187664731,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.957038806188,2.94136196247,0.0,2.0503034192,0.0,0.0401674760233,0.0401674760233,0.0401674760233,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.885148059668,2.76528175799,0.0,1.98398705832,0.0,0.038868272788,0.038868272788,0.038868272788,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.742962192178,2.67486574422,0.0,2.04354981408,0.0,0.0400351662057,0.0400351662057,0.0400351662057,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.615940392045,2.56342731113,0.0,2.09252131054,0.0,0.0409945663566,0.0409945663566,0.0409945663566,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.48042935495,2.49840832591,0.0,2.21283727111,0.0,0.0433516752686,0.0433516752686,0.0433516752686,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.424570815447,2.51153938093,0.0,2.29289352193,0.0,0.0449200565652,0.0449200565652,0.0449200565652,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.406761840885,2.46911033608,0.0,2.27348557993,0.0,0.0445398357464,0.0445398357464,0.0445398357464,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.400237185228,2.41136914422,0.0,2.20994753382,0.0,0.0432950624509,0.0432950624509,0.0432950624509,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.389605026692,2.44819122,0.0,2.18743087408,0.0,0.0428539387705,0.0428539387705,0.0428539387705,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.420761699746,2.57023666624,0.0,2.06161048315,0.0,0.0403889926125,0.0403889926125,0.0403889926125,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.516612825537,3.19290116556,0.0,2.20905008608,0.0,0.0432774805604,0.0432774805604,0.0432774805604,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.63462034175,3.32076759908,0.0,2.19772656887,0.0,0.0430556416356,0.0430556416356,0.0430556416356,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.557235116519,2.93956568358,0.0,1.87518492758,0.0,0.0367367312139,0.0367367312139,0.0367367312139,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.446048534081,2.78808896474,0.0,1.83551620553,0.0,0.0359595816336,0.0359595816336,0.0359595816336,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.435251866606,2.60299808277,0.0,1.77583107266,0.0,0.0347902907271,0.0347902907271,0.0347902907271,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.433562978784,2.46452574607,0.0,1.71790885714,0.0,0.0336555371187,0.0336555371187,0.0336555371187,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.42921593774,2.34415182628,0.0,1.65721391474,0.0,0.0324664630427,0.0324664630427,0.0324664630427,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.433818882161,2.13025704895,0.0,1.50971984104,0.0,0.0295769079586,0.0295769079586,0.0295769079586,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.448419053554,2.0193713589,0.0,1.44185669249,0.0,0.02824740162,0.02824740162,0.02824740162,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
