Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.51140252017,4.0738525064,0.0,3.77706270047,0.0,0.0739964017224,0.0739964017224,0.0739964017224,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.462101406349,4.42252618108,0.0,4.19838990065,0.0,0.0822506191485,0.0822506191485,0.0822506191485,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.450838617471,4.71719389083,0.0,4.51723755735,0.0,0.0884971607508,0.0884971607508,0.0884971607508,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.449885482631,4.9452590455,0.0,4.73908781485,0.0,0.0928434271694,0.0928434271694,0.0928434271694,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.445421604805,5.29890078257,0.0,5.02831330527,0.0,0.0985096411761,0.0985096411761,0.0985096411761,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.482615366074,5.74222395546,0.0,5.20354149034,0.0,0.101942534989,0.101942534989,0.101942534989,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.587928578274,6.87206343862,0.0,5.81863725205,0.0,0.113992870578,0.113992870578,0.113992870578,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.690458236874,6.19336276739,0.0,4.98949556549,0.0,0.0977491631819,0.0977491631819,0.0977491631819,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.614068121827,5.82597994923,0.0,4.68153093797,0.0,0.0917158309071,0.0917158309071,0.0917158309071,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.500755106943,5.54125014356,0.0,4.5184361863,0.0,0.0885206430799,0.0885206430799,0.0885206430799,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.486560482245,5.17755953059,0.0,4.29186073334,0.0,0.084081805399,0.084081805399,0.084081805399,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.48368876844,4.98064441055,0.0,4.18633860387,0.0,0.0820145223005,0.0820145223005,0.0820145223005,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.478481424178,4.81983826838,0.0,4.09195485364,0.0,0.0801654510905,0.0801654510905,0.0801654510905,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.481067733852,4.50025731748,0.0,3.8447364746,0.0,0.0753221980286,0.0753221980286,0.0753221980286,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.494956806597,4.36140748322,0.0,3.75179681698,0.0,0.073501418024,0.073501418024,0.073501418024,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.525982765917,4.25266787995,0.0,3.60498255034,0.0,0.0706251810341,0.0706251810341,0.0706251810341,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.642134727517,4.3133357183,0.0,3.5219065272,0.0,0.0689976394046,0.0689976394046,0.0689976394046,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.875210746726,6.00570546728,0.0,4.95410643441,0.0,0.09705585503,0.09705585503,0.09705585503,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.03543020802,4.83769640539,0.0,3.73283665722,0.0,0.0731299697031,0.0731299697031,0.0731299697031,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.03075134832,4.58469150575,0.0,3.57775194921,0.0,0.0700917065699,0.0700917065699,0.0700917065699,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.985401186226,4.38908759835,0.0,3.49802905508,0.0,0.068529856061,0.068529856061,0.068529856061,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.915652493252,4.32234609633,0.0,3.54105139666,0.0,0.0693727063716,0.0693727063716,0.0693727063716,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.774105867519,4.26455945566,0.0,3.63324352552,0.0,0.0711788415471,0.0711788415471,0.0711788415471,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.648919081315,4.24678723477,0.0,3.77588123419,0.0,0.073973255627,0.073973255627,0.073973255627,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.512979378036,4.15988746861,0.0,3.87431641381,0.0,0.0759016983544,0.0759016983544,0.0759016983544,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.457084760007,4.17117688748,0.0,3.95253107706,0.0,0.0774340011253,0.0774340011253,0.0774340011253,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.44011881899,4.17177949815,0.0,3.97615482962,0.0,0.0778968138513,0.0778968138513,0.0778968138513,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.435253633908,4.19874425392,0.0,3.99732258359,0.0,0.0783115111307,0.0783115111307,0.0783115111307,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.422472068041,4.12585234898,0.0,3.86509185574,0.0,0.0757209801193,0.0757209801193,0.0757209801193,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.453069461625,4.21934990058,0.0,3.71072367635,0.0,0.0726967544919,0.0726967544919,0.0726967544919,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.551342668967,4.96564677531,0.0,3.98179569481,0.0,0.0780073239911,0.0780073239911,0.0780073239911,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.657503792679,4.4888273599,0.0,3.36578646027,0.0,0.065939092564,0.065939092564,0.065939092564,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.583845134914,4.29784392837,0.0,3.23346324376,0.0,0.063346749608,0.063346749608,0.063346749608,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.471461471333,4.08526366039,0.0,3.13269086767,0.0,0.0613725188856,0.0613725188856,0.0613725188856,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.457353913921,3.73117211937,0.0,2.90400509969,0.0,0.056892338042,0.056892338042,0.056892338042,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.453993087294,3.50735754643,0.0,2.76074065742,0.0,0.0540856456294,0.0540856456294,0.0540856456294,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.44755057564,3.2800226687,0.0,2.59308478584,0.0,0.0508011009427,0.0508011009427,0.0508011009427,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.450987981623,3.00663432268,0.0,2.38609711977,0.0,0.0467460074203,0.0467460074203,0.0467460074203,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.464999468702,2.86569991206,0.0,2.28818524573,0.0,0.0448278167681,0.0448278167681,0.0448278167681,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.498576184767,2.88258841075,0.0,2.26745852601,0.0,0.0444217597866,0.0444217597866,0.0444217597866,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/02  17:00:00,0.615002837891,2.95065316081,0.0,2.20096138589,0.0,0.0431190149069,0.0431190149069,0.0431190149069,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/02  18:00:00,0.840472518847,4.24977931012,0.0,3.25034665244,0.0,0.0636775123169,0.0636775123169,0.0636775123169,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/02  19:00:00,1.00782264608,3.45025843364,0.0,2.41506061149,0.0,0.0473134309287,0.0473134309287,0.0473134309287,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/02  20:00:00,1.00237935475,3.16319463318,0.0,2.23495758155,0.0,0.0437850340732,0.0437850340732,0.0437850340732,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/02  21:00:00,0.958923536067,3.05602717115,0.0,2.23992657978,0.0,0.0438823816733,0.0438823816733,0.0438823816733,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/02  22:00:00,0.889719923633,3.01447337909,0.0,2.29521533064,0.0,0.0449655430991,0.0449655430991,0.0449655430991,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/02  23:00:00,0.74937744669,3.00490132738,0.0,2.42343221339,0.0,0.047477438907,0.047477438907,0.047477438907,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/02  24:00:00,0.624801095403,3.01622140422,0.0,2.5767942654,0.0,0.0504819535019,0.0504819535019,0.0504819535019,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/03  01:00:00,0.490969729166,3.03667411875,0.0,2.75085876098,0.0,0.0538920494843,0.0538920494843,0.0538920494843,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/03  02:00:00,0.435187056462,3.05354973197,0.0,2.83478754681,0.0,0.05553629758,0.05553629758,0.05553629758,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/03  03:00:00,0.418209367177,3.05352198864,0.0,2.85781162229,0.0,0.0559873620377,0.0559873620377,0.0559873620377,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/03  04:00:00,0.413460605056,3.0864414693,0.0,2.88492205478,0.0,0.0565184822792,0.0565184822792,0.0565184822792,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/03  05:00:00,0.402432129719,3.10313769375,0.0,2.84217585181,0.0,0.0556810417974,0.0556810417974,0.0556810417974,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/03  06:00:00,0.435749907597,3.33595915943,0.0,2.82666661431,0.0,0.0553772004638,0.0553772004638,0.0553772004638,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/03  07:00:00,0.526156282496,3.68156690542,0.0,2.69618506126,0.0,0.0528209375201,0.0528209375201,0.0528209375201,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/03  08:00:00,0.654598959207,4.34228440732,0.0,3.21751251854,0.0,0.0630342590923,0.0630342590923,0.0630342590923,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/03  09:00:00,0.575461942169,3.87154300726,0.0,2.80555264419,0.0,0.0549635568631,0.0549635568631,0.0549635568631,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/03  10:00:00,0.464182771072,3.71512085032,0.0,2.76115783869,0.0,0.0540938186239,0.0540938186239,0.0540938186239,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/03  11:00:00,0.458991492911,3.81592916928,0.0,2.98759346858,0.0,0.0585299170323,0.0585299170323,0.0585299170323,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/03  12:00:00,0.459746034661,3.80199233535,0.0,3.05439335418,0.0,0.0598385929962,0.0598385929962,0.0598385929962,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/03  13:00:00,0.457069506535,3.76674274187,0.0,3.07896785578,0.0,0.0603200318381,0.0603200318381,0.0603200318381,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/03  14:00:00,0.462459469688,3.59293045138,0.0,2.97164626377,0.0,0.058217495485,0.058217495485,0.058217495485,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/03  15:00:00,0.478041471444,3.53208371585,0.0,2.95389953657,0.0,0.0578698195104,0.0578698195104,0.0578698195104,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/03  16:00:00,0.511202376305,3.52776641757,0.0,2.91194820386,0.0,0.0570479513249,0.0570479513249,0.0570479513249,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/03  17:00:00,0.628437265429,3.63719745069,0.0,2.8867065569,0.0,0.0565534424443,0.0565534424443,0.0565534424443,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/03  18:00:00,0.858421551733,5.16700429805,0.0,4.16653475136,0.0,0.0816265452023,0.0816265452023,0.0816265452023,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/03  19:00:00,1.01959078322,4.05218048761,0.0,3.01575187196,0.0,0.0590815680621,0.0590815680621,0.0590815680621,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/03  20:00:00,1.01249472474,3.68076893532,0.0,2.75128521059,0.0,0.0539004040548,0.0539004040548,0.0539004040548,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/03  21:00:00,0.969137977944,3.57854185344,0.0,2.76131122174,0.0,0.05409682355,0.05409682355,0.05409682355,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/03  22:00:00,0.901024943323,3.59251502131,0.0,2.87226728454,0.0,0.0562705627881,0.0562705627881,0.0562705627881,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/03  23:00:00,0.761073851688,3.60269935486,0.0,3.0204619881,0.0,0.0591738439056,0.0591738439056,0.0591738439056,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/03  24:00:00,0.636918136217,3.63524025273,0.0,3.19529491993,0.0,0.0625989943157,0.0625989943157,0.0625989943157,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/04  01:00:00,0.502375886324,3.61912833552,0.0,3.33307316269,0.0,0.0652982066425,0.0652982066425,0.0652982066425,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/04  02:00:00,0.447976758394,3.70649978168,0.0,3.48762342789,0.0,0.0683259995114,0.0683259995114,0.0683259995114,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/04  03:00:00,0.432668675964,3.79166508348,0.0,3.59587069847,0.0,0.0704466708251,0.0704466708251,0.0704466708251,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/04  04:00:00,0.429769526941,3.91900786284,0.0,3.71739254125,0.0,0.0728274041646,0.0728274041646,0.0728274041646,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/04  05:00:00,0.420634063243,4.03243241587,0.0,3.77127297802,0.0,0.0738829753215,0.0738829753215,0.0738829753215,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/04  06:00:00,0.453053849082,4.21987319088,0.0,3.70992675174,0.0,0.072681141949,0.072681141949,0.072681141949,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/04  07:00:00,0.543859068333,4.58668781267,0.0,3.59980375789,0.0,0.0705237233572,0.0705237233572,0.0705237233572,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/04  08:00:00,0.673753798307,5.32172009486,0.0,4.19524963297,0.0,0.0821890981923,0.0821890981923,0.0821890981923,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/04  09:00:00,0.592870105035,4.76170259062,0.0,3.69413264425,0.0,0.0723717197298,0.0723717197298,0.0723717197298,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/04  10:00:00,0.480935514838,4.57161003826,0.0,3.61628271149,0.0,0.0708465623904,0.0708465623904,0.0708465623904,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/04  11:00:00,0.468285559719,4.29148119345,0.0,3.46199860531,0.0,0.0678239838405,0.0678239838405,0.0678239838405,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/04  12:00:00,0.464763886253,4.05908667243,0.0,3.31052391785,0.0,0.0648564445876,0.0648564445876,0.0648564445876,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/04  13:00:00,0.457749493467,3.8022732689,0.0,3.11367702023,0.0,0.0610000187697,0.0610000187697,0.0610000187697,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/04  14:00:00,0.462084471819,3.57452215538,0.0,2.95250492137,0.0,0.0578424976165,0.0578424976165,0.0578424976165,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/04  15:00:00,0.4750423097,3.3796519186,0.0,2.80081071478,0.0,0.0548706577663,0.0548706577663,0.0548706577663,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/04  16:00:00,0.508468052718,3.38887144985,0.0,2.77237774648,0.0,0.0543136277376,0.0543136277376,0.0543136277376,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/04  17:00:00,0.623741496704,3.39829145597,0.0,2.64701634917,0.0,0.0518576737195,0.0518576737195,0.0518576737195,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
