Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.480595555447,2.50134580794,0.0,2.204556002,0.0,0.0431894369991,0.0431894369991,0.0431894369991,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.430364773578,2.8025656492,0.0,2.57842934736,0.0,0.050513986378,0.050513986378,0.050513986378,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.416171092693,2.94762927492,0.0,2.74767293378,0.0,0.0538296359721,0.0538296359721,0.0538296359721,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.41156550909,2.98925930262,0.0,2.78308807196,0.0,0.0545234536286,0.0545234536286,0.0545234536286,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.403959389873,3.18250887902,0.0,2.91192140172,0.0,0.0570474262445,0.0570474262445,0.0570474262445,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.436749357243,3.40104536919,0.0,2.86236290407,0.0,0.0560765261584,0.0560765261584,0.0560765261584,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.535176272076,4.17938158563,0.0,3.12595539906,0.0,0.06124056438,0.06124056438,0.06124056438,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.644461505772,3.8455116105,0.0,2.6416444086,0.0,0.0517524320797,0.0517524320797,0.0517524320797,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.572418564087,3.70002535891,0.0,2.55557633248,0.0,0.050066273167,0.050066273167,0.050066273167,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.459766845249,3.44905065082,0.0,2.42623669014,0.0,0.0475323813859,0.0475323813859,0.0475323813859,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.44574674753,3.09426856311,0.0,2.20856976957,0.0,0.0432680706838,0.0432680706838,0.0432680706838,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.441113127201,2.80741892732,0.0,2.01311311276,0.0,0.0394388810611,0.0394388810611,0.0394388810611,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.435924839416,2.64758549544,0.0,1.91970207888,0.0,0.0376088663285,0.0376088663285,0.0376088663285,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.440066367991,2.40738893632,0.0,1.75186809101,0.0,0.0343208321671,0.0343208321671,0.0343208321671,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.453932378926,2.26736193648,0.0,1.65775126939,0.0,0.032476990353,0.032476990353,0.032476990353,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.486391366478,2.23176957123,0.0,1.58408430933,0.0,0.0310337815946,0.0310337815946,0.0310337815946,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.60316207423,2.32402064839,0.0,1.53259148425,0.0,0.0300249861171,0.0300249861171,0.0300249861171,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.821041421423,3.24069347497,0.0,2.18909444259,0.0,0.0428865297264,0.0428865297264,0.0428865297264,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,0.990730288645,2.55603953764,0.0,1.45117978949,0.0,0.0284300503303,0.0284300503303,0.0284300503303,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.986190123607,2.31011412432,0.0,1.30317459344,0.0,0.0255304818527,0.0255304818527,0.0255304818527,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.943365660333,2.24343166381,0.0,1.35237314142,0.0,0.0264943301679,0.0264943301679,0.0264943301679,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.872878454029,2.13899360439,0.0,1.35769890472,0.0,0.0265986671493,0.0265986671493,0.0265986671493,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.731239151897,2.07647640165,0.0,1.44516047151,0.0,0.0283121259253,0.0283121259253,0.0283121259253,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.606206654202,2.06657966332,0.0,1.59567366273,0.0,0.0312608285138,0.0312608285138,0.0312608285138,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.471113334743,2.02288260272,0.0,1.73731154792,0.0,0.0340356550611,0.0340356550611,0.0340356550611,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.414399656531,1.99236406879,0.0,1.77371820979,0.0,0.0347488976493,0.0347488976493,0.0347488976493,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.398881454453,2.06686491651,0.0,1.87124016036,0.0,0.0366594493144,0.0366594493144,0.0366594493144,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.393494523895,2.06719769449,0.0,1.86577600615,0.0,0.0365524011179,0.0365524011179,0.0365524011179,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
