Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.488255166436,2.89232199453,0.0,2.59553218859,0.0,0.0508490479882,0.0508490479882,0.0508490479882,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.439232881835,3.25522821617,0.0,3.03109191123,0.0,0.0593820946349,0.0593820946349,0.0593820946349,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.424917699722,3.39408994714,0.0,3.1941336048,0.0,0.0625762430014,0.0625762430014,0.0625762430014,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.420730377175,3.45706963656,0.0,3.25089840589,0.0,0.0636883217139,0.0636883217139,0.0636883217139,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.411057056161,3.5448012334,0.0,3.2742137561,0.0,0.0641450925321,0.0641450925321,0.0641450925321,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.445075663075,3.82605224059,0.0,3.28736977547,0.0,0.0644028319905,0.0644028319905,0.0644028319905,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.538700726314,4.3592833691,0.0,3.30585718253,0.0,0.0647650186176,0.0647650186176,0.0647650186176,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.66839504344,5.06717199283,0.0,3.86330479092,0.0,0.0756859697483,0.0756859697483,0.0756859697483,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.589785614585,4.58650680939,0.0,3.44205779813,0.0,0.0674333236647,0.0674333236647,0.0674333236647,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.468367925175,3.88808305192,0.0,2.86526909465,0.0,0.0561334613123,0.0561334613123,0.0561334613123,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.450771747171,3.35076399087,0.0,2.46506519736,0.0,0.048293070325,0.048293070325,0.048293070325,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.438824639864,2.69060568287,0.0,1.89629986294,0.0,0.0371503937245,0.0371503937245,0.0371503937245,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.427803786895,2.23305555607,0.0,1.50517213074,0.0,0.0294878138068,0.0294878138068,0.0294878138068,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.428824613593,1.83356628908,0.0,1.17804544242,0.0,0.0230790777696,0.0230790777696,0.0230790777696,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.441664891124,1.6411818859,0.0,1.03157121836,0.0,0.0202095025507,0.0202095025507,0.0202095025507,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.475897228026,1.6961081337,0.0,1.04842287178,0.0,0.0205396431427,0.0205396431427,0.0205396431427,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.596602431939,1.9891911209,0.0,1.19776195676,0.0,0.0234653438263,0.0234653438263,0.0234653438263,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.815939899394,2.98029204842,0.0,1.92869301604,0.0,0.0377850076983,0.0377850076983,0.0377850076983,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,0.988479171059,2.44113378452,0.0,1.33627403637,0.0,0.0261789327442,0.0261789327442,0.0261789327442,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.986707985711,2.33654783586,0.0,1.32960827932,0.0,0.0260483439573,0.0260483439573,0.0260483439573,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.944030805272,2.27738325641,0.0,1.38632471314,0.0,0.0271594751071,0.0271594751071,0.0271594751071,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.874342793935,2.21373918,0.0,1.43244448033,0.0,0.0280630070553,0.0280630070553,0.0280630070553,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.733550113256,2.1944368125,0.0,1.56312088236,0.0,0.0306230872836,0.0306230872836,0.0306230872836,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.609789229757,2.24944818376,0.0,1.77854218318,0.0,0.0348434040691,0.0348434040691,0.0348434040691,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.475562215921,2.24997071464,0.0,1.96439965984,0.0,0.0384845362389,0.0384845362389,0.0384845362389,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.419848545445,2.27049644544,0.0,2.05185058643,0.0,0.0401977865629,0.0401977865629,0.0401977865629,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
