Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.510086945317,4.00670049134,0.0,3.70991066888,0.0,0.0726808268696,0.0726808268696,0.0726808268696,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.455355622053,4.0781952459,0.0,3.8540589649,0.0,0.0755048348531,0.0755048348531,0.0755048348531,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.439017109185,4.11377834634,0.0,3.91382202669,0.0,0.0766756524643,0.0766756524643,0.0766756524643,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.434529641256,4.16143747384,0.0,3.95526624597,0.0,0.0774875857951,0.0774875857951,0.0774875857951,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.424816364757,4.24712959056,0.0,3.97654211358,0.0,0.077904401128,0.077904401128,0.077904401128,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.457889126769,4.48010101392,0.0,3.94141854884,0.0,0.077216295684,0.077216295684,0.077216295684,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.548169233583,4.84259262202,0.0,3.78916643546,0.0,0.0742335258868,0.0742335258868,0.0742335258868,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.679157799837,5.61654472978,0.0,4.41267752788,0.0,0.0864487261447,0.0864487261447,0.0864487261447,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.598542189856,5.03347629805,0.0,3.88902728679,0.0,0.0761898989357,0.0761898989357,0.0761898989357,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.485882497526,4.78209460385,0.0,3.75928064659,0.0,0.0736480336633,0.0736480336633,0.0736480336633,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.474271339314,4.55027411425,0.0,3.66457532074,0.0,0.0717926624681,0.0717926624681,0.0717926624681,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.471460304225,4.35645628994,0.0,3.56215046773,0.0,0.0697860580851,0.0697860580851,0.0697860580851,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.46639700262,4.20300263287,0.0,3.47511921216,0.0,0.0680810295325,0.0680810295325,0.0680810295325,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.472803925668,4.07844056818,0.0,3.42291972503,0.0,0.0670583898449,0.0670583898449,0.0670583898449,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.488160734989,4.01450968839,0.0,3.40489902215,0.0,0.0667053464153,0.0667053464153,0.0667053464153,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.522184236505,4.05877617123,0.0,3.41109090933,0.0,0.066826651622,0.066826651622,0.066826651622,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.640610779772,4.23554750095,0.0,3.4441183368,0.0,0.0674736916594,0.0674736916594,0.0674736916594,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.872234000607,5.85376081237,0.0,4.80216179288,0.0,0.0940791089113,0.0940791089113,0.0940791089113,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.03411318992,4.77047070001,0.0,3.66561095656,0.0,0.0718129516001,0.0718129516001,0.0718129516001,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
