Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.485320415722,2.74252094062,0.0,2.44573115504,0.0,0.0479142972742,0.0479142972742,0.0479142972742,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.430527912929,2.8108928914,0.0,2.58675661118,0.0,0.0506771257293,0.0506771257293,0.0506771257293,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.416840900915,2.98181887102,0.0,2.78186253754,0.0,0.0544994441949,0.0544994441949,0.0544994441949,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.414588559217,3.14356751666,0.0,2.93739624925,0.0,0.0575465037556,0.0575465037556,0.0575465037556,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.407660590938,3.37143255411,0.0,3.10084502723,0.0,0.0607486273091,0.0607486273091,0.0607486273091,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.44411550395,3.77704205449,0.0,3.23835953802,0.0,0.0634426728651,0.0634426728651,0.0634426728651,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.535252217775,4.18325814885,0.0,3.12983196143,0.0,0.0613165100788,0.0613165100788,0.0613165100788,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.653597764733,4.31186162407,0.0,3.10799442212,0.0,0.0608886910406,0.0608886910406,0.0608886910406,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.585165151065,4.35066047076,0.0,3.2062114595,0.0,0.0628128601452,0.0628128601452,0.0628128601452,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.465001985067,3.71627244304,0.0,2.69345848578,0.0,0.0527675212041,0.0527675212041,0.0527675212041,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.446177901363,3.11627632323,0.0,2.23057752972,0.0,0.0436992245169,0.0436992245169,0.0436992245169,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.437150544612,2.60515338107,0.0,1.81084756271,0.0,0.0354762984719,0.0354762984719,0.0354762984719,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.42937538742,2.31327613335,0.0,1.58539270345,0.0,0.0310594143321,0.0310594143321,0.0310594143321,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.438608785892,2.33298830823,0.0,1.67746746004,0.0,0.0328632500683,0.0328632500683,0.0328632500683,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.4509254823,2.11387830465,0.0,1.5042676293,0.0,0.0294700937271,0.0294700937271,0.0294700937271,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.489207328261,2.37550716045,0.0,1.72782189617,0.0,0.0338497433782,0.0338497433782,0.0338497433782,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.612875180607,2.81981518637,0.0,2.02838602221,0.0,0.0397380924943,0.0397380924943,0.0397380924943,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.83964069873,4.19007256557,0.0,3.13847353319,0.0,0.0614858070342,0.0614858070342,0.0614858070342,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.00596639426,3.33374932975,0.0,2.2288895816,0.0,0.0436661559403,0.0436661559403,0.0436661559403,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
