Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.488100480244,2.88442621268,0.0,2.58763640674,0.0,0.0506943617964,0.0506943617964,0.0506943617964,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.432577495091,2.91551149675,0.0,2.69137521632,0.0,0.0527267078908,0.0527267078908,0.0527267078908,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.419368253741,3.1108247398,0.0,2.91086840631,0.0,0.0570267970209,0.0570267970209,0.0570267970209,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.417117634396,3.27266128016,0.0,3.06649003357,0.0,0.0600755789343,0.0600755789343,0.0600755789343,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.409756395077,3.47841046452,0.0,3.20782298099,0.0,0.0628444314484,0.0628444314484,0.0628444314484,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.445065827233,3.8255502018,0.0,3.28686771602,0.0,0.0643929961483,0.0643929961483,0.0643929961483,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.550937020642,4.98387119203,0.0,3.9304449979,0.0,0.0770013129453,0.0770013129453,0.0770013129453,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.671490761035,5.22518939906,0.0,4.02132219699,0.0,0.0787816873432,0.0787816873432,0.0787816873432,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.587996962569,4.49520708866,0.0,3.35075807739,0.0,0.0656446716489,0.0656446716489,0.0656446716489,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.472716933868,4.11007328571,0.0,3.08725932845,0.0,0.0604824700052,0.0604824700052,0.0604824700052,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.458820381411,3.76159742968,0.0,2.87589863617,0.0,0.0563417045655,0.0563417045655,0.0563417045655,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.453827708347,3.45642034391,0.0,2.66211453825,0.0,0.0521534622074,0.0521534622074,0.0521534622074,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.447724754474,3.24989883426,0.0,2.5220154076,0.0,0.0494087813865,0.0494087813865,0.0494087813865,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.454705046129,3.15460372012,0.0,2.49908287299,0.0,0.0489595103052,0.0489595103052,0.0489595103052,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.463818470499,2.77198630754,0.0,2.16237564116,0.0,0.0423630819256,0.0423630819256,0.0423630819256,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.497290264685,2.78809151305,0.0,2.14040625115,0.0,0.0419326798016,0.0419326798016,0.0419326798016,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.619541801924,3.16010533734,0.0,2.3686761732,0.0,0.0464047138113,0.0464047138113,0.0464047138113,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.8478692454,4.61008943103,0.0,3.55849039865,0.0,0.0697143537043,0.0697143537043,0.0697143537043,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.01252795616,3.66867684163,0.0,2.56381709348,0.0,0.0502277178424,0.0502277178424,0.0502277178424,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.00711599447,3.37825157938,0.0,2.37131202284,0.0,0.0464563527181,0.0464563527181,0.0464563527181,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.962200292326,3.20482418921,0.0,2.31376564594,0.0,0.0453289621609,0.0453289621609,0.0453289621609,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.891512973184,3.09017157525,0.0,2.30887687558,0.0,0.0452331863042,0.0452331863042,0.0452331863042,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.750242932603,3.04650291102,0.0,2.41518698088,0.0,0.0473159066303,0.0473159066303,0.0473159066303,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.624003793746,2.97501453828,0.0,2.50410853769,0.0,0.0490579680577,0.0490579680577,0.0490579680577,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.489066787251,2.93929622303,0.0,2.65372524149,0.0,0.0519891075691,0.0519891075691,0.0519891075691,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
