Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.533388333602,5.19609350625,0.0,4.89930370031,0.0,0.0959822151545,0.0959822151545,0.0959822151545,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.480894603126,5.38180367183,0.0,5.1576673914,0.0,0.101043815925,0.101043815925,0.101043815925,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.471889401855,5.79170738959,0.0,5.5917510561,0.0,0.109547945134,0.109547945134,0.109547945134,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.470891933405,6.0175095853,0.0,5.81133835464,0.0,0.113849877944,0.113849877944,0.113849877944,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.462056853827,6.14802826893,0.0,5.87744079163,0.0,0.115144890198,0.115144890198,0.115144890198,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.496532502993,6.45260848137,0.0,5.91392601625,0.0,0.115859671909,0.115859671909,0.115859671909,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.587871984219,6.86917465901,0.0,5.81574847244,0.0,0.113936276522,0.113936276522,0.113936276522,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.702155657252,6.79044437102,0.0,5.58657716912,0.0,0.10944658356,0.10944658356,0.10944658356,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.634601625151,6.87408945069,0.0,5.72964040959,0.0,0.11224933423,0.11224933423,0.11224933423,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.511374505165,6.08330533071,0.0,5.06049136727,0.0,0.0991400413022,0.0991400413022,0.0991400413022,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.489663661249,5.33595782206,0.0,4.45025899859,0.0,0.0871849844027,0.0871849844027,0.0871849844027,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.476079920464,4.59225938948,0.0,3.79795355789,0.0,0.0744056743241,0.0744056743241,0.0744056743241,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.463873011536,4.07416836612,0.0,3.34628493972,0.0,0.0655570384486,0.0655570384486,0.0655570384486,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.464647287963,3.66209421677,0.0,3.0065733714,0.0,0.0589017521394,0.0589017521394,0.0589017521394,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.47913992476,3.55405262496,0.0,2.94444195871,0.0,0.0576845361869,0.0576845361869,0.0576845361869,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
