Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.58838793611,2.4619980648,0.0,2.42580288951,0.0,0.0420936158543,0.0420936158543,0.0420936158543,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610954346
 01/01  02:00:00,0.487099445566,2.58023485341,0.0,2.54573642577,0.0,0.044174756175,0.044174756175,0.044174756175,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125638754
 01/01  03:00:00,0.460772553188,2.66674348852,0.0,2.63987840418,0.0,0.0458083498573,0.0458083498573,0.0458083498573,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442566421
 01/01  04:00:00,0.460648894807,2.71438848066,0.0,2.68779761816,0.0,0.0466398654739,0.0466398654739,0.0466398654739,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418960767
 01/01  05:00:00,0.488465310353,2.68971118097,0.0,2.65644103869,0.0,0.0460957520932,0.0460957520932,0.0460957520932,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253211
 01/01  06:00:00,0.693725145067,2.68512963658,0.0,2.64233322863,0.0,0.0458509470682,0.0458509470682,0.0458509470682,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992891
 01/01  07:00:00,1.11649245798,3.34719442464,0.0,3.27159466611,0.0,0.0567701727545,0.0567701727545,0.0567701727545,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273748
 01/01  08:00:00,1.29773172403,2.89018216582,0.0,2.77610903572,0.0,0.0481722846585,0.0481722846585,0.0481722846585,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.1857834135,2.85827730939,0.0,2.74073364601,0.0,0.0475584350868,0.0475584350868,0.0475584350868,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.99499751296,2.74856594132,0.0,2.62975466127,0.0,0.0456326781459,0.0456326781459,0.0456326781459,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957877
 01/01  11:00:00,0.900008819511,2.62852781226,0.0,2.52112741369,0.0,0.0437477295993,0.0437477295993,0.0437477295993,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438498003
 01/01  12:00:00,0.819273652667,2.10722620501,0.0,1.98503136089,0.0,0.0344451513045,0.0344451513045,0.0344451513045,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.38881131074
 01/01  13:00:00,0.756426370313,1.79087485136,0.0,1.65420548717,0.0,0.0287045128942,0.0287045128942,0.0287045128942,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.335009557964
 01/01  14:00:00,0.729042557649,1.70643949095,0.0,1.59132954643,0.0,0.0276134614707,0.0276134614707,0.0276134614707,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.301394968337
 01/01  15:00:00,0.715381802838,1.6592581245,0.0,1.5475143854,0.0,0.0268531612151,0.0268531612151,0.0268531612151,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.273085705563
 01/01  16:00:00,0.758870110603,1.88651149678,0.0,1.74702564573,0.0,0.0303151697678,0.0303151697678,0.0303151697678,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.279996986593
 01/01  17:00:00,0.92290651417,2.25926021509,0.0,2.04194211287,0.0,0.0354326921068,0.0354326921068,0.0354326921068,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.323826362352
 01/01  18:00:00,1.2365940531,3.81986825405,0.0,3.47587318565,0.0,0.0603149049197,0.0603149049197,0.0603149049197,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.412832218294
 01/01  19:00:00,1.47680631623,2.63361734977,0.0,2.35652630882,0.0,0.0408914976658,0.0408914976658,0.0408914976658,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.493309278352
 01/01  20:00:00,1.48495215873,2.37749110594,0.0,2.21768915131,0.0,0.038482333261,0.038482333261,0.038482333261,0.302393901077,0.054328132964,0.076857507091,0.495837793874,0.506522490458
 01/01  21:00:00,1.40013074955,2.37728324797,0.0,2.26808116045,0.0,0.0393567579241,0.0393567579241,0.0393567579241,0.260599634224,0.0468193688037,0.0671599615243,0.512884036997,0.462780990073
 01/01  22:00:00,1.2763667689,2.50884420251,0.0,2.4226583382,0.0,0.0420390501946,0.0420390501946,0.0420390501946,0.218805336853,0.0393105991603,0.0600180686125,0.500910090608,0.404753623476
 01/01  23:00:00,1.055459093,2.65563577035,0.0,2.59332729082,0.0,0.0450005741341,0.0450005741341,0.0450005741341,0.164718627801,0.0295933730176,0.0513238084703,0.433473489764,0.320819219812
 01/01  24:00:00,0.837340861139,2.86367008304,0.0,2.81561775641,0.0,0.0488578576369,0.0488578576369,0.0488578576369,0.113090388878,0.0203178359816,0.0442136254855,0.376680396822,0.223650756335
 01/02  01:00:00,0.591001308894,3.0606204196,0.0,3.02442524431,0.0,0.052481178485,0.052481178485,0.052481178485,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108165203266
 01/02  02:00:00,0.494883959077,3.24982031639,0.0,3.21532188876,0.0,0.0557937023732,0.0557937023732,0.0557937023732,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0646781595067
 01/02  03:00:00,0.469908689933,3.3657639671,0.0,3.33889888276,0.0,0.0579380656008,0.0579380656008,0.0579380656008,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0544701292253
 01/02  04:00:00,0.470898458135,3.49237265474,0.0,3.46578179225,0.0,0.0601397945515,0.0601397945515,0.0601397945515,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0584914630113
 01/02  05:00:00,0.496865887198,3.55857742418,0.0,3.52530728189,0.0,0.0611727074503,0.0611727074503,0.0611727074503,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0934937504054
 01/02  06:00:00,0.688754026695,3.56639333133,0.0,3.52359692338,0.0,0.0611430285451,0.0611430285451,0.0611430285451,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.252153916994
 01/02  07:00:00,1.07178030928,3.46861311284,0.0,3.3930133543,0.0,0.0588770840953,0.0588770840953,0.0588770840953,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.546582576428
 01/02  08:00:00,1.25021360684,3.30817547975,0.0,3.19410234965,0.0,0.0554254914473,0.0554254914473,0.0554254914473,0.115548889526,0.0207595305713,0.0510568111019,0.368531461085,0.613361423106
 01/02  09:00:00,1.1308362225,2.8570198932,0.0,2.73947622982,0.0,0.047536615839,0.047536615839,0.047536615839,0.11063191875,0.019876146875,0.0586542613656,0.311572063332,0.572035216338
 01/02  10:00:00,0.939179414183,2.33519219398,0.0,2.21638091393,0.0,0.0384596321412,0.0384596321412,0.0384596321412,0.0565452096987,0.0101589207324,0.0616202140166,0.265173021074,0.49669241652
 01/02  11:00:00,0.845854586784,1.85469981726,0.0,1.74729941869,0.0,0.0303199203987,0.0303199203987,0.0303199203987,0.0467112376283,0.00839214785663,0.0577626539713,0.271409451485,0.420729175445
 01/02  12:00:00,0.775702858066,1.51453526796,0.0,1.39234042384,0.0,0.0241605132852,0.0241605132852,0.0241605132852,0.0467112376283,0.00839214785663,0.0571243967723,0.27149260389,0.357291958633
 01/02  13:00:00,0.719280517316,1.29947808707,0.0,1.16280872288,0.0,0.0201775766302,0.0201775766302,0.0201775766302,0.0467112376283,0.00839214785663,0.0585931939908,0.266919221589,0.307957139621
 01/02  14:00:00,0.694474116844,1.13306203028,0.0,1.01795208577,0.0,0.0176639595251,0.0176639595251,0.0176639595251,0.0467112376283,0.00839214785663,0.0567480421383,0.276149138597,0.278279591099
 01/02  15:00:00,0.682865104807,1.08174200061,0.0,0.969998261519,0.0,0.0168318433358,0.0168318433358,0.0168318433358,0.0491697382757,0.00883384244632,0.0539269802759,0.291698638422,0.251874062052
 01/02  16:00:00,0.724554052135,1.21886169136,0.0,1.07937584031,0.0,0.0187298119649,0.0187298119649,0.0187298119649,0.0614621804744,0.0110423044287,0.0564069519463,0.30791335749,0.25846944583
 01/02  17:00:00,0.88271428096,1.60764424092,0.0,1.3903261387,0.0,0.0241255605093,0.0241255605093,0.0241255605093,0.103256447327,0.018551068589,0.065849142667,0.364207536,0.296194525867
 01/02  18:00:00,1.18822711924,3.10398831782,0.0,2.75999324942,0.0,0.0478926363324,0.0478926363324,0.0478926363324,0.191761982327,0.034451986089,0.0828891267443,0.442453949556,0.378247438196
 01/02  19:00:00,1.41786218563,2.00583261139,0.0,1.72874157045,0.0,0.0299978963222,0.0299978963222,0.0299978963222,0.285184488103,0.0512362872853,0.0834922952089,0.480371446455,0.447049772255
 01/02  20:00:00,1.42044798579,1.79310683425,0.0,1.63330487963,0.0,0.0283418362115,0.0283418362115,0.0283418362115,0.302393901077,0.054328132964,0.0747921860178,0.495837793874,0.45422413565
 01/02  21:00:00,1.33876944483,1.81590663367,0.0,1.70670454614,0.0,0.0296155000279,0.0296155000279,0.0296155000279,0.260599634224,0.0468193688037,0.0653297857535,0.512884036997,0.412991119022
 01/02  22:00:00,1.22567470778,2.04841302934,0.0,1.96222716504,0.0,0.0340494427066,0.0340494427066,0.0340494427066,0.218805336853,0.0393105991603,0.0584926622668,0.500910090608,0.363576576186
 01/02  23:00:00,1.01484421708,2.28157353135,0.0,2.21926505182,0.0,0.0385096789908,0.0385096789908,0.0385096789908,0.164718627801,0.0295933730176,0.0502967902808,0.433473489764,0.287722257229
 01/02  24:00:00,0.810157125603,2.53843371508,0.0,2.49038138845,0.0,0.0432142108287,0.0432142108287,0.0432142108287,0.113090388878,0.0203178359816,0.0435869416981,0.376680396822,0.202737351395
 01/03  01:00:00,0.583860955272,2.63951882281,0.0,2.60332364752,0.0,0.045174035383,0.045174035383,0.045174035383,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108331992746
 01/03  02:00:00,0.485087722924,2.68071261803,0.0,2.6462141904,0.0,0.0459182912513,0.0459182912513,0.0459182912513,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0647573344749
 01/03  03:00:00,0.45983463966,2.7818538741,0.0,2.75498878977,0.0,0.047805796712,0.047805796712,0.047805796712,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0545283478404
 01/03  04:00:00,0.460552305151,2.89230875021,0.0,2.86571788772,0.0,0.0497272175056,0.0497272175056,0.0497272175056,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0585578870735
 01/03  05:00:00,0.486618471652,2.96014849733,0.0,2.92687835504,0.0,0.0507885012678,0.0507885012678,0.0507885012678,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0936305410418
 01/03  06:00:00,0.679800101546,3.0243131919,0.0,2.98151678395,0.0,0.0517366117047,0.0517366117047,0.0517366117047,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.252606408685
 01/03  07:00:00,1.06290645344,2.89732320802,0.0,2.82172344948,0.0,0.0489638063517,0.0489638063517,0.0489638063517,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.547621998331
 01/03  08:00:00,1.24349307522,2.85314918327,0.0,2.73907605317,0.0,0.0475296717949,0.0475296717949,0.0475296717949,0.115548889526,0.0207595305713,0.0510568111019,0.368531461085,0.614536711138
 01/03  09:00:00,1.13247519055,2.88848590195,0.0,2.77094223857,0.0,0.0480826280854,0.0480826280854,0.0480826280854,0.11063191875,0.019876146875,0.0586542613656,0.311572063332,0.573128172145
 01/03  10:00:00,0.951898971342,3.01380400322,0.0,2.89499272317,0.0,0.0502352075335,0.0502352075335,0.0502352075335,0.0565452096987,0.0101589207324,0.0616202140166,0.265173021074,0.497636398287
 01/03  11:00:00,0.865975323052,2.96850135609,0.0,2.86110095752,0.0,0.0496471024694,0.0496471024694,0.0496471024694,0.0467112376283,0.00839214785663,0.0577626539713,0.271409451485,0.421522729641
 01/03  12:00:00,0.801177628349,2.94418450443,0.0,2.8219896603,0.0,0.0489684257609,0.0489684257609,0.0489684257609,0.0467112376283,0.00839214785663,0.0571243967723,0.27149260389,0.35795881644
 01/03  13:00:00,0.748281726593,2.93803017564,0.0,2.80136081145,0.0,0.0486104647563,0.0486104647563,0.0486104647563,0.0467112376283,0.00839214785663,0.0585931939908,0.266919221589,0.308525460772
 01/03  14:00:00,0.72516695612,2.87262118635,0.0,2.75751124184,0.0,0.0478495674276,0.0478495674276,0.0478495674276,0.0467112376283,0.00839214785663,0.0567480421383,0.276149138597,0.278786822472
 01/03  15:00:00,0.714021661062,2.85105678556,0.0,2.73931304646,0.0,0.0475337842085,0.0475337842085,0.0475337842085,0.0491697382757,0.00883384244632,0.0539269802759,0.291698638422,0.252328677434
 01/03  16:00:00,0.751116400477,2.72268181218,0.0,2.58319596113,0.0,0.0448247707735,0.0448247707735,0.0448247707735,0.0614621804744,0.0110423044287,0.0564069519463,0.30791335749,0.258936835364
 01/03  17:00:00,0.904943512591,2.85741690088,0.0,2.64009879866,0.0,0.0458121742408,0.0458121742408,0.0458121742408,0.103256447327,0.018551068589,0.065849142667,0.364207536,0.296737143768
 01/03  18:00:00,1.21242881785,4.45812728148,0.0,4.11413221308,0.0,0.071390260808,0.071390260808,0.071390260808,0.191761982327,0.034451986089,0.0828891267443,0.442453949556,0.378951512322
 01/03  19:00:00,1.43863890935,3.15500942605,0.0,2.87791838511,0.0,0.0499389259887,0.0499389259887,0.0499389259887,0.285184488103,0.0512362872853,0.0834922952089,0.480371446455,0.447885466312
 01/03  20:00:00,1.43878434096,2.80102505835,0.0,2.64122310372,0.0,0.0458316836847,0.0458316836847,0.0458316836847,0.302393901077,0.054328132964,0.0747921860178,0.495837793874,0.455070643345
 01/03  21:00:00,1.3575846613,2.85598373739,0.0,2.74678164987,0.0,0.0476633827526,0.0476633827526,0.0476633827526,0.260599634224,0.0468193688037,0.0653297857535,0.512884036997,0.413758452768
 01/03  22:00:00,1.24228978348,2.96719010188,0.0,2.88100423758,0.0,0.0499924730799,0.0499924730799,0.0499924730799,0.218805336853,0.0393105991603,0.0584926622668,0.500910090608,0.364248621515
 01/03  23:00:00,1.03081296225,3.17176862541,0.0,3.10946014589,0.0,0.0539567421001,0.0539567421001,0.0539567421001,0.164718627801,0.0295933730176,0.0502967902808,0.433473489764,0.288243939286
 01/03  24:00:00,0.827380053803,3.51069122631,0.0,3.46263889968,0.0,0.0600852576751,0.0600852576751,0.0600852576751,0.113090388878,0.0203178359816,0.0435869416981,0.376680396822,0.203089232748
 01/04  01:00:00,0.603299589552,3.7504327007,0.0,3.71423752541,0.0,0.0644511094706,0.0644511094706,0.0644511094706,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108493552938
 01/04  02:00:00,0.506949360881,3.93615221336,0.0,3.90165378573,0.0,0.0677032401779,0.0677032401779,0.0677032401779,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0648340235053
 01/04  03:00:00,0.482621327311,4.09177109794,0.0,4.0649060136,0.0,0.070536065795,0.070536065795,0.070536065795,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0545847664087
 01/04  04:00:00,0.48431795922,4.25818509558,0.0,4.23159423309,0.0,0.0734285142741,0.0734285142741,0.0734285142741,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0586222443739
 01/04  05:00:00,0.511726295647,4.39944677432,0.0,4.36617663203,0.0,0.0757638482068,0.0757638482068,0.0757638482068,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0937630180986
 01/04  06:00:00,0.705882311806,4.50215224789,0.0,4.45935583994,0.0,0.0773807354652,0.0773807354652,0.0773807354652,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.253044495185
 01/04  07:00:00,1.10892855137,5.49152999177,0.0,5.41593023323,0.0,0.0939796418402,0.0939796418402,0.0939796418402,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.548628260771
 01/04  08:00:00,1.27605497847,4.66407967191,0.0,4.55000654181,0.0,0.0789537469566,0.0789537469566,0.0789537469566,0.115548889526,0.0207595305713,0.0510568111019,0.368531461085,0.615674539227
 01/04  09:00:00,1.15324752576,4.02459476506,0.0,3.90705110168,0.0,0.0677968968163,0.0677968968163,0.0677968968163,0.11063191875,0.019876146875,0.0586542613656,0.311572063332,0.574186238626
 01/04  10:00:00,0.961337677848,3.50508169889,0.0,3.38627041884,0.0,0.0587600776657,0.0587600776657,0.0587600776657,0.0565452096987,0.0101589207324,0.0616202140166,0.265173021074,0.498550234661
 01/04  11:00:00,0.868385429095,3.06312111694,0.0,2.95572071837,0.0,0.0512889868461,0.0512889868461,0.0512889868461,0.0467112376283,0.00839214785663,0.0577626539713,0.271409451485,0.422290951307
 01/04  12:00:00,0.796133136418,2.61627316489,0.0,2.49407832077,0.0,0.0432783616504,0.0432783616504,0.0432783616504,0.0467112376283,0.00839214785663,0.0571243967723,0.27149260389,0.35860438862
 01/04  13:00:00,0.737877995657,2.30676991315,0.0,2.17010054896,0.0,0.0376565545651,0.0376565545651,0.0376565545651,0.0467112376283,0.00839214785663,0.0585931939908,0.266919221589,0.309075640027
 01/04  14:00:00,0.713267169589,2.15855552246,0.0,2.04344557794,0.0,0.0354587809046,0.0354587809046,0.0354587809046,0.0467112376283,0.00839214785663,0.0567480421383,0.276149138597,0.279277822464
 01/04  15:00:00,0.701947076178,2.12985156384,0.0,2.01810782474,0.0,0.0350191088874,0.0350191088874,0.0350191088874,0.0491697382757,0.00883384244632,0.0539269802759,0.291698638422,0.252768767871
 01/04  16:00:00,0.743733532676,2.27114151473,0.0,2.13165566368,0.0,0.0369894417343,0.0369894417343,0.0369894417343,0.0614621804744,0.0110423044287,0.0564069519463,0.30791335749,0.259389296602
 01/04  17:00:00,0.903240728507,2.72901590771,0.0,2.51169780549,0.0,0.0435841028235,0.0435841028235,0.0435841028235,0.103256447327,0.018551068589,0.065849142667,0.364207536,0.297262431101
 01/04  18:00:00,1.21721015568,4.69439106668,0.0,4.35039599828,0.0,0.0754900155974,0.0754900155974,0.0754900155974,0.191761982327,0.034451986089,0.0828891267443,0.442453949556,0.37963309537
 01/04  19:00:00,1.44342984189,3.38448314428,0.0,3.10739210334,0.0,0.0539208565016,0.0539208565016,0.0539208565016,0.285184488103,0.0512362872853,0.0834922952089,0.480371446455,0.448694468336
 01/04  20:00:00,1.44395145379,3.05157425137,0.0,2.89177229674,0.0,0.0501793252549,0.0501793252549,0.0501793252549,0.302393901077,0.054328132964,0.0747921860178,0.495837793874,0.455890114607
 01/04  21:00:00,1.36187389577,3.06035904283,0.0,2.95115695531,0.0,0.0512097943899,0.0512097943899,0.0512097943899,0.260599634224,0.0468193688037,0.0653297857535,0.512884036997,0.414501275601
 01/04  22:00:00,1.2479313435,3.25481427392,0.0,3.16862840962,0.0,0.0549834562553,0.0549834562553,0.0549834562553,0.218805336853,0.0393105991603,0.0584926622668,0.500910090608,0.364899198354
 01/04  23:00:00,1.03692598993,3.49495226742,0.0,3.4326437879,0.0,0.0595647690903,0.0595647690903,0.0595647690903,0.164718627801,0.0295933730176,0.0502967902808,0.433473489764,0.28874893998
 01/04  24:00:00,0.833772452681,3.85944835668,0.0,3.81139603005,0.0,0.0661370472642,0.0661370472642,0.0661370472642,0.113090388878,0.0203178359816,0.0435869416981,0.376680396822,0.203429842037
 01/05  01:00:00,0.611498345752,4.21391081962,0.0,4.17771564433,0.0,0.0724935889232,0.0724935889232,0.0724935889232,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108649829686
 01/05  02:00:00,0.516604967403,4.48832135383,0.0,4.4538229262,0.0,0.0772847258732,0.0772847258732,0.0772847258732,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0649081443326
 01/05  03:00:00,0.493437130518,4.71193337683,0.0,4.68506829249,0.0,0.081297398815,0.081297398815,0.081297398815,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.054639236596
 01/05  04:00:00,0.493391911184,4.77752551475,0.0,4.75093465226,0.0,0.082440341326,0.082440341326,0.082440341326,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0586843692866
 01/05  05:00:00,0.521110201429,4.93285455568,0.0,4.89958441339,0.0,0.0850197784141,0.0850197784141,0.0850197784141,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0938909936727
 01/05  06:00:00,0.714168788702,4.95529041641,0.0,4.91249400846,0.0,0.0852437914773,0.0852437914773,0.0852437914773,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.253467916068
 01/05  07:00:00,1.11894880603,6.01292991761,0.0,5.93733015907,0.0,0.103027206372,0.103027206372,0.103027206372,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.549600950902
 01/05  08:00:00,1.28366114497,5.03903355109,0.0,4.92496042099,0.0,0.0854601142388,0.0854601142388,0.0854601142388,0.115548889526,0.0207595305713,0.0510568111019,0.368531461085,0.616774338446
 01/05  09:00:00,1.1582314401,4.25286836844,0.0,4.13532470506,0.0,0.0717580024001,0.0717580024001,0.0717580024001,0.11063191875,0.019876146875,0.0586542613656,0.311572063332,0.575209047383
 01/05  10:00:00,0.961152182388,3.44348135143,0.0,3.32467007138,0.0,0.0576911609068,0.0576911609068,0.0576911609068,0.0565452096987,0.0101589207324,0.0616202140166,0.265173021074,0.499433655959
 01/05  11:00:00,0.864182074983,2.77808979506,0.0,2.67068939649,0.0,0.0463429959655,0.0463429959655,0.0463429959655,0.0467112376283,0.00839214785663,0.0577626539713,0.271409451485,0.423033588076
 01/05  12:00:00,0.79155903996,2.31670955483,0.0,2.19451471071,0.0,0.0380802000107,0.0380802000107,0.0380802000107,0.0467112376283,0.00839214785663,0.0571243967723,0.27149260389,0.359228453802
 01/05  13:00:00,0.732919906306,1.99039144615,0.0,1.85372208196,0.0,0.0321666140129,0.0321666140129,0.0321666140129,0.0467112376283,0.00839214785663,0.0585931939908,0.266919221589,0.309607491228
 01/05  14:00:00,0.706693003696,1.7523399662,0.0,1.63723002168,0.0,0.0284099470306,0.0284099470306,0.0284099470306,0.0467112376283,0.00839214785663,0.0567480421383,0.276149138597,0.279752490445
 01/05  15:00:00,0.696005024185,1.76290069709,0.0,1.651156958,0.0,0.0286516134537,0.0286516134537,0.0286516134537,0.0491697382757,0.00883384244632,0.0539269802759,0.291698638422,0.253194211312
 01/05  16:00:00,0.737789624022,1.90339463028,0.0,1.76390877923,0.0,0.0306081334456,0.0306081334456,0.0306081334456,0.0614621804744,0.0110423044287,0.0564069519463,0.30791335749,0.259826696237
 01/05  17:00:00,0.893164339385,2.11906214156,0.0,1.90174403934,0.0,0.032999912479,0.032999912479,0.032999912479,0.103256447327,0.018551068589,0.065849142667,0.364207536,0.297770232323
 01/05  18:00:00,1.19706703584,3.49559696902,0.0,3.15160190061,0.0,0.0546880046617,0.0546880046617,0.0546880046617,0.191761982327,0.034451986089,0.0828891267443,0.442453949556,0.380291986462
 01/05  19:00:00,1.42622301296,2.3478051671,0.0,2.07071412615,0.0,0.0359319569397,0.0359319569397,0.0359319569397,0.285184488103,0.0512362872853,0.0834922952089,0.480371446455,0.449476538968
 01/05  20:00:00,1.42721473371,2.04140477367,0.0,1.88160281905,0.0,0.0326504130231,0.0326504130231,0.0326504130231,0.302393901077,0.054328132964,0.0747921860178,0.495837793874,0.456682306753
 01/05  21:00:00,1.34529853153,2.06375850514,0.0,1.95455641761,0.0,0.0339163364691,0.0339163364691,0.0339163364691,0.260599634224,0.0468193688037,0.0653297857535,0.512884036997,0.415219369281
 01/05  22:00:00,1.22886789957,2.11996775465,0.0,2.03378189034,0.0,0.0352910922786,0.0352910922786,0.0352910922786,0.218805336853,0.0393105991603,0.0584926622668,0.500910090608,0.365528118403
 01/05  23:00:00,1.01531981984,2.22168116592,0.0,2.15937268639,0.0,0.0374703998994,0.0374703998994,0.0374703998994,0.164718627801,0.0295933730176,0.0502967902808,0.433473489764,0.289237139075
 01/05  24:00:00,0.809585414114,2.44660289746,0.0,2.39855057083,0.0,0.0416207214412,0.0416207214412,0.0416207214412,0.113090388878,0.0203178359816,0.0435869416981,0.376680396822,0.203759129293
 01/06  01:00:00,0.58389735672,2.61460204217,0.0,2.57840686688,0.0,0.0447416682698,0.0447416682698,0.0447416682698,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108800761308
 01/06  02:00:00,0.484611263832,2.64044053891,0.0,2.60594211127,0.0,0.0452194721363,0.0452194721363,0.0452194721363,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0649796944978
 01/06  03:00:00,0.458530648376,2.69728712687,0.0,2.67042204253,0.0,0.0463383567202,0.0463383567202,0.0463383567202,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0546917965489
 01/06  04:00:00,0.456834318395,2.66730089121,0.0,2.64071002871,0.0,0.0458227805778,0.0458227805778,0.0458227805778,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0587443372452
 01/06  05:00:00,0.481140668138,2.62234139564,0.0,2.58907125335,0.0,0.0449267214699,0.0449267214699,0.0449267214699,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0940145173265
 01/06  06:00:00,0.671519948221,2.47393558161,0.0,2.43113917366,0.0,0.0421862134417,0.0421862134417,0.0421862134417,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.253876653623
 01/06  07:00:00,1.05631761078,2.34946157856,0.0,2.27386182002,0.0,0.0394570665126,0.0394570665126,0.0394570665126,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.550539895513
