Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.552937851928,0.419054980545,0.0,0.382859805254,0.0,0.00664355444463,0.00664355444463,0.00664355444463,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610931574
 01/01  02:00:00,0.451753511954,0.543292530273,0.0,0.508794102641,0.0,0.00882882265418,0.00882882265418,0.00882882265418,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125637848
 01/01  03:00:00,0.424594106086,0.581824439967,0.0,0.55495935563,0.0,0.00962990275576,0.00962990275576,0.00962990275576,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442566413
 01/01  04:00:00,0.424366497104,0.623478887836,0.0,0.596888025343,0.0,0.010357467771,0.010357467771,0.010357467771,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418960767
 01/01  05:00:00,0.453159840393,0.655100722653,0.0,0.621830580363,0.0,0.0107902821327,0.0107902821327,0.0107902821327,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253211
 01/01  06:00:00,0.658220885643,0.63906318798,0.0,0.596266780027,0.0,0.0103466876446,0.0103466876446,0.0103466876446,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992891
 01/01  07:00:00,1.06789228911,0.546426952122,0.0,0.470827193585,0.0,0.00817000388045,0.00817000388045,0.00817000388045,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273748
 01/01  08:00:00,1.26109605224,0.778913825022,0.0,0.664840694918,0.0,0.0115366128621,0.0115366128621,0.0115366128621,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.14649650751,0.594221629113,0.0,0.476677965733,0.0,0.00827152909352,0.00827152909352,0.00827152909352,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.957576821723,0.592057903511,0.0,0.47324662346,0.0,0.00821198690891,0.00821198690891,0.00821198690891,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957877
 01/01  11:00:00,0.863827925418,0.543467746629,0.0,0.436067348061,0.0,0.00756683550639,0.00756683550639,0.00756683550639,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438498003
 01/01  12:00:00,0.791338116306,0.497335882041,0.0,0.375141037917,0.0,0.00650961494421,0.00650961494421,0.00650961494421,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.38881131074
 01/01  13:00:00,0.733871183083,0.491047559665,0.0,0.354378195472,0.0,0.00614932882297,0.00614932882297,0.00614932882297,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.335009554805
 01/01  14:00:00,0.706917537954,0.431402102381,0.0,0.316292157866,0.0,0.00548844287741,0.00548844287741,0.00548844287741,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.301394967235
 01/01  15:00:00,0.693736623893,0.411873299967,0.0,0.300129560872,0.0,0.00520798227115,0.00520798227115,0.00520798227115,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.273085705563
 01/01  16:00:00,0.733077692778,0.400126437708,0.0,0.260640586659,0.0,0.00452275194258,0.00452275194258,0.00452275194258,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.279996986593
 01/01  17:00:00,0.890455660526,0.389157755655,0.0,0.171839653434,0.0,0.00298183846324,0.00298183846324,0.00298183846324,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.323826362352
 01/01  18:00:00,1.18266238275,0.711853050485,0.0,0.367857982081,0.0,0.00638323610447,0.00638323610447,0.00638323610447,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.412832216764
 01/01  19:00:00,1.43589687065,0.277091040945,0.0,0.0,0.0,0.0,0.0,0.0,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.493291330436
 01/01  20:00:00,1.44637880824,0.159801954626,0.0,0.0,0.0,0.0,0.0,0.0,0.302393901077,0.054328132964,0.076857507091,0.495837793874,0.506431473233
 01/01  21:00:00,1.36065676384,0.109202087527,0.0,0.0,0.0,0.0,0.0,0.0,0.260599634224,0.0468193688037,0.0671599615243,0.512884036997,0.462663762286
 01/01  22:00:00,1.23422975511,0.0861858643041,0.0,0.0,0.0,0.0,0.0,0.0,0.218805336853,0.0393105991603,0.0600180686125,0.500910090608,0.404655659873
 01/01  23:00:00,1.01038950419,0.0623084795269,0.0,0.0,0.0,0.0,0.0,0.0,0.164718627801,0.0295933730176,0.0513238084703,0.433473489764,0.320750205133
 01/01  24:00:00,0.790125278222,0.14370683079,0.0,0.0956545041623,0.0,0.00165983970517,0.00165983970517,0.00165983970517,0.113090388878,0.0203178359816,0.0442136254855,0.376680396822,0.223633191349
 01/02  01:00:00,0.542979534401,0.293189947879,0.0,0.256994772587,0.0,0.00445948814746,0.00445948814746,0.00445948814746,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.10816511911
 01/02  02:00:00,0.445428865059,0.399784632977,0.0,0.365286205344,0.0,0.00633860948518,0.00633860948518,0.00633860948518,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0646781583761
 01/02  03:00:00,0.419554317001,0.463903891388,0.0,0.437038807052,0.0,0.00758369269696,0.00758369269696,0.00758369269696,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0544701291967
 01/02  04:00:00,0.418960875332,0.499274155696,0.0,0.472683293203,0.0,0.00820221175053,0.00820221175053,0.00820221175053,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0584914630098
 01/02  05:00:00,0.444234300214,0.525484324565,0.0,0.492214182275,0.0,0.00854112046626,0.00854112046626,0.00854112046626,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0934937504053
 01/02  06:00:00,0.63544549415,0.494288698428,0.0,0.451492290475,0.0,0.00783449600072,0.00783449600072,0.00783449600072,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.252153916994
