Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.547561322345,0.110669335893,0.0,0.0744741606012,0.0,0.001292308918,0.001292308918,0.001292308918,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115585647518
 01/01  02:00:00,0.446934899468,0.266334602072,0.0,0.23183617444,0.0,0.00402292490878,0.00402292490878,0.00402292490878,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0682998490435
 01/01  03:00:00,0.422528837522,0.462807602994,0.0,0.435942518658,0.0,0.0075646694108,0.0075646694108,0.0075646694108,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442214227
 01/01  04:00:00,0.42301968862,0.545863984872,0.0,0.519273122379,0.0,0.00901065928785,0.00901065928785,0.00901065928785,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418960764
 01/01  05:00:00,0.45295661974,0.643389368418,0.0,0.610119226129,0.0,0.0105870614801,0.0105870614801,0.0105870614801,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253211
 01/01  06:00:00,0.658125223652,0.633550306065,0.0,0.590753898113,0.0,0.0102510256539,0.0102510256539,0.0102510256539,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992891
 01/01  07:00:00,1.07517337248,0.966026759124,0.0,0.890427000587,0.0,0.0154510872549,0.0154510872549,0.0154510872549,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273748
 01/01  08:00:00,1.26655422484,1.09346154464,0.0,0.97938841454,0.0,0.0169947854675,0.0169947854675,0.0169947854675,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.14114071313,0.285573839844,0.0,0.168030176464,0.0,0.00291573471636,0.00291573471636,0.00291573471636,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.949055996319,0.118811280051,0.0,0.0,0.0,0.0,0.0,0.0,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.542883119382
 01/01  11:00:00,0.85555720322,0.107400398569,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.458734611311
 01/01  12:00:00,0.783782638536,0.122194844123,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.387765447914
 01/01  13:00:00,0.726354001016,0.136669364193,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.333641701561
 01/01  14:00:00,0.699872957039,0.115109944515,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.299838829197
 01/01  15:00:00,0.686946385932,0.111743739095,0.0,0.0,0.0,0.0,0.0,0.0,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.271503449873
 01/01  16:00:00,0.727011731366,0.139485851048,0.0,0.0,0.0,0.0,0.0,0.0,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.278453777123
 01/01  17:00:00,0.886171733493,0.217318102221,0.0,0.0,0.0,0.0,0.0,0.0,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.322524273781
 01/01  18:00:00,1.17556650306,0.343995068403,0.0,0.0,0.0,0.0,0.0,0.0,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.412119573176
 01/01  19:00:00,1.43507250901,0.277091040945,0.0,0.0,0.0,0.0,0.0,0.0,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.492466968794
 01/01  20:00:00,1.44532423001,0.159801954626,0.0,0.0,0.0,0.0,0.0,0.0,0.302393901077,0.054328132964,0.076857507091,0.495837793874,0.505376895009
 01/01  21:00:00,1.35979713861,0.109202087527,0.0,0.0,0.0,0.0,0.0,0.0,0.260599634224,0.0468193688037,0.0671599615243,0.512884036997,0.461804137061
 01/01  22:00:00,1.23351409172,0.0861858643041,0.0,0.0,0.0,0.0,0.0,0.0,0.218805336853,0.0393105991603,0.0600180686125,0.500910090608,0.403939996491
 01/01  23:00:00,1.00989800379,0.0623084795269,0.0,0.0,0.0,0.0,0.0,0.0,0.164718627801,0.0295933730176,0.0513238084703,0.433473489764,0.320258704739
 01/01  24:00:00,0.788045779941,0.0480523266279,0.0,0.0,0.0,0.0,0.0,0.0,0.113090388878,0.0203178359816,0.0442136254855,0.376680396822,0.223213532773
 01/02  01:00:00,0.539021785927,0.0788597886824,0.0,0.0426646133909,0.0,0.000740335438799,0.000740335438799,0.000740335438799,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.107926523345
 01/02  02:00:00,0.441789658192,0.190077613086,0.0,0.155579185454,0.0,0.00269967955588,0.00269967955588,0.00269967955588,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0646778814388
 01/02  03:00:00,0.417661631467,0.354830896927,0.0,0.32796581259,0.0,0.00569100935125,0.00569100935125,0.00569100935125,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0544701270089
 01/02  04:00:00,0.417720460085,0.427790633269,0.0,0.401199770776,0.0,0.00696179772268,0.00696179772268,0.00696179772268,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0584914617905
 01/02  05:00:00,0.444808117038,0.558552678873,0.0,0.525282536584,0.0,0.0091149373288,0.0091149373288,0.0091149373288,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0934937503667
 01/02  06:00:00,0.637174028413,0.593901984839,0.0,0.551105576886,0.0,0.0095630302647,0.0095630302647,0.0095630302647,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.252153916993
 01/02  07:00:00,1.02999154228,1.06037828488,0.0,0.984778526339,0.0,0.0170883170964,0.0170883170964,0.0170883170964,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.546582576428
 01/02  08:00:00,1.21137946426,1.07021199402,0.0,0.956138863911,0.0,0.0165913488746,0.0165913488746,0.0165913488746,0.115548889526,0.0207595305713,0.0510568111019,0.368531461085,0.613361423106
 01/02  09:00:00,1.08740232823,0.353978420234,0.0,0.236434756853,0.0,0.00410272156596,0.00410272156596,0.00410272156596,0.11063191875,0.019876146875,0.0586542613656,0.311572063332,0.572035216338
 01/02  10:00:00,0.900539611838,0.118811280051,0.0,0.0,0.0,0.0,0.0,0.0,0.0565452096987,0.0101589207324,0.0616202140166,0.265173021074,0.496512246317
 01/02  11:00:00,0.814887999818,0.107400398569,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0577626539713,0.271409451485,0.420082508877
 01/02  12:00:00,0.750403722469,0.122194844123,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0571243967723,0.27149260389,0.356153336321
 01/02  13:00:00,0.697825281869,0.136669364193,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0585931939908,0.266919221589,0.306679480804
 01/02  14:00:00,0.675395304559,0.115109944515,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0567480421383,0.276149138597,0.276864738338
 01/02  15:00:00,0.664551432053,0.111743739095,0.0,0.0,0.0,0.0,0.0,0.0,0.0491697382757,0.00883384244632,0.0539269802759,0.291698638422,0.250392232634
 01/02  16:00:00,0.704330614958,0.139485851048,0.0,0.0,0.0,0.0,0.0,0.0,0.0614621804744,0.0110423044287,0.0564069519463,0.30791335749,0.256975820619
 01/02  17:00:00,0.857255136443,0.217318102221,0.0,0.0,0.0,0.0,0.0,0.0,0.103256447327,0.018551068589,0.065849142667,0.364207536,0.29486094186
 01/02  18:00:00,1.13941445915,0.343995068403,0.0,0.0,0.0,0.0,0.0,0.0,0.191761982327,0.034451986089,0.0828891267443,0.442453949556,0.377327414438
