Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.572778535993,1.56244776902,0.0,1.52625259373,0.0,0.0264842171039,0.0264842171039,0.0264842171039,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.11561095298
 01/01  02:00:00,0.473846040465,1.81645755148,0.0,1.78195912385,0.0,0.0309213510923,0.0309213510923,0.0309213510923,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125638571
 01/01  03:00:00,0.448611610022,1.96592341232,0.0,1.93905832798,0.0,0.0336474066916,0.0336474066916,0.0336474066916,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442566418
 01/01  04:00:00,0.449852133951,2.09218453951,0.0,2.06559367702,0.0,0.035843104618,0.035843104618,0.035843104618,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418960767
 01/01  05:00:00,0.479745301787,2.1871878993,0.0,2.15391775701,0.0,0.0373757435269,0.0373757435269,0.0373757435269,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253211
 01/01  06:00:00,0.685481623816,2.21006572808,0.0,2.16726932012,0.0,0.037607425817,0.037607425817,0.037607425817,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992891
 01/01  07:00:00,1.09584914846,2.15754609285,0.0,2.08194633431,0.0,0.0361268632355,0.0361268632355,0.0361268632355,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273748
 01/01  08:00:00,1.29540833397,2.75628807717,0.0,2.64221494706,0.0,0.0458488945936,0.0458488945936,0.0458488945936,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.16436058121,1.62370604695,0.0,1.50616238357,0.0,0.0261356027986,0.0261356027986,0.0261356027986,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.963840612968,0.953032433887,0.0,0.834221153836,0.0,0.0144757782831,0.0144757782831,0.0144757782831,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957748
