Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.579441170071,1.94640709742,0.0,1.91021192213,0.0,0.0331468509656,0.0331468509656,0.0331468509656,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953196
 01/01  02:00:00,0.479875837508,2.1639472786,0.0,2.12944885097,0.0,0.0369511481339,0.0369511481339,0.0369511481339,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125638584
 01/01  03:00:00,0.455304242105,2.351611501,0.0,2.32474641666,0.0,0.0403400387742,0.0403400387742,0.0403400387742,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442566418
 01/01  04:00:00,0.456138058303,2.45443456596,0.0,2.42784370346,0.0,0.04212902897,0.04212902897,0.04212902897,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418960767
 01/01  05:00:00,0.484704395782,2.47297433743,0.0,2.43970419514,0.0,0.0423348375222,0.0423348375222,0.0423348375222,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253211
 01/01  06:00:00,0.689675587712,2.4517586673,0.0,2.40896225935,0.0,0.0418013897134,0.0418013897134,0.0418013897134,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992891
 01/01  07:00:00,1.11233579931,3.10765133914,0.0,3.0320515806,0.0,0.0526135140806,0.0526135140806,0.0526135140806,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273748
 01/01  08:00:00,1.30260239419,3.17087284743,0.0,3.05679971732,0.0,0.0530429548092,0.0530429548092,0.0530429548092,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.17293773447,2.11799675449,0.0,2.00045309111,0.0,0.0347127560593,0.0347127560593,0.0347127560593,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.974166059863,1.54807510313,0.0,1.42926382308,0.0,0.0248012246103,0.0248012246103,0.0248012246103,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191958316
 01/01  11:00:00,0.873938756671,1.12614237067,0.0,1.01874197211,0.0,0.0176776659859,0.0176776659859,0.0176776659859,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438498777
 01/01  12:00:00,0.797101309686,0.829461520136,0.0,0.707266676013,0.0,0.0122728074467,0.0122728074467,0.0122728074467,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.388811311617
 01/01  13:00:00,0.737430707818,0.696178519386,0.0,0.559509155193,0.0,0.00970885291112,0.00970885291112,0.00970885291112,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.335009555452
 01/01  14:00:00,0.712095093037,0.729778172628,0.0,0.614668228113,0.0,0.0106659977956,0.0106659977956,0.0106659977956,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.3013949674
 01/01  15:00:00,0.698859535245,0.707100329233,0.0,0.595356590139,0.0,0.0103308936229,0.0103308936229,0.0103308936229,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.273085705563
 01/01  16:00:00,0.740430651383,0.823868325154,0.0,0.684382474106,0.0,0.011875710548,0.011875710548,0.011875710548,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.279996986593
 01/01  17:00:00,0.901074834366,1.00112757726,0.0,0.78380947504,0.0,0.0136010123032,0.0136010123032,0.0136010123032,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.323826362352
 01/01  18:00:00,1.21146624655,2.37178417107,0.0,2.02778910267,0.0,0.0351871027487,0.0351871027487,0.0351871027487,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.412832213919
 01/01  19:00:00,1.45595336664,1.43188764014,0.0,1.1547965992,0.0,0.0200385466794,0.0200385466794,0.0200385466794,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.493309279747
 01/01  20:00:00,1.46307585331,1.11678672839,0.0,0.956984773769,0.0,0.0166060274805,0.0166060274805,0.0166060274805,0.302393901077,0.054328132964,0.076857507091,0.495837793874,0.506522490822
 01/01  21:00:00,1.37908614955,1.16450916652,0.0,1.05530707899,0.0,0.0183121600619,0.0183121600619,0.0183121600619,0.260599634224,0.0468193688037,0.0671599615243,0.512884036997,0.462780987937
 01/01  22:00:00,1.25573826038,1.32004906129,0.0,1.23386319699,0.0,0.0214105456198,0.0214105456198,0.0214105456198,0.218805336853,0.0393105991603,0.0600180686125,0.500910090608,0.404753619531
 01/01  23:00:00,1.03625734679,1.54906300989,0.0,1.48675453036,0.0,0.0257988290562,0.0257988290562,0.0257988290562,0.164718627801,0.0295933730176,0.0513238084703,0.433473489764,0.320819218682
 01/01  24:00:00,0.816863696149,1.6835969341,0.0,1.63554460747,0.0,0.02838070097,0.02838070097,0.02838070097,0.113090388878,0.0203178359816,0.0442136254855,0.376680396822,0.223650748012
 01/02  01:00:00,0.569320672229,1.81119228347,0.0,1.77499710818,0.0,0.030800543085,0.030800543085,0.030800543085,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108165202001
 01/02  02:00:00,0.472225700962,1.94405300218,0.0,1.90955457454,0.0,0.0331354443764,0.0331354443764,0.0331354443764,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0646781593878
 01/02  03:00:00,0.445791925331,1.9759447263,0.0,1.94907964196,0.0,0.0338213010104,0.0338213010104,0.0338213010104,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0544701292136
 01/02  04:00:00,0.446599690502,2.09206480438,0.0,2.06547394189,0.0,0.0358410269205,0.0358410269205,0.0358410269205,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0584914630101
 01/02  05:00:00,0.474170736094,2.25068400597,0.0,2.21741386368,0.0,0.038477556347,0.038477556347,0.038477556347,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0934937504053
 01/02  06:00:00,0.666036158863,2.25719077625,0.0,2.2143943683,0.0,0.0384251607136,0.0384251607136,0.0384251607136,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.252153916994
 01/02  07:00:00,1.06217967223,2.91534030329,0.0,2.83974054475,0.0,0.0492764470409,0.0492764470409,0.0492764470409,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.546582576428
 01/02  08:00:00,1.24431008143,2.96796263056,0.0,2.85388950045,0.0,0.0495219660435,0.0495219660435,0.0495219660435,0.115548889526,0.0207595305713,0.0510568111019,0.368531461085,0.613361423106
 01/02  09:00:00,1.11533826788,1.96389198447,0.0,1.84634832109,0.0,0.032038661219,0.032038661219,0.032038661219,0.11063191875,0.019876146875,0.0586542613656,0.311572063332,0.572035216338
 01/02  10:00:00,0.923204031598,1.41455091699,0.0,1.29573963694,0.0,0.022484253259,0.022484253259,0.022484253259,0.0565452096987,0.0101589207324,0.0616202140166,0.265173021074,0.496692412818
 01/02  11:00:00,0.832710507924,1.09722302707,0.0,0.989822628504,0.0,0.0171758446114,0.0171758446114,0.0171758446114,0.0467112376283,0.00839214785663,0.0577626539713,0.271409451485,0.420729172372
 01/02  12:00:00,0.764059529816,0.843544777007,0.0,0.721349932883,0.0,0.0125171864139,0.0125171864139,0.0125171864139,0.0467112376283,0.00839214785663,0.0571243967723,0.27149260389,0.357291957255
 01/02  13:00:00,0.709881190081,0.757806585404,0.0,0.621137221211,0.0,0.0107782506549,0.0107782506549,0.0107782506549,0.0467112376283,0.00839214785663,0.0585931939908,0.266919221589,0.307957138361
 01/02  14:00:00,0.685640702652,0.624003345472,0.0,0.508893400956,0.0,0.00883054572292,0.00883054572292,0.00883054572292,0.0467112376283,0.00839214785663,0.0567480421383,0.276149138597,0.278279590709
 01/02  15:00:00,0.673762299647,0.557158626154,0.0,0.44541488706,0.0,0.00772903818061,0.00772903818061,0.00772903818061,0.0491697382757,0.00883384244632,0.0539269802759,0.291698638422,0.251874062046
 01/02  16:00:00,0.715231982569,0.681642380776,0.0,0.542156529727,0.0,0.00940774239898,0.00940774239898,0.00940774239898,0.0614621804744,0.0110423044287,0.0564069519463,0.30791335749,0.25846944583
 01/02  17:00:00,0.871734656956,0.974902123327,0.0,0.757584021106,0.0,0.0131459365061,0.0131459365061,0.0131459365061,0.103256447327,0.018551068589,0.065849142667,0.364207536,0.296194525867
 01/02  18:00:00,1.17286377988,2.21861782001,0.0,1.8746227516,0.0,0.0325292917734,0.0325292917734,0.0325292917734,0.191761982327,0.034451986089,0.0828891267443,0.442453949556,0.378247443394
 01/02  19:00:00,1.40968360255,1.53451057591,0.0,1.25741953496,0.0,0.021819305724,0.021819305724,0.021819305724,0.285184488103,0.0512362872853,0.0834922952089,0.480371446455,0.44704977977
 01/02  20:00:00,1.41200950699,1.30680771651,0.0,1.14700576188,0.0,0.0199033565885,0.0199033565885,0.0199033565885,0.302393901077,0.054328132964,0.0747921860178,0.495837793874,0.454224136467
 01/02  21:00:00,1.33024552289,1.32468357147,0.0,1.21548148394,0.0,0.0210915779202,0.0210915779202,0.0210915779202,0.260599634224,0.0468193688037,0.0653297857535,0.512884036997,0.412991119188
 01/02  22:00:00,1.2151138651,1.43980459801,0.0,1.35361873371,0.0,0.0234885972129,0.0234885972129,0.0234885972129,0.218805336853,0.0393105991603,0.0584926622668,0.500910090608,0.363576579001
 01/02  23:00:00,1.0047459071,1.69962040518,0.0,1.63731192566,0.0,0.028411368265,0.028411368265,0.028411368265,0.164718627801,0.0295933730176,0.0502967902808,0.433473489764,0.287722257968
 01/02  24:00:00,0.799149598233,1.90408355993,0.0,1.8560312333,0.0,0.032206683439,0.032206683439,0.032206683439,0.113090388878,0.0203178359816,0.0435869416981,0.376680396822,0.202737351414
