Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.496466255701,3.31144776648,0.0,3.01465796054,0.0,0.0590601372533,0.0590601372533,0.0590601372533,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.441223112033,3.35681724291,0.0,3.13268096248,0.0,0.061372324833,0.061372324833,0.061372324833,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.426796287235,3.48998031486,0.0,3.29002398138,0.0,0.0644548305148,0.0644548305148,0.0644548305148,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.422828236598,3.56415249994,0.0,3.35798126928,0.0,0.0657861811368,0.0657861811368,0.0657861811368,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.413323007857,3.66046417691,0.0,3.38987669961,0.0,0.0664110442283,0.0664110442283,0.0664110442283,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.446944043092,3.92142158704,0.0,3.38273912192,0.0,0.0662712120073,0.0662712120073,0.0662712120073,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.551151927946,4.99484088494,0.0,3.94141469837,0.0,0.0772162202495,0.0772162202495,0.0772162202495,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.670954640486,5.19782373132,0.0,3.99395652941,0.0,0.0782455667934,0.0782455667934,0.0782455667934,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.590357736291,4.6157101153,0.0,3.47126110404,0.0,0.0680054453705,0.0680054453705,0.0680054453705,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.478618855767,4.41133021908,0.0,3.38851626182,0.0,0.0663843919037,0.0663843919037,0.0663843919037,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.461941668614,3.92092000746,0.0,3.03522121395,0.0,0.0594629917677,0.0594629917677,0.0594629917677,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.46184901437,3.86585889819,0.0,3.07155303908,0.0,0.0601747682303,0.0601747682303,0.0601747682303,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.450006698758,3.36637810364,0.0,2.63849467467,0.0,0.0516907256702,0.0516907256702,0.0516907256702,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.451613639978,2.9968064123,0.0,2.34128553971,0.0,0.0458681041545,0.0458681041545,0.0458681041545,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.464641105267,2.81397677996,0.0,2.2043661032,0.0,0.0431857166935,0.0431857166935,0.0431857166935,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.501653534776,3.01080974255,0.0,2.36312444192,0.0,0.0462959498932,0.0462959498932,0.0462959498932,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.626579366153,3.51932985687,0.0,2.72790068591,0.0,0.0534422780402,0.0534422780402,0.0534422780402,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.860202415827,5.23962217329,0.0,4.18802314499,0.0,0.0820475241306,0.0820475241306,0.0820475241306,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.02228300265,4.16661216296,0.0,3.06175241703,0.0,0.0599827643308,0.0599827643308,0.0599827643308,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.01717375038,3.89163836311,0.0,2.88469880661,0.0,0.0565141086262,0.0565141086262,0.0565141086262,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.973939795456,3.80405385936,0.0,2.91299531609,0.0,0.0570684652914,0.0570684652914,0.0570684652914,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
