Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.490985437657,3.03168561376,0.0,2.73489579749,0.0,0.0535793192089,0.0535793192089,0.0535793192089,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.437893040419,3.18683750478,0.0,2.96270122035,0.0,0.058042253219,0.058042253219,0.058042253219,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.422494004538,3.27037515688,0.0,3.07041882324,0.0,0.0601525478178,0.0601525478178,0.0601525478178,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.418497182515,3.343078809,0.0,3.13690750827,0.0,0.0614551270539,0.0614551270539,0.0614551270539,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.408873264491,3.43333206774,0.0,3.16274457829,0.0,0.0619613008626,0.0619613008626,0.0619613008626,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.444914740847,3.81783814798,0.0,3.27915568219,0.0,0.0642419097622,0.0642419097622,0.0642419097622,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.545427637037,4.7026508793,0.0,3.64922473813,0.0,0.0714919293409,0.0714919293409,0.0714919293409,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.665695307052,4.92936699109,0.0,3.725499798,0.0,0.0729862333595,0.0729862333595,0.0729862333595,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.584117144146,4.29716614137,0.0,3.15271713066,0.0,0.0617648532253,0.0617648532253,0.0617648532253,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.469018163164,3.92127371516,0.0,2.89845975791,0.0,0.0567836993005,0.0567836993005,0.0567836993005,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.454920294582,3.56252190506,0.0,2.67682311155,0.0,0.0524416177357,0.0524416177357,0.0524416177357,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.448675686234,3.19344120202,0.0,2.39913539196,0.0,0.0470014400948,0.0470014400948,0.0470014400948,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.430267740098,2.35882525407,0.0,1.63094183743,0.0,0.0319517670103,0.0319517670103,0.0319517670103,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.428761343831,1.8303367494,0.0,1.17481590891,0.0,0.0230158080074,0.0230158080074,0.0230158080074,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.442003014424,1.65844100583,0.0,1.04883034008,0.0,0.0205476258505,0.0205476258505,0.0205476258505,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
