Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.568080590241,1.29171096803,0.0,1.25551579274,0.0,0.0217862711381,0.0217862711381,0.0217862711381,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953194
 01/01  02:00:00,0.468650489359,1.5170443832,0.0,1.48254595557,0.0,0.0257257999856,0.0257257999856,0.0257257999856,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125638584
 01/01  03:00:00,0.443384689138,1.66470247111,0.0,1.63783738678,0.0,0.0284204863012,0.0284204863012,0.0284204863012,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442561478
 01/01  04:00:00,0.446094533591,1.87563869729,0.0,1.84904783479,0.0,0.0320855043872,0.0320855043872,0.0320855043872,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418959479
 01/01  05:00:00,0.477563194827,2.06143564011,0.0,2.02816549782,0.0,0.0351936341255,0.0351936341255,0.0351936341255,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009255653
 01/01  06:00:00,0.683319973737,2.08549243995,0.0,2.04269603199,0.0,0.0354457744483,0.0354457744483,0.0354457744483,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116994181
 01/01  07:00:00,1.10425391536,2.64190275522,0.0,2.56630299668,0.0,0.0445316365048,0.0445316365048,0.0445316365048,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801267371
 01/01  08:00:00,1.29617238903,2.8003196728,0.0,2.6862465427,0.0,0.0466129505192,0.0466129505192,0.0466129505192,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.66698837265
 01/01  09:00:00,1.17316083329,2.13085366324,0.0,2.01330999986,0.0,0.0349358548859,0.0349358548859,0.0349358548859,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682465
 01/01  10:00:00,0.972894518744,1.47479778967,0.0,1.35598650962,0.0,0.0235296839188,0.0235296839188,0.0235296839188,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957888
 01/01  11:00:00,0.869520366692,0.871516061606,0.0,0.764115663037,0.0,0.0132592764759,0.0132592764759,0.0132592764759,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438498308
 01/01  12:00:00,0.789191306573,0.373617902771,0.0,0.251423058648,0.0,0.00436280527713,0.00436280527713,0.00436280527713,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.388811310673
 01/01  13:00:00,0.732174961974,0.39329645413,0.0,0.256627089938,0.0,0.0044531079538,0.0044531079538,0.0044531079538,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.335009554565
