Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.57128835031,1.4765701842,0.0,1.44037500891,0.0,0.0249940308725,0.0249940308725,0.0249940308725,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953528
 01/01  02:00:00,0.467713374581,1.46303962019,0.0,1.42854119256,0.0,0.0247886852026,0.0247886852026,0.0247886852026,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.068312563863
 01/01  03:00:00,0.440909406789,1.5220559336,0.0,1.49519084927,0.0,0.0259452198321,0.0259452198321,0.0259452198321,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442402678
 01/01  04:00:00,0.440871380473,1.57463493538,0.0,1.54804407289,0.0,0.0268623525891,0.0268623525891,0.0268623525891,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.061641894628
 01/01  05:00:00,0.470838604476,1.67390598127,0.0,1.64063583898,0.0,0.0284690462944,0.0284690462944,0.0284690462944,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253133
 01/01  06:00:00,0.674846898075,1.59719966994,0.0,1.55440326199,0.0,0.0269727000804,0.0269727000804,0.0269727000804,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992887
 01/01  07:00:00,1.0844494223,1.50059400897,0.0,1.42499425043,0.0,0.0247271370776,0.0247271370776,0.0247271370776,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273748
 01/01  08:00:00,1.27395162767,1.51976469749,0.0,1.40569156739,0.0,0.0243921882948,0.0243921882948,0.0243921882948,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.16355854115,1.57748547235,0.0,1.45994180897,0.0,0.0253335627317,0.0253335627317,0.0253335627317,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.975642280152,1.6331478733,0.0,1.51433659325,0.0,0.0262774453381,0.0262774453381,0.0262774453381,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957877
 01/01  11:00:00,0.882194849382,1.60193080138,0.0,1.49453040281,0.0,0.02593375947,0.02593375947,0.02593375947,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438498003
 01/01  12:00:00,0.810713786349,1.61393172258,0.0,1.49173687846,0.0,0.0258852849871,0.0258852849871,0.0258852849871,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.38881131074
 01/01  13:00:00,0.754336443737,1.6704351561,0.0,1.5337657919,0.0,0.0266145894763,0.0266145894763,0.0266145894763,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.335009554805
 01/01  14:00:00,0.728384871628,1.66853792453,0.0,1.55342798001,0.0,0.0269557765516,0.0269557765516,0.0269557765516,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.301394967235
 01/01  15:00:00,0.715810736817,1.68397705794,0.0,1.57223331884,0.0,0.0272820951953,0.0272820951953,0.0272820951953,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.273085705563
 01/01  16:00:00,0.756084742757,1.72599420141,0.0,1.58650835036,0.0,0.0275298019219,0.0275298019219,0.0275298019219,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.279996986593
 01/01  17:00:00,0.913280987217,1.70455303154,0.0,1.48723492932,0.0,0.0258071651536,0.0258071651536,0.0258071651536,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.323826362352
 01/01  18:00:00,1.21638197146,2.65507113842,0.0,2.31107607002,0.0,0.0401028248099,0.0401028248099,0.0401028248099,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.412832216764
 01/01  19:00:00,1.46070387523,1.70565366362,0.0,1.42856262267,0.0,0.0247890570675,0.0247890570675,0.0247890570675,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.493309277949
 01/01  20:00:00,1.4689826185,1.45718630362,0.0,1.29738434899,0.0,0.0225127930377,0.0225127930377,0.0225127930377,0.302393901077,0.054328132964,0.076857507091,0.495837793874,0.506522490455
 01/01  21:00:00,1.38369273994,1.42998113577,0.0,1.32077904824,0.0,0.0229187483143,0.0229187483143,0.0229187483143,0.260599634224,0.0468193688037,0.0671599615243,0.512884036997,0.462780990073
 01/01  22:00:00,1.25814260319,1.45860815138,0.0,1.37242228707,0.0,0.0238148848745,0.0238148848745,0.0238148848745,0.218805336853,0.0393105991603,0.0600180686125,0.500910090608,0.404753623084
 01/01  23:00:00,1.03667553675,1.57316272571,0.0,1.51085424619,0.0,0.0262170180956,0.0262170180956,0.0262170180956,0.164718627801,0.0295933730176,0.0513238084703,0.433473489764,0.320819219602
 01/01  24:00:00,0.817093294229,1.69682822999,0.0,1.64877590336,0.0,0.0286102963295,0.0286102963295,0.0286102963295,0.113090388878,0.0203178359816,0.0442136254855,0.376680396822,0.223650750732
 01/02  01:00:00,0.569821013395,1.84002630932,0.0,1.80383113403,0.0,0.0313008839878,0.0313008839878,0.0313008839878,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108165202264
 01/02  02:00:00,0.472161067525,1.9403282564,0.0,1.90582982877,0.0,0.0330708109231,0.0330708109231,0.0330708109231,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0646781594042
 01/02  03:00:00,0.446289352716,2.00461084968,0.0,1.97774576534,0.0,0.0343187283945,0.0343187283945,0.0343187283945,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0544701292146
 01/02  04:00:00,0.446242061792,2.07145510524,0.0,2.04486424275,0.0,0.0354833982103,0.0354833982103,0.0354833982103,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0584914630102
 01/02  05:00:00,0.47095513255,2.06537276077,0.0,2.03210261848,0.0,0.0352619528028,0.0352619528028,0.0352619528028,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0934937504053
 01/02  06:00:00,0.662397243393,2.04748458962,0.0,2.00468818166,0.0,0.0347862452433,0.0347862452433,0.0347862452433,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.252153916994
 01/02  07:00:00,1.04724985218,2.05495328552,0.0,1.97935352698,0.0,0.0343466269929,0.0343466269929,0.0343466269929,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.546582576428
 01/02  08:00:00,1.22706930921,1.97439830446,0.0,1.86032517436,0.0,0.0322811938233,0.0322811938233,0.0322811938233,0.115548889526,0.0207595305713,0.0510568111019,0.368531461085,0.613361423106
 01/02  09:00:00,1.11836490416,2.13831296108,0.0,2.0207692977,0.0,0.0350652919555,0.0350652919555,0.0350652919555,0.11063191875,0.019876146875,0.0586542613656,0.311572063332,0.572035221879
 01/02  10:00:00,0.937188236157,2.22044327532,0.0,2.10163199527,0.0,0.0364684576222,0.0364684576222,0.0364684576222,0.0565452096987,0.0101589207324,0.0616202140166,0.265173021074,0.496692413013
 01/02  11:00:00,0.851794814765,2.19702801204,0.0,2.08962761347,0.0,0.0362601522244,0.0362601522244,0.0362601522244,0.0467112376283,0.00839214785663,0.0577626539713,0.271409451485,0.420729171599
