Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.484941791641,2.72319452265,0.0,2.42640471673,0.0,0.0475356731934,0.0475356731934,0.0475356731934,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.429881719183,2.77790866208,0.0,2.55377238165,0.0,0.0500309319824,0.0500309319824,0.0500309319824,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.413414068736,2.80690009521,0.0,2.60694376172,0.0,0.0510726120158,0.0510726120158,0.0510726120158,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.408988133062,2.85770005604,0.0,2.65152882538,0.0,0.0519460776007,0.0519460776007,0.0519460776007,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.399209585907,2.94006050347,0.0,2.66947302616,0.0,0.0522976222785,0.0522976222785,0.0522976222785,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.434317103673,3.27689373448,0.0,2.73821126936,0.0,0.0536442725886,0.0536442725886,0.0536442725886,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.534763880782,4.15833153806,0.0,3.10490535149,0.0,0.0608281730855,0.0608281730855,0.0608281730855,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.653707441376,4.31745994434,0.0,3.11359274243,0.0,0.0609983676841,0.0609983676841,0.0609983676841,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.575577790058,3.86128446308,0.0,2.71683545182,0.0,0.0532254991376,0.0532254991376,0.0532254991376,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.465441418528,3.73870282743,0.0,2.71588887017,0.0,0.0532069546649,0.0532069546649,0.0532069546649,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.454715490882,3.55206793166,0.0,2.66636913815,0.0,0.0522368140361,0.0522368140361,0.0522368140361,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.453491659857,3.43926712852,0.0,2.64496132286,0.0,0.0518174137174,0.0518174137174,0.0518174137174,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.449908683399,3.36137500613,0.0,2.63349159143,0.0,0.0515927103111,0.0515927103111,0.0515927103111,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.456411199242,3.24169237336,0.0,2.58617153048,0.0,0.0506656634186,0.0506656634186,0.0506656634186,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.470945706073,3.1357880141,0.0,2.52617732636,0.0,0.0494903174999,0.0494903174999,0.0494903174999,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
