Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.486472250513,2.80131505502,0.0,2.50452526024,0.0,0.0490661320655,0.0490661320655,0.0490661320655,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.435381837046,3.05865596247,0.0,2.83451968215,0.0,0.0555310498458,0.0555310498458,0.0555310498458,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.420057259834,3.14599427715,0.0,2.94603794367,0.0,0.0577158031139,0.0577158031139,0.0577158031139,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.416982124935,3.26574433698,0.0,3.05957310632,0.0,0.0599400694742,0.0599400694742,0.0599400694742,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.408812679257,3.43023975922,0.0,3.15965207347,0.0,0.0619007156282,0.0619007156282,0.0619007156282,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.443060147109,3.72317279745,0.0,3.18449004076,0.0,0.0623873160243,0.0623873160243,0.0623873160243,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.533011292685,4.06887271061,0.0,3.01544647275,0.0,0.0590755849889,0.0590755849889,0.0590755849889,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.648589088343,4.05619940087,0.0,2.85233219626,0.0,0.0558800146511,0.0558800146511,0.0558800146511,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.567213220816,3.4343244792,0.0,2.2898754679,0.0,0.0448609298957,0.0448609298957,0.0448609298957,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.446396959449,2.76659994287,0.0,1.74378597919,0.0,0.0341624955863,0.0341624955863,0.0341624955863,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.427872678563,2.1819069182,0.0,1.29620811917,0.0,0.0253940017172,0.0253940017172,0.0253940017172,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.417037811944,1.57852166337,0.0,0.784215853654,0.0,0.0153635658039,0.0153635658039,0.0153635658039,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.409486138139,1.29805186837,0.0,0.570168451307,0.0,0.011170165051,0.011170165051,0.011170165051,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.415693145829,1.16328535468,0.0,0.507764510677,0.0,0.009947610006,0.009947610006,0.009947610006,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.434228736703,1.26161178656,0.0,0.652001119749,0.0,0.0127733481296,0.0127733481296,0.0127733481296,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.473661524049,1.5819891508,0.0,0.934303888903,0.0,0.0183039391656,0.0183039391656,0.0183039391656,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.593745023285,1.84333791635,0.0,1.05190876126,0.0,0.0206079351724,0.0206079351724,0.0206079351724,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.816884245908,3.02849511612,0.0,1.97689611657,0.0,0.0387293542114,0.0387293542114,0.0387293542114,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,0.987692293606,2.40096849618,0.0,1.29610876603,0.0,0.0253920552907,0.0253920552907,0.0253920552907,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.984024533712,2.19957404041,0.0,1.19263450465,0.0,0.0233648919578,0.0233648919578,0.0233648919578,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.941388096855,2.14248918759,0.0,1.2514306486,0.0,0.0245167666901,0.0245167666901,0.0245167666901,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.873076181781,2.14908639399,0.0,1.36779169435,0.0,0.0267963949011,0.0267963949011,0.0267963949011,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.733012504202,2.16699516591,0.0,1.53567923577,0.0,0.0300854782296,0.0300854782296,0.0300854782296,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.610062802671,2.26341234199,0.0,1.7925064034,0.0,0.0351169769831,0.0351169769831,0.0351169769831,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.476145780507,2.27975810261,0.0,1.99418705462,0.0,0.0390681008248,0.0390681008248,0.0390681008248,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.421764867253,2.3683129262,0.0,2.14966706745,0.0,0.0421141083713,0.0421141083713,0.0421141083713,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.405126216779,2.38562175201,0.0,2.18999699586,0.0,0.0429042116395,0.0429042116395,0.0429042116395,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.402021572588,2.50245125837,0.0,2.30102957002,0.0,0.0450794498109,0.0450794498109,0.0450794498109,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.391610932577,2.55058056706,0.0,2.28982007303,0.0,0.0448598446553,0.0448598446553,0.0448598446553,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.424382722296,2.75506771125,0.0,2.24644148699,0.0,0.0440100151624,0.0440100151624,0.0440100151624,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.51466273032,3.09336076013,0.0,2.10950967964,0.0,0.0413273853443,0.0413273853443,0.0413273853443,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.640230866111,3.60715047447,0.0,2.48410944426,0.0,0.0486661659965,0.0486661659965,0.0486661659965,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.560364604817,3.09930687702,0.0,2.03492612102,0.0,0.0398662195117,0.0398662195117,0.0398662195117,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.447434598452,2.85883908893,0.0,1.90626629489,0.0,0.037345646004,0.037345646004,0.037345646004,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.436425999165,2.66293036192,0.0,1.83576334223,0.0,0.0359644232865,0.0359644232865,0.0359644232865,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.42896460557,2.22980695816,0.0,1.48319009322,0.0,0.0290571639054,0.0290571639054,0.0290571639054,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.422808782388,2.01710579359,0.0,1.33016791072,0.0,0.026059307691,0.026059307691,0.026059307691,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.423444616354,1.60071435323,0.0,0.98017716718,0.0,0.0192026421517,0.0192026421517,0.0192026421517,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
