Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.534834851126,5.26992935849,0.0,4.97313955255,0.0,0.0974287326781,0.0974287326781,0.0974287326781,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.487195849055,5.7034436379,0.0,5.47930736864,0.0,0.107345061855,0.107345061855,0.107345061855,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.475391857041,5.97048631308,0.0,5.77052992284,0.0,0.11305040032,0.11305040032,0.11305040032,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.47159079383,6.05318214149,0.0,5.84701089521,0.0,0.114548738369,0.114548738369,0.114548738369,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.465414461521,6.31941356057,0.0,6.04882608187,0.0,0.118502497893,0.118502497893,0.118502497893,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.498305101563,6.54308877212,0.0,6.00440630695,0.0,0.117632270478,0.117632270478,0.117632270478,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.610674035031,8.03307957346,0.0,6.97965338688,0.0,0.136738327334,0.136738327334,0.136738327334,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.713711628295,7.38030585317,0.0,6.17643865127,0.0,0.121002554603,0.121002554603,0.121002554603,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.63542082681,6.91590464377,0.0,5.77145563251,0.0,0.11306853589,0.11306853589,0.11306853589,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.522081178649,6.62981544815,0.0,5.60700141535,0.0,0.109846714786,0.109846714786,0.109846714786,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.512035150223,6.47788526729,0.0,5.5921863706,0.0,0.109556473377,0.109556473377,0.109556473377,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.504389471302,6.03728841366,0.0,5.24298258701,0.0,0.102715225163,0.102715225163,0.102715225163,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.49888550842,5.8613416899,0.0,5.13345827452,0.0,0.100569535332,0.100569535332,0.100569535332,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.503741078372,5.65759256473,0.0,5.00207172181,0.0,0.0979955425483,0.0979955425483,0.0979955425483,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.51752793588,5.51352533231,0.0,4.90391460293,0.0,0.0960725473067,0.0960725473067,0.0960725473067,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.548600063571,5.40714227906,0.0,4.75945694863,0.0,0.093242478688,0.093242478688,0.093242478688,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.668387384713,5.6533729227,0.0,4.86194374489,0.0,0.0952502966006,0.0952502966006,0.0952502966006,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.908621051362,7.71109670923,0.0,6.6594976766,0.0,0.130466159666,0.130466159666,0.130466159666,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.06449223258,6.32113460557,0.0,5.2162748574,0.0,0.10219199427,0.10219199427,0.10219199427,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.05532820599,5.83918943023,0.0,4.83224987369,0.0,0.0946685642345,0.0946685642345,0.0946685642345,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,1.0089549662,5.59136367832,0.0,4.70030513506,0.0,0.0920836360351,0.0920836360351,0.0920836360351,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
