Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.43214334234,1.45659243044,0.0,1.19044408546,0.0,0.0234956846406,0.0234956846406,0.0234956846406,0.0515819817732,0.00861509811464,0.0389770129118,0.2996515649
 01/01  02:00:00,0.381580573906,1.432023297,0.0,1.22307046763,0.0,0.0241396285233,0.0241396285233,0.0241396285233,0.0300895004845,0.00502547575691,0.0366038093052,0.275900159836
 01/01  03:00:00,0.367764014708,1.48654782523,0.0,1.29808212573,0.0,0.0256201266706,0.0256201266706,0.0256201266706,0.0214924919608,0.00358962503138,0.0345384536427,0.272701317403
 01/01  04:00:00,0.363888449687,1.55336490651,0.0,1.36012547654,0.0,0.0268446705382,0.0268446705382,0.0268446705382,0.0214924919608,0.00358962503138,0.0332769556732,0.268862706483
 01/01  05:00:00,0.354557901384,1.61888936036,0.0,1.37391938702,0.0,0.0271169196717,0.0271169196717,0.0271169196717,0.0214924919608,0.00358962503138,0.0338304829616,0.258706381759
 01/01  06:00:00,0.385713313604,1.77729341412,0.0,1.32079639398,0.0,0.0260684360789,0.0260684360789,0.0260684360789,0.0214924919608,0.00358962503138,0.0360452309657,0.288695529567
 01/01  07:00:00,0.466122526738,1.990175608,0.0,1.12450119122,0.0,0.0221941758456,0.0221941758456,0.0221941758456,0.0494327203042,0.00825613810691,0.0428581977933,0.333559294688
 01/01  08:00:00,0.578542562145,2.47062418923,0.0,1.47954643452,0.0,0.0292016709236,0.0292016709236,0.0292016709236,0.101014728758,0.0168712362215,0.0522011846794,0.354431741563
 01/01  09:00:00,0.506210672286,2.12904367869,0.0,1.18353882505,0.0,0.0233593961556,0.0233593961556,0.0233593961556,0.0967162325,0.01615331175,0.0605081669804,0.2996515649
 01/01  10:00:00,0.408475185549,1.97398942138,0.0,1.12332131534,0.0,0.0221708887445,0.0221708887445,0.0221708887445,0.0494327203042,0.00825613810691,0.0637657254319,0.255027712961
 01/01  11:00:00,0.400343817804,1.85860335372,0.0,1.11772847588,0.0,0.0220605033903,0.0220605033903,0.0220605033903,0.0408357277887,0.00682028916382,0.0597797549385,0.261025542523
 01/01  12:00:00,0.398535262514,1.73982602428,0.0,1.06706336202,0.0,0.0210605307312,0.0210605307312,0.0210605307312,0.0408357277887,0.00682028916382,0.0588912012469,0.261105513584
 01/01  13:00:00,0.392893499191,1.56389103053,0.0,0.939796913144,0.0,0.0185486846188,0.0185486846188,0.0185486846188,0.0408357277887,0.00682028916382,0.0601596923813,0.256707105238
 01/01  14:00:00,0.39823500306,1.42046910071,0.0,0.857352625899,0.0,0.0169214893584,0.0169214893584,0.0169214893584,0.0408357277887,0.00682028916382,0.0582516037592,0.26558389299
