Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.499412842166,0.0353437826845,0.0,0.0,0.0,0.0,0.0,0.051298941822,0.00853938354461,0.0389770129118,0.299196969621,0.0916055342673
 01/01  02:00:00,0.412881939825,0.033714519307,0.0,0.0,0.0,0.0,0.0,0.0299243937853,0.00498130633154,0.0366038093052,0.275481597329,0.0560958330738
 01/01  03:00:00,0.38958690211,0.0260902648037,0.0,0.0,0.0,0.0,0.0,0.0213745639571,0.003558075888,0.0345384536427,0.272287607795,0.0480332008276
 01/01  04:00:00,0.38794913537,0.0258269495104,0.0,0.0,0.0,0.0,0.0,0.0213745639571,0.003558075888,0.0332769556732,0.268454820353,0.0514897194979
 01/01  05:00:00,0.4071315509,0.0325350862223,0.0,0.0,0.0,0.0,0.0,0.0213745639571,0.003558075888,0.0338304829616,0.258313903582,0.0802595245112
 01/01  06:00:00,0.568555484025,0.0419761444586,0.0,0.0,0.0,0.0,0.0,0.0213745639571,0.003558075888,0.0360452309657,0.288257555466,0.209525057748
 01/01  07:00:00,0.893377928402,0.074652024733,0.0,0.0,0.0,0.0,0.0,0.0491615002853,0.00818357405654,0.0428581977933,0.333053258684,0.450326397584
 01/01  08:00:00,1.05349353417,0.113066091931,0.0,0.0,0.0,0.0,0.0,0.100460442107,0.0167229531842,0.0522011846794,0.353894040395,0.505419913804
 01/01  09:00:00,0.955352100153,0.116692270773,0.0,0.0,0.0,0.0,0.0,0.0961855325,0.016011338625,0.0605081669804,0.299196969621,0.473655092427
 01/01  10:00:00,0.797161434347,0.118086676095,0.0,0.0,0.0,0.0,0.0,0.0491615002853,0.00818357405654,0.0637657254319,0.254640815618,0.411614818956
 01/01  11:00:00,0.725737152064,0.106658753127,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0597797549385,0.260629545995,0.348160825123
 01/01  12:00:00,0.67165172323,0.121452971462,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0588912012469,0.260709395733,0.294884100242
 01/01  13:00:00,0.627964324089,0.135939988621,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0601596923813,0.256317660123,0.254319945576
 01/01  14:00:00,0.609678775613,0.114355347545,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0582516037592,0.265180981081,0.229079164765
 01/01  15:00:00,0.602646181674,0.110946652021,0.0,0.0,0.0,0.0,0.0,0.0427491226073,0.00711615000923,0.0552107169154,0.280112882153,0.207662309989
 01/01  16:00:00,0.638185086001,0.138644456113,0.0,0.0,0.0,0.0,0.0,0.0534364098927,0.00889518861577,0.0576101118494,0.295683581133,0.21276479451
 01/01  17:00:00,0.777081666251,0.216322879477,0.0,0.0,0.0,0.0,0.0,0.089773154822,0.0149439189946,0.0671024077954,0.349741854,0.245725330639
 01/01  18:00:00,1.02684930001,0.342786031824,0.0,0.0,0.0,0.0,0.0,0.166721580822,0.0277529898946,0.08424901191,0.424880457793,0.31345025959
 01/01  19:00:00,1.25015796434,0.275778392135,0.0,0.0,0.0,0.0,0.0,0.247944942963,0.0412736753538,0.0852833183682,0.461291938484,0.374569089166
