Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.602478383719,0.0353437826845,0.0997826177285,0.0,0.00182087563943,0.101603493368,0.00182087563943,0.051298941822,0.00853938354461,0.0389770129118,0.299196969621,0.0930675824522
 01/01  02:00:00,0.691538147226,0.033714519307,0.272284736178,0.0,0.00496876765093,0.277253503829,0.00496876765093,0.0299243937853,0.00498130633154,0.0366038093052,0.275481597329,0.0574985366458
 01/01  03:00:00,0.735281379504,0.0260902648037,0.338221471421,0.0,0.00617200923429,0.344393480655,0.00617200923429,0.0213745639571,0.003558075888,0.0345384536427,0.272287607795,0.0493341975667
 01/01  04:00:00,0.801102358164,0.0258269495104,0.4047334764,0.0,0.00738574858442,0.412119224984,0.00738574858442,0.0213745639571,0.003558075888,0.0332769556732,0.268454820353,0.0525237173081
 01/01  05:00:00,0.877691140542,0.0325350862223,0.461201661221,0.0,0.00841620403331,0.469617865254,0.00841620403331,0.0213745639571,0.003558075888,0.0338304829616,0.258313903582,0.0812012488991
 01/01  06:00:00,1.04957854382,0.0419761444586,0.471636465328,0.0,0.00860662277591,0.480243088103,0.00860662277591,0.0213745639571,0.003558075888,0.0360452309657,0.288257555466,0.210305029442
 01/01  07:00:00,1.79509239517,0.074652024733,0.885181985031,0.0,0.0161531772737,0.901335162305,0.0161531772737,0.0491615002853,0.00818357405654,0.0428581977933,0.333053258684,0.450705702049
 01/01  08:00:00,1.56032162065,0.113066091931,0.497293773518,0.0,0.00907482824617,0.506368601765,0.00907482824617,0.100460442107,0.0167229531842,0.0522011846794,0.353894040395,0.505879398517
 01/01  09:00:00,1.10962250523,0.116692270773,0.150779932193,0.0,0.00275149631966,0.153531428513,0.00275149631966,0.0961855325,0.016011338625,0.0605081669804,0.299196969621,0.474394068992
 01/01  10:00:00,0.798146992379,0.118086676095,0.0,0.0,0.0,0.0,0.0,0.0491615002853,0.00818357405654,0.0637657254319,0.254640815618,0.412600376988
 01/01  11:00:00,0.726963190609,0.106658753127,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0597797549385,0.260629545995,0.349386863668
