Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.507885527529,3.89433159164,0.0,3.59754178574,0.0,0.070479409081,0.070479409081,0.070479409081,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.457843166439,4.20516913727,0.0,3.98103285685,0.0,0.0779923792393,0.0779923792393,0.0779923792393,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.444210153783,4.37885145288,0.0,4.1788951194,0.0,0.0818686970625,0.0818686970625,0.0818686970625,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.443944691258,4.64201806375,0.0,4.4358468331,0.0,0.0869026357969,0.0869026357969,0.0869026357969,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.435098687566,4.77197913835,0.0,4.50139166105,0.0,0.0881867239375,0.0881867239375,0.0881867239375,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.47071959605,5.13501781834,0.0,4.59633535322,0.0,0.0900467649652,0.0900467649652,0.0900467649652,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.561331928758,5.51446752168,0.0,4.46104133511,0.0,0.0873962210615,0.0873962210615,0.0873962210615,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.681021830361,5.7116920613,0.0,4.5078248594,0.0,0.0883127566691,0.0883127566691,0.0883127566691,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.60811845646,5.52228600442,0.0,4.37783699315,0.0,0.0857661655393,0.0857661655393,0.0857661655393,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.490484141166,5.01698030298,0.0,3.99416634572,0.0,0.0782496773028,0.0782496773028,0.0782496773028,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.471027166332,4.38467897073,0.0,3.49898017721,0.0,0.0685484894863,0.0685484894863,0.0685484894863,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.460306626389,3.78712941118,0.0,2.99282358769,0.0,0.0586323802492,0.0586323802492,0.0586323802492,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.448869256442,3.30831865118,0.0,2.58043521712,0.0,0.0505532833545,0.0505532833545,0.0505532833545,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.447015017037,2.76207488035,0.0,2.10655402873,0.0,0.0412694812137,0.0412694812137,0.0412694812137,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.457640847401,2.45665652511,0.0,1.84704585164,0.0,0.0361854588277,0.0361854588277,0.0361854588277,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.494125252223,2.62653703264,0.0,1.97885176693,0.0,0.0387676673402,0.0387676673402,0.0387676673402,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.617604442808,3.06121503074,0.0,2.26978586656,0.0,0.0444673546948,0.0444673546948,0.0444673546948,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.852938912435,4.86886482355,0.0,3.81726582307,0.0,0.0747840207393,0.0747840207393,0.0747840207393,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.01761777725,3.92848100045,0.0,2.82362125903,0.0,0.0553175389355,0.0553175389355,0.0553175389355,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.01199717372,3.62740585757,0.0,2.6204663011,0.0,0.0513375319642,0.0513375319642,0.0513375319642,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.97242175684,3.72656728218,0.0,2.8355087505,0.0,0.0555504266751,0.0555504266751,0.0555504266751,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.903516954844,3.70290124679,0.0,2.92160655334,0.0,0.0572371679637,0.0572371679637,0.0572371679637,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.764339153303,3.76602856719,0.0,3.13471263598,0.0,0.0614121273305,0.0614121273305,0.0614121273305,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.640272384205,3.80542635281,0.0,3.33452035206,0.0,0.0653265585165,0.0653265585165,0.0653265585165,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.506462858472,3.82725909198,0.0,3.54168803716,0.0,0.0693851787901,0.0693851787901,0.0693851787901,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.452244175847,3.92409478809,0.0,3.70544892908,0.0,0.072593416965,0.072593416965,0.072593416965,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.437536141847,4.03994974975,0.0,3.8443249936,0.0,0.0753141367081,0.0753141367081,0.0753141367081,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.436170698074,4.24555477593,0.0,4.04413308758,0.0,0.0792285752976,0.0792285752976,0.0792285752976,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.428688953411,4.44318623757,0.0,4.18242574354,0.0,0.0819378654886,0.0819378654886,0.0819378654886,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.461088538208,4.62867460222,0.0,4.12004837796,0.0,0.0807158310752,0.0807158310752,0.0807158310752,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.551228520909,4.95982021669,0.0,3.97596913619,0.0,0.0778931759331,0.0778931759331,0.0778931759331,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.680168069319,5.64569987805,0.0,4.52265884784,0.0,0.0886033692046,0.0886033692046,0.0886033692046,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.598975179466,5.07014002504,0.0,4.00575926904,0.0,0.0784767941603,0.0784767941603,0.0784767941603,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.485907428979,4.82264124392,0.0,3.87006844988,0.0,0.0758184765307,0.0758184765307,0.0758184765307,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.472318960876,4.49504602877,0.0,3.66787900908,0.0,0.071857384997,0.071857384997,0.071857384997,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.4666847583,4.15518955992,0.0,3.40857266067,0.0,0.0667773166349,0.0667773166349,0.0667773166349,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.460424127922,3.93713863804,0.0,3.25020071329,0.0,0.0636746532244,0.0636746532244,0.0636746532244,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.46531532269,3.73795726421,0.0,3.11742005278,0.0,0.061073348487,0.061073348487,0.061073348487,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.478298172664,3.54451724077,0.0,2.96700256021,0.0,0.0581265207299,0.0581265207299,0.0581265207299,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.511690575426,3.551997661,0.0,2.93686777624,0.0,0.0575361504456,0.0575361504456,0.0575361504456,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/02  17:00:00,0.630098810375,3.72121001585,0.0,2.97151824092,0.0,0.0582149873905,0.0582149873905,0.0582149873905,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/02  18:00:00,0.858699110916,5.18013505967,0.0,4.18070244621,0.0,0.0819041043861,0.0819041043861,0.0819041043861,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/02  19:00:00,1.02268067488,4.20866977323,0.0,3.17347189995,0.0,0.0621714597256,0.0621714597256,0.0621714597256,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/02  20:00:00,1.01525040695,3.82018295896,0.0,2.89194589474,0.0,0.0566560862652,0.0566560862652,0.0566560862652,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/02  21:00:00,0.972071525321,3.72715142388,0.0,2.91105083231,0.0,0.0570303709269,0.0570303709269,0.0570303709269,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/02  22:00:00,0.905590947142,3.82459183781,0.0,3.10533378935,0.0,0.0608365666079,0.0608365666079,0.0608365666079,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/02  23:00:00,0.766712649973,3.88975718797,0.0,3.30828807398,0.0,0.0648126421903,0.0648126421903,0.0648126421903,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/02  24:00:00,0.641971159156,3.89264790414,0.0,3.45322076533,0.0,0.0676520172555,0.0676520172555,0.0676520172555,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/03  01:00:00,0.510959160041,4.05701202714,0.0,3.77119666937,0.0,0.0738814803594,0.0738814803594,0.0738814803594,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/03  02:00:00,0.458275043636,4.23204993763,0.0,4.01328775972,0.0,0.0786242847542,0.0786242847542,0.0786242847542,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/03  03:00:00,0.443176566496,4.32794446038,0.0,4.13223409542,0.0,0.0809545613574,0.0809545613574,0.0809545613574,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/03  04:00:00,0.439153651344,4.39791398048,0.0,4.19639456612,0.0,0.0822115285675,0.0822115285675,0.0822115285675,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/03  05:00:00,0.429290764747,4.47410636499,0.0,4.21314452306,0.0,0.0825396768247,0.0825396768247,0.0825396768247,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/03  06:00:00,0.463197922514,4.73701206111,0.0,4.22771951599,0.0,0.0828252153813,0.0828252153813,0.0828252153813,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/03  07:00:00,0.555804079533,5.19490519936,0.0,4.2095233552,0.0,0.0824687345573,0.0824687345573,0.0824687345573,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/03  08:00:00,0.67443748417,5.35491949399,0.0,4.23014760522,0.0,0.0828727840557,0.0828727840557,0.0828727840557,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/03  09:00:00,0.602937212818,5.27398714697,0.0,4.2079967839,0.0,0.0824388275126,0.0824388275126,0.0824388275126,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/03  10:00:00,0.489568811541,5.01092259656,0.0,4.05695958493,0.0,0.0794798590929,0.0794798590929,0.0794798590929,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/03  11:00:00,0.473235696303,4.54300843362,0.0,3.71467273292,0.0,0.0727741204239,0.0727741204239,0.0727741204239,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/03  12:00:00,0.464784861505,4.05919357437,0.0,3.31159457589,0.0,0.0648774198398,0.0648774198398,0.0648774198398,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/03  13:00:00,0.456316061847,3.72828403118,0.0,3.04050912313,0.0,0.0595665871493,0.0595665871493,0.0595665871493,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/03  14:00:00,0.454307202389,3.17680719159,0.0,2.5555229926,0.0,0.050065228186,0.050065228186,0.050065228186,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/03  15:00:00,0.467690718373,3.003741231,0.0,2.42555704372,0.0,0.0475190664389,0.0475190664389,0.0475190664389,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/03  16:00:00,0.500882037956,3.00097640985,0.0,2.38515819614,0.0,0.0467276129759,0.0467276129759,0.0467276129759,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/03  17:00:00,0.619620945661,3.18717837171,0.0,2.43668747792,0.0,0.0477371226763,0.0477371226763,0.0477371226763,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/03  18:00:00,0.84862286507,4.66684141111,0.0,3.66637186442,0.0,0.0718278585393,0.0718278585393,0.0718278585393,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/03  19:00:00,1.01431642581,3.78295688131,0.0,2.74652825901,0.0,0.0538072106589,0.0538072106589,0.0538072106589,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/03  20:00:00,1.01331866353,3.7228259336,0.0,2.79334223531,0.0,0.0547243428515,0.0547243428515,0.0547243428515,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/03  21:00:00,0.973001710933,3.77576174783,0.0,2.95853110567,0.0,0.0579605565395,0.0579605565395,0.0579605565395,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/03  22:00:00,0.901307372911,3.60693135439,0.0,2.88668358372,0.0,0.0565529923768,0.0565529923768,0.0565529923768,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/03  23:00:00,0.763786846231,3.74118111382,0.0,3.15894372853,0.0,0.0618868384487,0.0618868384487,0.0618868384487,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/03  24:00:00,0.640522456643,3.81921871576,0.0,3.37927338273,0.0,0.0662033147418,0.0662033147418,0.0662033147418,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/04  01:00:00,0.505507272737,3.7789664161,0.0,3.49291124325,0.0,0.068429593055,0.068429593055,0.068429593055,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/04  02:00:00,0.451829946435,3.90318141065,0.0,3.68430505686,0.0,0.0721791875527,0.0721791875527,0.0721791875527,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/04  03:00:00,0.437476644545,4.03708240606,0.0,3.84128802105,0.0,0.075254639406,0.075254639406,0.075254639406,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/04  04:00:00,0.434048722695,4.13743457402,0.0,3.93581925242,0.0,0.0771065999176,0.0771065999176,0.0771065999176,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/04  05:00:00,0.426133466766,4.31314325362,0.0,4.05198381577,0.0,0.0793823788435,0.0793823788435,0.0793823788435,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/04  06:00:00,0.459050106743,4.52594538666,0.0,4.01599894753,0.0,0.0786773996103,0.0786773996103,0.0786773996103,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/04  07:00:00,0.558608380886,5.33954980328,0.0,4.35266574849,0.0,0.0852730359094,0.0852730359094,0.0852730359094,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/04  08:00:00,0.678895311207,5.58416281027,0.0,4.45769234839,0.0,0.0873306110924,0.0873306110924,0.0873306110924,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/04  09:00:00,0.596961639105,4.97055032327,0.0,3.9029803769,0.0,0.0764632537998,0.0764632537998,0.0764632537998,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/04  10:00:00,0.477319839584,4.38705195202,0.0,3.43172465433,0.0,0.0672308871364,0.0672308871364,0.0672308871364,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/04  11:00:00,0.458005952507,3.76677026664,0.0,2.93728767243,0.0,0.057544376628,0.057544376628,0.057544376628,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/04  12:00:00,0.450363516308,3.32403607502,0.0,2.57547330831,0.0,0.0504560746433,0.0504560746433,0.0504560746433,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/04  13:00:00,0.444550161277,3.12852827677,0.0,2.43993202554,0.0,0.0478006865799,0.0478006865799,0.0478006865799,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/04  14:00:00,0.44321484098,2.61134317436,0.0,1.98932594033,0.0,0.0389728667779,0.0389728667779,0.0389728667779,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/04  15:00:00,0.456329685375,2.42448715761,0.0,1.84564595378,0.0,0.0361580334414,0.0361580334414,0.0361580334414,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/04  16:00:00,0.493536153539,2.62668953124,0.0,2.01019582787,0.0,0.0393817285588,0.0393817285588,0.0393817285588,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/04  17:00:00,0.612276661395,2.81308189434,0.0,2.06180678754,0.0,0.0403928384101,0.0403928384101,0.0403928384101,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/04  18:00:00,0.837026595103,4.07594046398,0.0,3.07445336923,0.0,0.0602315885722,0.0602315885722,0.0602315885722,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/04  19:00:00,1.00546340191,3.33227205066,0.0,2.2946356587,0.0,0.0449541867513,0.0449541867513,0.0449541867513,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/04  20:00:00,1.00063029917,3.0763861475,0.0,2.14567901611,0.0,0.0420359784929,0.0420359784929,0.0420359784929,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
