Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.569468114992,1.37167229888,0.0,1.33547712359,0.0,0.0231737958865,0.0231737958865,0.0231737958865,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953196
 01/01  02:00:00,0.467701508837,1.46235581234,0.0,1.42785738471,0.0,0.0247768194632,0.0247768194632,0.0247768194632,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125638584
 01/01  03:00:00,0.440886867749,1.52075609308,0.0,1.49389100875,0.0,0.0259226644185,0.0259226644185,0.0259226644185,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442566418
 01/01  04:00:00,0.441005512997,1.58236474295,0.0,1.55577388046,0.0,0.0269964836646,0.0269964836646,0.0269964836646,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418960767
 01/01  05:00:00,0.469347822513,1.58799406066,0.0,1.55472391837,0.0,0.0269782642532,0.0269782642532,0.0269782642532,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253211
 01/01  06:00:00,0.674012272337,1.54910122331,0.0,1.50630481535,0.0,0.0261380743386,0.0261380743386,0.0261380743386,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992891
 01/01  07:00:00,1.08375013309,1.46029483854,0.0,1.38469508,0.0,0.0240278478622,0.0240278478622,0.0240278478622,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273748
 01/01  08:00:00,1.27837203395,1.77450723023,0.0,1.66043410013,0.0,0.02881259457,0.02881259457,0.02881259457,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.1618419663,1.4785613921,0.0,1.36101772872,0.0,0.0236169878812,0.0236169878812,0.0236169878812,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.973401215777,1.5039981688,0.0,1.38518688875,0.0,0.0240363819474,0.0240363819474,0.0240363819474,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191956893
 01/01  11:00:00,0.880444892753,1.50108298584,0.0,1.39368258727,0.0,0.0241838031049,0.0241838031049,0.0241838031049,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.45943849774
 01/01  12:00:00,0.808850680876,1.5065632008,0.0,1.38436835668,0.0,0.0240221784131,0.0240221784131,0.0240221784131,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.388811311841
 01/01  13:00:00,0.751569000032,1.51095077376,0.0,1.37428140957,0.0,0.0238471451989,0.0238471451989,0.0238471451989,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.335009555378
 01/01  14:00:00,0.725162881539,1.482858388,0.0,1.36774844349,0.0,0.0237337822518,0.0237337822518,0.0237337822518,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.301394971446
 01/01  15:00:00,0.711975589255,1.46296223982,0.0,1.35121850072,0.0,0.0234469472975,0.0234469472975,0.0234469472975,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.273085705898
 01/01  16:00:00,0.75216597139,1.50016026594,0.0,1.3606744149,0.0,0.0236110305462,0.0236110305462,0.0236110305462,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.279996986601
 01/01  17:00:00,0.909689508421,1.49758046648,0.0,1.28026236426,0.0,0.0222156847066,0.0222156847066,0.0222156847066,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.323826364003
 01/01  18:00:00,1.21005809912,2.29063418241,0.0,1.946639114,0.0,0.0337789518786,0.0337789518786,0.0337789518786,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.412832217363
 01/01  19:00:00,1.45483785424,1.36760214654,0.0,1.09051110559,0.0,0.0189230360645,0.0189230360645,0.0189230360645,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.493309277963
 01/01  20:00:00,1.46253920456,1.08586034745,0.0,0.926058392824,0.0,0.016069379097,0.016069379097,0.016069379097,0.302393901077,0.054328132964,0.076857507091,0.495837793874,0.506522490455
 01/01  21:00:00,1.37702266139,1.04559285338,0.0,0.93639076585,0.0,0.0162486710514,0.0162486710514,0.0162486710514,0.260599634224,0.0468193688037,0.0671599615243,0.512884036997,0.462780988786
 01/01  22:00:00,1.2515073063,1.07622425701,0.0,0.990038392708,0.0,0.0171795886483,0.0171795886483,0.0171795886483,0.218805336853,0.0393105991603,0.0600180686125,0.500910090608,0.404753622421
 01/01  23:00:00,1.02953025027,1.16138872561,0.0,1.09908024608,0.0,0.0190717316199,0.0190717316199,0.0190717316199,0.164718627801,0.0295933730176,0.0513238084703,0.433473489764,0.320819219601
 01/01  24:00:00,0.809718611334,1.27183455451,0.0,1.22378222788,0.0,0.0212356161386,0.0212356161386,0.0212356161386,0.113090388878,0.0203178359816,0.0442136254855,0.376680396822,0.223650748028
 01/02  01:00:00,0.562865397727,1.43918281783,0.0,1.40298764254,0.0,0.0243452685825,0.0243452685825,0.0243452685825,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108165202001
