Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.567154631079,1.23834908948,0.0,1.20215391419,0.0,0.0208603119736,0.0208603119736,0.0208603119736,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953196
 01/01  02:00:00,0.469280944841,1.55337639079,0.0,1.51887796316,0.0,0.0263562492184,0.0263562492184,0.0263562492184,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125701075
 01/01  03:00:00,0.44384021591,1.69095348852,0.0,1.66408840419,0.0,0.0288760056871,0.0288760056871,0.0288760056871,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442635344
 01/01  04:00:00,0.445885839788,1.86361144873,0.0,1.83702058624,0.0,0.0318768021952,0.0318768021952,0.0318768021952,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.061641904337
 01/01  05:00:00,0.476129092902,1.97879016602,0.0,1.94552002373,0.0,0.0337595329241,0.0337595329241,0.0337595329241,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.10000925493
 01/01  06:00:00,0.682523194745,2.03957512757,0.0,1.99677871962,0.0,0.0346489967231,0.0346489967231,0.0346489967231,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992914
 01/01  07:00:00,1.10322408502,2.58255360314,0.0,2.5069538446,0.0,0.0435017834942,0.0435017834942,0.0435017834942,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.59280129005
 01/01  08:00:00,1.28455095612,2.13059035562,0.0,2.01651722552,0.0,0.0349915080988,0.0349915080988,0.0349915080988,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988382162
 01/01  09:00:00,1.16979776327,1.93704409962,0.0,1.81950043624,0.0,0.0315727847225,0.0315727847225,0.0315727847225,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682606
 01/01  10:00:00,0.976221713797,1.66653991578,0.0,1.54772863573,0.0,0.0268568789826,0.0268568789826,0.0268568789826,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957878
