Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.545850197228,0.0361951752915,0.0,0.0,0.0,0.0,0.0,0.0,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115166831319
 01/01  02:00:00,0.442661222903,0.0344984276322,0.0,0.0,0.0,0.0,0.0,0.0,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0680490973872
 01/01  03:00:00,0.416241160854,0.100472520782,0.0,0.0736074364448,0.0,0.00127726913309,0.00127726913309,0.00127726913309,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573439450325
 01/01  04:00:00,0.418194430007,0.267790404266,0.0,0.241199541773,0.0,0.00418540224332,0.00418540224332,0.00418540224332,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418945076
 01/01  05:00:00,0.449978087925,0.471740273649,0.0,0.438470131359,0.0,0.00760852967601,0.00760852967601,0.00760852967601,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.1000092532
 01/01  06:00:00,0.655740720034,0.496134319089,0.0,0.453337911137,0.0,0.00786652203527,0.00786652203527,0.00786652203527,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992891
 01/01  07:00:00,1.07224311799,0.79715982622,0.0,0.721560067683,0.0,0.0125208327668,0.0125208327668,0.0125208327668,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273748
 01/01  08:00:00,1.25438953142,0.392425345991,0.0,0.278352215887,0.0,0.00483009204844,0.00483009204844,0.00483009204844,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.13846902374,0.131607693015,0.0,0.0140640296348,0.0,0.000244045327579,0.000244045327579,0.000244045327579,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.949273923417,0.118811280051,0.0,0.0,0.0,0.0,0.0,0.0,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.54310104648
