Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.562338957585,0.960827797029,0.0,0.924632621737,0.0,0.0160446384799,0.0160446384799,0.0160446384799,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953196
 01/01  02:00:00,0.461548982511,1.10779334876,0.0,1.07329492113,0.0,0.0186242931377,0.0186242931377,0.0186242931377,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125638584
 01/01  03:00:00,0.435595063663,1.21579598495,0.0,1.18893090061,0.0,0.0206308603324,0.0206308603324,0.0206308603324,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442566418
 01/01  04:00:00,0.43612330478,1.30100954479,0.0,1.2744186823,0.0,0.0221142825257,0.0221142825257,0.0221142825257,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418889986
 01/01  05:00:00,0.464937033838,1.3338063568,0.0,1.30053621451,0.0,0.0225674856168,0.0225674856168,0.0225674856168,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009243172
 01/01  06:00:00,0.669650800503,1.29775505545,0.0,1.2549586475,0.0,0.0217766033049,0.0217766033049,0.0217766033049,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992091
 01/01  07:00:00,1.07872982865,1.17098092031,0.0,1.09538116178,0.0,0.0190075434559,0.0190075434559,0.0190075434559,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273712
 01/01  08:00:00,1.2664693249,1.08856886596,0.0,0.974495735851,0.0,0.0169098855203,0.0169098855203,0.0169098855203,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373514
 01/01  09:00:00,1.15397780796,1.02535969819,0.0,0.907816034808,0.0,0.015752829548,0.015752829548,0.015752829548,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.957839519163,0.60719683126,0.0,0.488385551209,0.0,0.00847468434895,0.00847468434895,0.00847468434895,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957877
 01/01  11:00:00,0.859940731532,0.31945357911,0.0,0.212053180542,0.0,0.00367964155743,0.00367964155743,0.00367964155743,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438498066
 01/01  12:00:00,0.784770373192,0.122194844123,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.38875318257
 01/01  13:00:00,0.727422873784,0.136669364193,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.334710574329
 01/01  14:00:00,0.70097269161,0.115109944515,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.300938563769
 01/01  15:00:00,0.688024094644,0.111743739095,0.0,0.0,0.0,0.0,0.0,0.0,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.272581158585
 01/01  16:00:00,0.727970073727,0.139485851048,0.0,0.0,0.0,0.0,0.0,0.0,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.279412119484
 01/01  17:00:00,0.887068053344,0.217318102221,0.0,0.0,0.0,0.0,0.0,0.0,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.323420593633
 01/01  18:00:00,1.18512998495,0.856413773871,0.0,0.512418705468,0.0,0.0088917183823,0.0088917183823,0.0088917183823,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.412791336685
 01/01  19:00:00,1.436029494,0.283699664854,0.0,0.00660862390915,0.0,0.000114675795531,0.000114675795531,0.000114675795531,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.493309277989
 01/01  20:00:00,1.44698943588,0.189746457664,0.0,0.0299445030385,0.0,0.000519610399221,0.000519610399221,0.000519610399221,0.302393901077,0.054328132964,0.076857507091,0.495837793874,0.506522490473
 01/01  21:00:00,1.36405787075,0.298447984378,0.0,0.18924589685,0.0,0.00328387937802,0.00328387937802,0.00328387937802,0.260599634224,0.0468193688037,0.0671599615243,0.512884036997,0.462780989819
 01/01  22:00:00,1.24118110281,0.481137904012,0.0,0.394952039708,0.0,0.00685338430101,0.00685338430101,0.00685338430101,0.218805336853,0.0393105991603,0.0600180686125,0.500910090608,0.404753623272
 01/01  23:00:00,1.02153989291,0.700914335733,0.0,0.638605856206,0.0,0.0110813742162,0.0110813742162,0.0110813742162,0.164718627801,0.0295933730176,0.0513238084703,0.433473489764,0.32081921964
 01/01  24:00:00,0.8044144472,0.966162152107,0.0,0.91810982548,0.0,0.0159314520041,0.0159314520041,0.0159314520041,0.113090388878,0.0203178359816,0.0442136254855,0.376680396822,0.223650748029
 01/02  01:00:00,0.55956916385,1.24922466672,0.0,1.21302949143,0.0,0.0210490298503,0.0210490298503,0.0210490298503,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108165206857
 01/02  02:00:00,0.463999406589,1.46998176037,0.0,1.43548333274,0.0,0.0249091483215,0.0249091483215,0.0249091483215,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0646781610703
 01/02  03:00:00,0.439842130237,1.63306497581,0.0,1.60619989147,0.0,0.0278714983435,0.0278714983435,0.0278714983435,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0544701367859
 01/02  04:00:00,0.441169571638,1.77913278032,0.0,1.75254191782,0.0,0.0304108905865,0.0304108905865,0.0304108905865,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0584914804802
 01/02  05:00:00,0.468819308275,1.9422869128,0.0,1.90901677051,0.0,0.0331261121606,0.0331261121606,0.0331261121606,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0934937667723
 01/02  06:00:00,0.662608362417,2.05965001866,0.0,2.01685361071,0.0,0.034997345205,0.034997345205,0.034997345205,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.252153936056
 01/02  07:00:00,1.05903015861,2.73383655052,0.0,2.65823679198,0.0,0.0461269128069,0.0461269128069,0.0461269128069,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.546582597047
 01/02  08:00:00,1.23038243631,2.16532907997,0.0,2.05125594986,0.0,0.0355943099688,0.0355943099688,0.0355943099688,0.115548889526,0.0207595305713,0.0510568111019,0.368531461085,0.613361434053
 01/02  09:00:00,1.11530283289,1.96184990241,0.0,1.84430623903,0.0,0.0320032260985,0.0320032260985,0.0320032260985,0.11063191875,0.019876146875,0.0586542613656,0.311572063332,0.57203521647
 01/02  10:00:00,0.932925049594,1.97476115613,0.0,1.85594987608,0.0,0.0322052716922,0.0322052716922,0.0322052716922,0.0565452096987,0.0101589207324,0.0616202140166,0.265173021074,0.49669241238
 01/02  11:00:00,0.846077304286,1.86753472512,0.0,1.76013432655,0.0,0.0305426374558,0.0305426374558,0.0305426374558,0.0467112376283,0.00839214785663,0.0577626539713,0.271409451485,0.420729175889
 01/02  12:00:00,0.780389786294,1.78463696533,0.0,1.66244212121,0.0,0.0288474386492,0.0288474386492,0.0288474386492,0.0467112376283,0.00839214785663,0.0571243967723,0.27149260389,0.357291961498
 01/02  13:00:00,0.726009308516,1.68724982736,0.0,1.55058046316,0.0,0.0269063651667,0.0269063651667,0.0269063651667,0.0467112376283,0.00839214785663,0.0585931939908,0.266919221589,0.307957142285
 01/02  14:00:00,0.702196833422,1.57811258403,0.0,1.46300263952,0.0,0.0253866756313,0.0253866756313,0.0253866756313,0.0467112376283,0.00839214785663,0.0567480421383,0.276149138597,0.278279591571
 01/02  15:00:00,0.690494222955,1.52139861985,0.0,1.40965488075,0.0,0.0244609614797,0.0244609614797,0.0244609614797,0.0491697382757,0.00883384244632,0.0539269802759,0.291698638422,0.251874062055
 01/02  16:00:00,0.729470100846,1.50216748314,0.0,1.36268163209,0.0,0.023645860676,0.023645860676,0.023645860676,0.0614621804744,0.0110423044287,0.0564069519463,0.30791335749,0.25846944583
 01/02  17:00:00,0.880509460064,1.48058314647,0.0,1.26326504425,0.0,0.0219207396135,0.0219207396135,0.0219207396135,0.103256447327,0.018551068589,0.065849142667,0.364207536,0.296194525867
 01/02  18:00:00,1.17595592422,2.39681424768,0.0,2.05281917928,0.0,0.0356214358242,0.0356214358242,0.0356214358242,0.191761982327,0.034451986089,0.0828891267443,0.442453949556,0.378247443683
 01/02  19:00:00,1.40742255284,1.40420943548,0.0,1.12711839453,0.0,0.0195582621024,0.0195582621024,0.0195582621024,0.285184488103,0.0512362872853,0.0834922952089,0.480371446455,0.447049773682
 01/02  20:00:00,1.4088229295,1.12316925347,0.0,0.963367298847,0.0,0.016716779908,0.016716779908,0.016716779908,0.302393901077,0.054328132964,0.0747921860178,0.495837793874,0.454224135659
 01/02  21:00:00,1.32605454673,1.08316282147,0.0,0.973960733944,0.0,0.0169006019281,0.0169006019281,0.0169006019281,0.260599634224,0.0468193688037,0.0653297857535,0.512884036997,0.412991119022
 01/02  22:00:00,1.20961984289,1.12319091001,0.0,1.0370050457,0.0,0.0179945750009,0.0179945750009,0.0179945750009,0.218805336853,0.0393105991603,0.0584926622668,0.500910090608,0.363576579
 01/02  23:00:00,0.996568914716,1.2283903928,0.0,1.16608191327,0.0,0.0202343744927,0.0202343744927,0.0202343744927,0.164718627801,0.0295933730176,0.0502967902808,0.433473489764,0.287722259359
