Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.576479263233,1.77571607126,0.0,1.73952089596,0.0,0.030184943996,0.030184943996,0.030184943996,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953327
 01/01  02:00:00,0.475075202596,1.8872926409,0.0,1.85279421327,0.0,0.0321505132208,0.0321505132208,0.0321505132208,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.06831256386
 01/01  03:00:00,0.448960644047,1.98603781038,0.0,1.95917272604,0.0,0.033996440716,0.033996440716,0.033996440716,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442566419
 01/01  04:00:00,0.447914338674,1.98051180038,0.0,1.95392093789,0.0,0.033905309341,0.033905309341,0.033905309341,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418960767
 01/01  05:00:00,0.476657994379,2.00927020135,0.0,1.97600005906,0.0,0.0342884361189,0.0342884361189,0.0342884361189,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253211
 01/01  06:00:00,0.681799784189,1.99788587556,0.0,1.95508946761,0.0,0.0339255861909,0.0339255861909,0.0339255861909,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992891
 01/01  07:00:00,1.09145540831,1.90434029537,0.0,1.82874053684,0.0,0.0317331230775,0.0317331230775,0.0317331230775,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273748
 01/01  08:00:00,1.28865694163,2.36721370749,0.0,2.25314057738,0.0,0.0390975022497,0.0390975022497,0.0390975022497,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.17017787805,1.95894965056,0.0,1.84140598718,0.0,0.0319528996322,0.0319528996322,0.0319528996322,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.98002468425,1.88570038773,0.0,1.76688910768,0.0,0.0306598494368,0.0306598494368,0.0306598494368,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957877
 01/01  11:00:00,0.886646587856,1.85847896991,0.0,1.75107857134,0.0,0.0303854979444,0.0303854979444,0.0303854979444,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438498003
 01/01  12:00:00,0.814889212565,1.85455635824,0.0,1.73236151411,0.0,0.0300607112025,0.0300607112025,0.0300607112025,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.38881131074
 01/01  13:00:00,0.757526673883,1.8542840274,0.0,1.71761466321,0.0,0.0298048172551,0.0298048172551,0.0298048172551,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.335009557172
 01/01  14:00:00,0.731056398903,1.82249458267,0.0,1.70738463815,0.0,0.0296273012884,0.0296273012884,0.0296273012884,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.301394969773
 01/01  15:00:00,0.71762936631,1.78878240588,0.0,1.67703866679,0.0,0.0291007244314,0.0291007244314,0.0291007244314,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.273085705819
 01/01  16:00:00,0.759096112626,1.89953571266,0.0,1.76004986161,0.0,0.0305411717825,0.0305411717825,0.0305411717825,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.2799969866
 01/01  17:00:00,0.916701175435,1.90165434427,0.0,1.68433624205,0.0,0.0292273552187,0.0292273552187,0.0292273552187,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.323826360505
