Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.533433999696,5.19842448615,0.0,4.90163467443,0.0,0.0960278812477,0.0960278812477,0.0960278812477,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.487133231693,5.70024741877,0.0,5.47611113617,0.0,0.107282444493,0.107282444493,0.107282444493,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.476922770223,6.04863008481,0.0,5.84867365612,0.0,0.114581313503,0.114581313503,0.114581313503,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.477313293503,6.34528079715,0.0,6.13910942385,0.0,0.120271238041,0.120271238041,0.120271238041,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.471698501996,6.64017538561,0.0,6.36958782611,0.0,0.124786538367,0.124786538367,0.124786538367,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.508649244616,7.07109397849,0.0,6.53241139891,0.0,0.127976413532,0.127976413532,0.127976413532,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.600131946288,7.49497059988,0.0,6.44154438092,0.0,0.126196238592,0.126196238592,0.126196238592,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.717163623885,7.55650906974,0.0,6.35264186495,0.0,0.124454550193,0.124454550193,0.124454550193,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.638052008486,7.05021033892,0.0,5.90576132758,0.0,0.115699717566,0.115699717566,0.115699717566,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.512885773097,6.16044631763,0.0,5.1376323309,0.0,0.100651309234,0.100651309234,0.100651309234,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.4889022252,5.29709118317,0.0,4.41139235599,0.0,0.0864235483538,0.0864235483538,0.0864235483538,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.472210876062,4.394768382,0.0,3.60046255891,0.0,0.0705366299221,0.0705366299221,0.0705366299221,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.456133047815,3.67909066144,0.0,2.95120723874,0.0,0.0578170747277,0.0578170747277,0.0578170747277,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.454708686444,3.15478953392,0.0,2.49926868877,0.0,0.0489631506206,0.0489631506206,0.0489631506206,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.466646187157,2.91632390978,0.0,2.3067132423,0.0,0.0451907985839,0.0451907985839,0.0451907985839,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.502416589384,3.04975896389,0.0,2.402073702,0.0,0.0470590045005,0.0470590045005,0.0470590045005,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.629103917928,3.64819274235,0.0,2.85676357821,0.0,0.0559668298154,0.0559668298154,0.0559668298154,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.870353326084,5.75776388869,0.0,4.70616488724,0.0,0.0921984343879,0.0921984343879,0.0921984343879,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.03499957519,4.81571525146,0.0,3.71085549135,0.0,0.0726993368782,0.0726993368782,0.0726993368782,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.02999623925,4.54614779114,0.0,3.53920826008,0.0,0.0693365974993,0.0693365974993,0.0693365974993,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.988196993083,4.53179636273,0.0,3.64073785648,0.0,0.0713256629181,0.0713256629181,0.0713256629181,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.925338520833,4.81675840247,0.0,4.03546372806,0.0,0.0790587339524,0.0790587339524,0.0790587339524,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.788904111624,5.01991909661,0.0,4.38860317194,0.0,0.085977085652,0.085977085652,0.085977085652,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.66850859993,5.24671207366,0.0,4.77580607319,0.0,0.0935627742415,0.0935627742415,0.0935627742415,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.53802624759,5.43837661881,0.0,5.15280556401,0.0,0.100948567908,0.100948567908,0.100948567908,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.486592442718,5.67736325253,0.0,5.45871739353,0.0,0.106941683836,0.106941683836,0.106941683836,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.473806732617,5.89134115003,0.0,5.695716309,0.0,0.111584727478,0.111584727478,0.111584727478,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.471571378648,6.05254253017,0.0,5.85112082013,0.0,0.114629255871,0.114629255871,0.114629255871,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.464399878938,6.26601007635,0.0,6.00524957915,0.0,0.117648791016,0.117648791016,0.117648791016,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.49926484191,6.57734088101,0.0,6.06871465628,0.0,0.118892134777,0.118892134777,0.118892134777,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.59084795462,6.98214943549,0.0,5.99829835492,0.0,0.117512609644,0.117512609644,0.117512609644,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.708112750731,7.07210455965,0.0,5.94906352943,0.0,0.116548050617,0.116548050617,0.116548050617,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.627874238671,6.54525984252,0.0,5.48087908652,0.0,0.107375853366,0.107375853366,0.107375853366,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.504566511444,5.77507303461,0.0,4.82250022718,0.0,0.0944775589965,0.0944775589965,0.0944775589965,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.478085956551,4.78941581845,0.0,3.96224878589,0.0,0.0776243806725,0.0776243806725,0.0776243806725,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.464120220822,4.02428564245,0.0,3.27766874338,0.0,0.0642127791572,0.0642127791572,0.0642127791572,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.454352852577,3.62723724123,0.0,2.94029932464,0.0,0.0576033778798,0.0576033778798,0.0576033778798,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.456565348755,3.29132473086,0.0,2.67078752186,0.0,0.052323374552,0.052323374552,0.052323374552,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.468975725697,3.06866345707,0.0,2.49114879037,0.0,0.0488040737634,0.0488040737634,0.0488040737634,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.50270985393,3.09358688163,0.0,2.47845699687,0.0,0.04855542895,0.04855542895,0.04855542895,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/02  17:00:00,0.630570328544,3.74527812789,0.0,2.99558635297,0.0,0.0586865055592,0.0586865055592,0.0586865055592,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/02  18:00:00,0.867986243813,5.65418626982,0.0,4.65475364927,0.0,0.0911912372828,0.0911912372828,0.0911912372828,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/02  19:00:00,1.02979634738,4.57188123358,0.0,3.53668336089,0.0,0.0692871322218,0.0692871322218,0.0692871322218,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/02  20:00:00,1.02557999692,4.34744520559,0.0,3.4192081414,0.0,0.0669856762431,0.0669856762431,0.0669856762431,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/02  21:00:00,0.985970274651,4.43659735264,0.0,3.62049678449,0.0,0.070929120257,0.070929120257,0.070929120257,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/02  22:00:00,0.92275762142,4.70084529077,0.0,3.98158727728,0.0,0.0780032408851,0.0780032408851,0.0780032408851,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/02  23:00:00,0.786710342519,4.91051679447,0.0,4.32904769003,0.0,0.0848103347364,0.0848103347364,0.0848103347364,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/02  24:00:00,0.666898145027,5.16501772658,0.0,4.7255905884,0.0,0.0925790031264,0.0925790031264,0.0925790031264,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/03  01:00:00,0.537136270574,5.39319305056,0.0,5.10737769303,0.0,0.100058590893,0.100058590893,0.100058590893,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/03  02:00:00,0.485955063728,5.64494532303,0.0,5.4261831033,0.0,0.106304304846,0.106304304846,0.106304304846,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/03  03:00:00,0.473387193848,5.87001181275,0.0,5.6743014267,0.0,0.111165188709,0.111165188709,0.111165188709,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/03  04:00:00,0.472295761916,6.08961562995,0.0,5.88809614541,0.0,0.115353639139,0.115353639139,0.115353639139,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/03  05:00:00,0.465748224308,6.3350363056,0.0,6.07407434476,0.0,0.118997136386,0.118997136386,0.118997136386,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/03  06:00:00,0.501446232149,6.68935390025,0.0,6.18006125577,0.0,0.121073525016,0.121073525016,0.121073525016,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/03  07:00:00,0.592568724227,7.07151496529,0.0,6.0861330948,0.0,0.119233379251,0.119233379251,0.119233379251,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/03  08:00:00,0.709096393824,7.12404437047,0.0,5.99927247946,0.0,0.117531693709,0.117531693709,0.117531693709,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/03  09:00:00,0.633143179087,6.81581655859,0.0,5.74982619545,0.0,0.112644793781,0.112644793781,0.112644793781,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/03  10:00:00,0.50443267311,5.76963161229,0.0,4.81566860065,0.0,0.0943437206621,0.0943437206621,0.0943437206621,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/03  11:00:00,0.4762212132,4.69540079787,0.0,3.86706506894,0.0,0.0757596373216,0.0757596373216,0.0757596373216,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/03  12:00:00,0.458819556069,3.75470131544,0.0,3.00710230148,0.0,0.0589121144038,0.0589121144038,0.0589121144038,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/03  13:00:00,0.444661264001,3.13337804683,0.0,2.4456031385,0.0,0.0479117893033,0.0479117893033,0.0479117893033,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/03  14:00:00,0.445428935818,2.72362610645,0.0,2.10234190908,0.0,0.0411869616152,0.0411869616152,0.0411869616152,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/03  15:00:00,0.457729042368,2.49525873355,0.0,1.91707455004,0.0,0.0375573904343,0.0375573904343,0.0375573904343,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/03  16:00:00,0.494181147129,2.65893701043,0.0,2.04311879672,0.0,0.0400267221484,0.0400267221484,0.0400267221484,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/03  17:00:00,0.624151235783,3.41842191118,0.0,2.6679310174,0.0,0.0522674127984,0.0522674127984,0.0522674127984,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/03  18:00:00,0.872415721108,5.88132082913,0.0,4.88085131188,0.0,0.0956207145772,0.0956207145772,0.0956207145772,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/03  19:00:00,1.03821043634,5.00259966967,0.0,3.96617102309,0.0,0.0777012211866,0.0777012211866,0.0777012211866,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/03  20:00:00,1.03517304569,4.83835818769,0.0,3.90887447405,0.0,0.0765787250046,0.0765787250046,0.0765787250046,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/03  21:00:00,0.994669981353,4.88179410723,0.0,4.06456348129,0.0,0.0796288269588,0.0796288269588,0.0796288269588,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/03  22:00:00,0.926895245538,4.91303538317,0.0,4.19278762435,0.0,0.0821408650034,0.0821408650034,0.0821408650034,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/03  23:00:00,0.789796885538,5.06883416651,0.0,4.48659679022,0.0,0.087896877755,0.087896877755,0.087896877755,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/03  24:00:00,0.669673227564,5.30718686962,0.0,4.86724154027,0.0,0.0953540856628,0.0953540856628,0.0953540856628,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/04  01:00:00,0.540234836231,5.55159564785,0.0,5.26554047521,0.0,0.10315715655,0.10315715655,0.10315715655,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/04  02:00:00,0.489270301973,5.81428210171,0.0,5.59540569288,0.0,0.109619543091,0.109619543091,0.109619543091,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
