hour,export ($/kWh)
0,0.08886016666666667
1,0.08363703535353535
2,0.08063390909090909
3,0.07863567676767677
4,0.07750768181818181
5,0.07840684343434343
6,0.0760475808080808
7,0.0669815202020202
8,0.051972191919191925
9,0.04792356060606061
10,0.047776818181818184
11,0.04584812626262626
12,0.044102217171717174
13,0.042677378787878785
14,0.04335048484848485
15,0.044530818181818185
16,0.08712311616161617
17,0.378796994949495
18,0.4852479090909091
19,0.45448512626262627
20,0.4398941767676768
21,0.3752477424242424
22,0.36825152525252525
23,0.08881279292929292
