Hour,Load (kWh),Solar (kWh),TOU Rate ($/kWh),Export Price ($/kWh)
0,0.6575030527168,0.0,0.33764,0.0907671143911439
1,0.5618428887865111,0.0,0.33764,0.0882606162361623
2,0.5243859914378667,0.0,0.33764,0.0866552546125461
3,0.5188420079595111,0.0,0.33764,0.085945516605166
4,0.5214683839247889,0.0,0.33764,0.0863835977859778
5,0.5783334082645445,0.0,0.33764,0.0885293542435424
6,0.7720675972543999,0.0006286212121212,0.37682,0.0908594907749077
7,1.0289489573626889,0.7875329242424243,0.37682,0.0812665498154981
8,0.9558073152825889,1.821801287878788,0.37682,0.0635360664206642
9,0.8204758300960222,2.8501232272727277,0.37682,0.0513905571955719
10,0.8175705409832889,3.5535387575757578,0.33764,0.0492973025830258
11,0.8275981967539667,3.8421521666666663,0.33764,0.0470448634686346
12,0.8115715024041888,3.743840712121212,0.33764,0.0448660184501845
13,0.7881730284881556,3.3584174090909094,0.33764,0.0425045867158671
14,0.7900939060850667,2.772840893939394,0.37682,0.0398064169741697
15,0.8546853354206111,1.8665610909090908,0.37682,0.0483657232472324
16,1.0841070375259,0.5839520606060606,0.50219,0.0797368037037037
17,1.4930157394404444,0.0024394393939393,0.50219,0.1069761592592592
18,1.7477142450916665,0.0,0.50219,0.0976363222222222
19,1.7016343767894446,0.0,0.50219,0.0899821222222222
20,1.60678753215,0.0,0.50219,0.0885007629629629
21,1.4642124246883332,0.0,0.37682,0.0872899148148148
22,1.1864328817577778,0.0,0.37682,0.0923854185185185
23,0.9214619173409667,0.0,0.37682,0.0909114222222222
